카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년10월_여_연령구간인구수,"57,101","6,032","1,346","1,419",748,"1,185","1,275","1,792","1,019","2,302","2,107","1,660",923,"2,074","3,893","1,379","2,523","4,470","1,663","1,678","17,613"
2020년10월_여_0~9세,"4,929",557,30,38,10,44,26,32,20,40,65,46,15,61,324,82,104,367,48,70,"2,950"
2020년10월_여_10~19세,"4,534",377,73,62,24,59,33,59,25,87,97,69,28,84,430,109,148,440,143,106,"2,081"
2020년10월_여_20~29세,"5,766",566,89,111,38,66,65,102,50,159,176,133,47,133,520,149,247,599,130,170,"2,216"
2020년10월_여_30~39세,"6,949",803,59,56,20,55,56,68,35,108,123,103,46,106,455,127,192,485,103,118,"3,831"
2020년10월_여_40~49세,"7,232",752,70,88,43,84,62,106,52,137,170,135,55,130,618,184,281,666,121,165,"3,313"
2020년10월_여_50~59세,"7,838",983,190,212,110,155,171,276,147,372,318,277,154,276,619,213,417,705,260,241,"1,742"
2020년10월_여_60~69세,"7,858",920,274,285,171,239,261,383,206,505,416,344,194,427,427,212,445,554,308,329,958
2020년10월_여_70~79세,"6,535",611,286,278,153,252,318,381,237,438,426,291,205,466,285,174,428,390,309,264,343
2020년10월_여_80~89세,"4,625",402,224,246,152,204,252,325,210,374,255,226,157,336,190,100,220,218,204,173,157
2020년10월_여_90~99세,783,58,46,41,27,23,31,57,36,77,55,36,22,51,24,29,38,46,33,32,21
2020년10월_여_100세 이상,52,3,5,2,0,4,0,3,1,5,6,0,0,4,1,0,3,0,4,10,1
