,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년05월_남_100세 이상,35,2,2,0,0,4,3,2,0,6,1,1,2,2,2,5,3
2021년05월_여_총인구수,"195,776","13,431","19,742","11,129","11,484","7,424","7,956","11,683","13,049","13,549","9,458","10,896","9,927","8,067","10,134","21,723","16,124"
2021년05월_여_연령구간인구수,"195,776","13,431","19,742","11,129","11,484","7,424","7,956","11,683","13,049","13,549","9,458","10,896","9,927","8,067","10,134","21,723","16,124"
2021년05월_여_0~9세,"11,956","1,418","1,064",668,"1,133",306,679,829,851,397,491,494,547,299,468,"1,194","1,118"
2021년05월_여_10~19세,"13,947",859,"1,133",765,"1,047",398,702,874,860,623,473,660,778,367,731,"1,628","2,049"
2021년05월_여_20~29세,"33,951","1,750","3,513","1,508","1,200","1,905","1,181","1,653","2,652","3,596","1,890","1,834","1,531","1,749","1,672","3,946","2,371"
2021년05월_여_30~39세,"33,799","2,693","3,363","1,875","1,989","1,193","1,281","1,869","2,188","2,864","1,904","2,025","1,560","1,565","1,716","3,620","2,094"
2021년05월_여_40~49세,"31,086","2,125","2,716","1,606","2,285","1,023","1,390","2,044","2,058","1,876","1,350","1,652","1,627","1,143","1,720","3,346","3,125"
2021년05월_여_50~59세,"27,700","1,958","3,193","1,814","1,487",972,"1,129","1,785","1,881","1,580","1,250","1,509","1,443","1,036","1,500","2,976","2,187"
2021년05월_여_60~69세,"21,564","1,443","2,357","1,431","1,161",779,757,"1,291","1,302","1,244","1,045","1,337","1,221",943,"1,219","2,376","1,658"
2021년05월_여_70~79세,"13,705",693,"1,466",827,728,512,536,865,793,848,662,908,830,604,758,"1,723",952
2021년05월_여_80~89세,"6,871",409,819,534,382,276,255,408,401,428,334,417,345,307,310,766,480
2021년05월_여_90~99세,"1,128",75,107,100,69,53,37,62,61,90,57,57,41,51,39,147,82
2021년05월_여_100세 이상,69,8,11,1,3,7,9,3,2,3,2,3,4,3,1,1,8
