,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년11월_계_90~99세,"1,669",100,193,42,79,48,99,33,25,93,69,54,94,43,96,89,58,95,57,61,64,103,74
2020년11월_계_100세 이상,107,5,14,2,4,1,7,7,2,10,4,2,7,3,2,6,6,12,6,4,2,1,0
2020년11월_남_총인구수,"274,090","23,339","21,086","15,620","24,350","15,055","14,205","3,495","4,936","11,715","6,971","7,226","16,109","6,555","10,007","8,450","5,634","17,107","11,563","12,440","14,148","12,618","11,461"
2020년11월_남_연령구간인구수,"274,090","23,339","21,086","15,620","24,350","15,055","14,205","3,495","4,936","11,715","6,971","7,226","16,109","6,555","10,007","8,450","5,634","17,107","11,563","12,440","14,148","12,618","11,461"
2020년11월_남_0~9세,"25,979","2,431","1,219","2,032","3,601","2,435","1,738",168,235,635,361,356,"1,400",338,743,337,390,"1,431",991,"1,372","1,508","1,156","1,102"
2020년11월_남_10~19세,"29,046","2,341","1,849","2,210","3,224","1,954","1,112",213,404,816,494,602,"1,502",465,971,680,432,"1,774","1,471","1,784","1,724","1,384","1,640"
2020년11월_남_20~29세,"37,748","3,349","3,548","1,899","2,891","1,629","1,763",598,825,"1,777",979,"1,174","2,225",935,"1,554","1,245",714,"2,516","1,533","1,417","1,954","1,655","1,568"
2020년11월_남_30~39세,"40,750","4,274","2,639","2,875","3,918","2,633","2,481",494,669,"1,702",860,874,"2,312",925,"1,310","1,044",892,"2,528","1,317","1,658","2,289","1,652","1,404"
2020년11월_남_40~49세,"48,702","4,445","3,241","3,189","4,989","3,084","2,390",477,672,"1,774","1,037","1,101","2,535","1,047","1,453","1,166",848,"3,060","2,274","2,778","2,718","2,231","2,193"
2020년11월_남_50~59세,"47,458","3,470","4,411","2,082","3,305","1,945","2,315",834,"1,072","2,391","1,422","1,511","2,999","1,383","1,882","1,703","1,043","3,044","2,086","2,009","2,302","2,301","1,948"
2020년11월_남_60~69세,"29,486","1,994","2,744",953,"1,739","1,034","1,630",531,767,"1,740","1,173","1,051","2,177",945,"1,438","1,445",896,"1,790","1,054",825,"1,083","1,472","1,005"
2020년11월_남_70~79세,"11,206",800,990,279,521,272,606,143,216,699,502,431,762,389,490,621,316,727,575,432,395,589,451
2020년11월_남_80~89세,"3,355",213,394,97,148,61,152,30,71,158,128,120,183,113,144,187,86,217,243,152,156,165,137
2020년11월_남_90~99세,325,19,45,4,13,7,16,4,5,19,15,6,13,13,22,21,15,16,17,12,18,12,13
2020년11월_남_100세 이상,35,3,6,0,1,1,2,3,0,4,0,0,1,2,0,1,2,4,2,1,1,1,0
2020년11월_여_총인구수,"268,521","22,571","20,350","15,777","24,583","15,325","14,088","3,142","4,897","11,040","6,484","7,103","16,096","5,695","10,542","8,133","5,280","15,944","11,264","12,124","14,172","12,120","11,791"
2020년11월_여_연령구간인구수,"268,521","22,571","20,350","15,777","24,583","15,325","14,088","3,142","4,897","11,040","6,484","7,103","16,096","5,695","10,542","8,133","5,280","15,944","11,264","12,124","14,172","12,120","11,791"
2020년11월_여_0~9세,"24,228","2,248","1,194","1,843","3,303","2,304","1,555",172,240,603,350,265,"1,377",283,684,334,408,"1,280",941,"1,196","1,465","1,148","1,035"
2020년11월_여_10~19세,"27,631","2,101","1,728","2,205","3,071","1,872","1,018",206,367,753,448,636,"1,534",428,982,606,357,"1,681","1,379","1,720","1,599","1,290","1,650"
2020년11월_여_20~29세,"35,004","3,192","3,038","2,009","2,854","1,640","1,717",443,765,"1,518",768,"1,037","2,084",796,"1,444","1,106",689,"2,220","1,340","1,310","1,927","1,503","1,604"
2020년11월_여_30~39세,"39,056","4,072","2,333","2,932","4,396","3,041","2,469",392,522,"1,279",722,677,"2,214",651,"1,277",813,790,"2,140","1,251","1,719","2,279","1,624","1,463"
2020년11월_여_40~49세,"46,815","4,086","3,097","3,302","5,025","3,038","2,119",380,665,"1,469",862,"1,014","2,437",820,"1,607","1,111",746,"2,850","2,241","2,820","2,760","2,087","2,279"
2020년11월_여_50~59세,"45,969","3,444","4,306","1,933","3,296","1,979","2,372",795,"1,173","2,368","1,368","1,527","3,057","1,152","2,141","1,680",970,"2,744","1,822","1,593","2,199","2,151","1,899"
2020년11월_여_60~69세,"28,449","2,020","2,498",935,"1,691",941,"1,659",466,678,"1,758","1,094","1,079","2,113",841,"1,423","1,394",762,"1,673","1,129",942,"1,100","1,265",988
2020년11월_여_70~79세,"13,081",921,"1,269",381,597,304,703,149,292,796,537,529,817,466,576,657,319,846,738,531,522,610,521
2020년11월_여_80~89세,"6,872",404,731,197,281,165,388,106,173,416,277,289,376,227,332,359,192,423,379,241,274,351,291
2020년11월_여_90~99세,"1,344",81,148,38,66,41,83,29,20,74,54,48,81,30,74,68,43,79,40,49,46,91,61
2020년11월_여_100세 이상,72,2,8,2,3,0,5,4,2,6,4,2,6,1,2,5,4,8,4,3,1,0,0
