,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년07월_남_총인구수,"145,030","8,408","13,033","11,369","6,095","6,927","11,402","7,517","7,555","11,280","7,103","12,532","8,353","6,789","8,825","5,731","5,723","6,388"
2020년07월_남_연령구간인구수,"145,030","8,408","13,033","11,369","6,095","6,927","11,402","7,517","7,555","11,280","7,103","12,532","8,353","6,789","8,825","5,731","5,723","6,388"
2020년07월_남_0~9세,"10,760",657,"1,218",635,227,523,925,610,669,923,719,"1,378",582,406,462,310,276,240
2020년07월_남_10~19세,"10,346",631,838,867,371,499,"1,014",845,577,779,513,854,611,488,492,271,356,340
2020년07월_남_20~29세,"22,544","1,226","2,073","2,224","2,472","1,117","1,445",877,927,"1,521",775,"1,390","1,318","1,093","1,297",946,879,964
2020년07월_남_30~39세,"24,447","1,501","2,266","1,692",909,"1,147","1,785","1,113","1,305","2,032","1,327","2,333","1,476","1,240","1,407","1,053",922,939
2020년07월_남_40~49세,"22,989","1,329","2,025","1,558",593,"1,071","2,023","1,416","1,337","1,873","1,304","2,217","1,197","1,053","1,279",789,880,"1,045"
2020년07월_남_50~59세,"23,832","1,344","2,125","1,847",641,"1,125","1,924","1,189","1,145","1,769","1,048","1,842","1,536","1,097","1,757","1,009","1,099","1,335"
2020년07월_남_60~69세,"17,401",993,"1,489","1,445",422,838,"1,227",752,920,"1,348",794,"1,423","1,051",848,"1,352",793,831,875
2020년07월_남_70~79세,"9,204",531,723,803,331,432,756,507,479,755,455,763,423,429,578,404,353,482
2020년07월_남_80~89세,"3,123",171,242,272,113,155,269,189,175,242,150,292,137,118,187,136,115,160
2020년07월_남_90~99세,315,18,28,23,10,18,26,16,19,31,14,32,19,13,13,17,11,7
2020년07월_남_100세 이상,69,7,6,3,6,2,8,3,2,7,4,8,3,4,1,3,1,1
2020년07월_여_총인구수,"151,866","8,842","14,311","11,695","5,809","7,443","12,875","8,374","8,231","12,427","7,744","14,345","8,339","6,999","8,060","5,548","5,153","5,671"
2020년07월_여_연령구간인구수,"151,866","8,842","14,311","11,695","5,809","7,443","12,875","8,374","8,231","12,427","7,744","14,345","8,339","6,999","8,060","5,548","5,153","5,671"
2020년07월_여_0~9세,"10,278",591,"1,202",608,207,503,938,610,672,856,688,"1,312",487,387,424,288,278,227
2020년07월_여_10~19세,"10,313",614,810,848,501,538,"1,196",887,523,764,467,830,552,473,443,271,279,317
2020년07월_여_20~29세,"23,053","1,300","2,409","2,241","2,011","1,175","1,602",887,915,"1,503",773,"1,679","1,254","1,115","1,132","1,117",838,"1,102"
2020년07월_여_30~39세,"25,313","1,489","2,560","1,578",732,"1,212","1,977","1,177","1,500","2,212","1,485","2,887","1,489","1,310","1,238",929,760,778
2020년07월_여_40~49세,"22,857","1,343","2,025","1,555",554,"1,143","2,169","1,573","1,272","1,927","1,306","2,270","1,257","1,109","1,119",727,733,775
2020년07월_여_50~59세,"23,933","1,436","2,353","1,930",658,"1,207","2,005","1,255","1,237","1,975","1,103","2,126","1,491","1,022","1,470",847,903,915
2020년07월_여_60~69세,"18,485","1,083","1,493","1,489",512,832,"1,485",933,"1,123","1,607",987,"1,698","1,026",843,"1,214",695,736,729
2020년07월_여_70~79세,"11,417",660,918,942,424,541,982,685,631,"1,018",604,984,517,466,664,437,398,546
2020년07월_여_80~89세,"5,209",267,447,425,179,237,435,310,310,471,292,442,235,232,285,207,187,248
2020년07월_여_90~99세,838,47,78,65,26,49,73,52,38,74,34,98,26,32,58,23,34,31
2020년07월_여_100세 이상,170,12,16,14,5,6,13,5,10,20,5,19,5,10,13,7,7,3
