,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년03월_남_90~99세,269,7,5,14,5,12,11,28,20,26,21,14,15,15,7,14,17,28,10
2021년03월_남_100세 이상,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2021년03월_여_총인구수,"150,318","1,994","2,406","5,575","2,413","4,107","5,242","15,930","12,489","12,308","8,282","10,419","5,195","8,113","2,862","10,661","14,771","19,023","8,528"
2021년03월_여_연령구간인구수,"150,318","1,994","2,406","5,575","2,413","4,107","5,242","15,930","12,489","12,308","8,282","10,419","5,195","8,113","2,862","10,661","14,771","19,023","8,528"
2021년03월_여_0~9세,"10,227",44,177,289,78,242,374,"1,084",826,554,407,"1,123",253,498,189,585,"1,245","1,467",792
2021년03월_여_10~19세,"14,630",67,163,276,100,293,618,"1,474","1,228",801,532,987,451,705,190,960,"2,129","2,446","1,210"
2021년03월_여_20~29세,"22,080",185,220,853,414,533,790,"2,858","2,333","2,280","1,721","1,131",685,"1,006",337,"1,399","1,845","2,622",868
2021년03월_여_30~39세,"17,857",158,302,718,251,454,648,"2,181","1,668","1,366","1,151","1,541",517,833,324,"1,033","1,669","2,117",926
2021년03월_여_40~49세,"24,946",173,325,733,293,576,934,"2,688","1,941","1,570","1,064","1,860",709,"1,188",355,"1,634","3,103","3,982","1,818"
2021년03월_여_50~59세,"25,234",299,342,850,428,774,833,"2,818","1,976","2,068","1,216","1,523",948,"1,502",549,"2,137","2,537","3,155","1,279"
2021년03월_여_60~69세,"18,412",420,442,858,414,625,490,"1,418","1,416","1,797","1,079","1,308",873,"1,388",448,"1,572","1,244","1,646",974
2021년03월_여_70~79세,"10,703",439,296,631,274,378,339,873,728,"1,188",688,640,467,626,249,805,627,"1,012",443
2021년03월_여_80~89세,"5,224",178,117,306,137,193,181,475,309,579,357,246,230,306,177,466,302,492,173
2021년03월_여_90~99세,958,29,22,57,23,35,34,59,60,96,66,59,59,58,42,68,63,84,44
2021년03월_여_100세 이상,47,2,0,4,1,4,1,2,4,9,1,1,3,3,2,2,7,0,1
