,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2020년11월_남_총인구수,"235,537","24,775","7,061","5,743","15,260","5,757","7,197","6,235","2,041","4,086",0,283,0,86,0,"11,833","16,236","13,973","21,291","22,369","30,648","40,663"
2020년11월_남_연령구간인구수,"235,537","24,775","7,061","5,743","15,260","5,757","7,197","6,235","2,041","4,086",0,283,0,86,0,"11,833","16,236","13,973","21,291","22,369","30,648","40,663"
2020년11월_남_0~9세,"22,704","2,502",317,187,886,95,342,252,53,304,0,10,0,2,0,582,"1,715","1,146","1,995","2,580","4,584","5,152"
2020년11월_남_10~19세,"25,146","2,448",415,409,"1,370",161,524,362,102,300,0,13,0,4,0,802,"2,204","1,448","2,937","2,902","3,780","4,965"
2020년11월_남_20~29세,"30,026","3,186",905,803,"2,057","1,214",850,779,270,587,0,28,0,3,0,"1,937","2,159","2,081","2,540","2,634","3,175","4,818"
2020년11월_남_30~39세,"35,495","4,258",765,511,"1,649","1,757",862,623,147,496,0,22,0,5,0,"1,668","2,273","1,958","2,613","3,260","5,941","6,687"
2020년11월_남_40~49세,"41,328","4,004","1,002",715,"2,296",667,"1,206",796,210,486,0,51,0,5,0,"1,790","2,919","2,250","4,186","4,358","6,157","8,230"
2020년11월_남_50~59세,"38,090","3,622","1,454","1,206","3,099",813,"1,504","1,297",436,674,0,51,0,20,0,"2,386","2,651","2,412","3,642","3,415","3,685","5,723"
2020년11월_남_60~69세,"24,375","2,499","1,206","1,058","2,268",647,"1,076","1,242",404,652,0,52,0,17,0,"1,538","1,279","1,548","2,025","1,937","1,923","3,004"
2020년11월_남_70~79세,"12,624","1,506",643,597,"1,126",277,554,625,270,424,0,40,0,18,0,816,716,766,930,902,963,"1,451"
2020년11월_남_80~89세,"5,153",654,306,222,458,115,253,224,132,147,0,14,0,10,0,276,291,332,387,347,400,585
2020년11월_남_90~99세,535,82,37,32,46,11,25,31,11,16,0,2,0,2,0,31,27,30,35,32,38,47
2020년11월_남_100세 이상,61,14,11,3,5,0,1,4,6,0,0,0,0,0,0,7,2,2,1,2,2,1
2020년11월_여_총인구수,"228,916","23,738","6,216","5,088","14,787","3,304","6,081","5,230","1,868","3,508",0,272,0,73,0,"10,532","16,864","13,238","20,678","23,282","32,034","42,123"
2020년11월_여_연령구간인구수,"228,916","23,738","6,216","5,088","14,787","3,304","6,081","5,230","1,868","3,508",0,272,0,73,0,"10,532","16,864","13,238","20,678","23,282","32,034","42,123"
2020년11월_여_0~9세,"21,714","2,456",274,161,893,101,314,242,42,283,0,10,0,3,0,562,"1,611","1,143","1,927","2,461","4,382","4,849"
2020년11월_여_10~19세,"23,785","2,312",379,331,"1,373",130,481,294,94,227,0,23,0,8,0,717,"2,051","1,316","2,679","2,919","3,731","4,720"
2020년11월_여_20~29세,"26,669","2,632",577,516,"1,716",813,626,485,142,354,0,25,0,0,0,"1,501","2,114","1,702","2,113","2,811","3,567","4,975"
2020년11월_여_30~39세,"31,529","3,441",576,387,"1,367",398,588,425,111,380,0,23,0,4,0,"1,158","2,202","1,672","2,587","3,324","5,935","6,951"
2020년11월_여_40~49세,"39,260","3,517",693,539,"2,181",272,929,557,147,358,0,22,0,9,0,"1,550","3,178","2,083","4,225","4,506","6,161","8,333"
2020년11월_여_50~59세,"34,624","3,330","1,108",990,"2,836",513,"1,096","1,030",350,567,0,49,0,10,0,"1,842","2,530","2,260","3,152","3,401","3,756","5,804"
2020년11월_여_60~69세,"24,639","2,711","1,087",961,"2,190",522,926,974,388,564,0,42,0,18,0,"1,547","1,528","1,531","1,945","2,028","2,292","3,385"
2020년11월_여_70~79세,"16,098","2,005",846,679,"1,350",285,624,631,316,481,0,54,0,13,0,"1,013","1,024",945,"1,225","1,149","1,446","2,012"
2020년11월_여_80~89세,"8,937","1,146",550,445,749,228,406,474,225,236,0,23,0,8,0,544,533,507,676,576,655,956
2020년11월_여_90~99세,"1,524",173,95,70,122,38,83,108,48,56,0,1,0,0,0,90,84,77,139,100,109,131
2020년11월_여_100세 이상,137,15,31,9,10,4,8,10,5,2,0,0,0,0,0,8,9,2,10,7,0,7
