,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년06월_남_40~49세,"7,597",351,255,147,117,179,95,106,109,142,202,151,96,132,50,115,"1,551",247,"1,572",195,802,494,249,240
2021년06월_남_50~59세,"9,809",475,459,323,215,249,152,194,195,262,326,252,154,239,142,235,"1,601",293,"1,685",257,808,502,404,387
2021년06월_남_60~69세,"8,701",513,438,317,215,316,199,191,228,290,358,332,179,243,164,235,969,227,"1,238",289,592,433,367,368
2021년06월_남_70~79세,"5,752",390,262,199,193,217,165,139,176,195,258,285,144,172,91,175,511,133,734,207,331,322,209,244
2021년06월_남_80~89세,"2,745",170,128,129,108,112,79,61,98,113,161,123,84,104,51,95,171,71,281,101,138,119,100,148
2021년06월_남_90~99세,256,22,8,10,7,9,7,11,13,9,25,12,11,6,4,11,11,4,22,12,6,11,11,14
2021년06월_남_100세 이상,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,1
2021년06월_여_총인구수,"54,048","2,759","2,098","1,420","1,008","1,396",899,884,"1,044","1,278","1,699","1,389",825,"1,126",597,"1,035","8,498","1,521","10,596","1,694","5,237","3,024","2,127","1,894"
2021년06월_여_연령구간인구수,"54,048","2,759","2,098","1,420","1,008","1,396",899,884,"1,044","1,278","1,699","1,389",825,"1,126",597,"1,035","8,498","1,521","10,596","1,694","5,237","3,024","2,127","1,894"
2021년06월_여_0~9세,"2,958",124,94,27,25,37,19,19,18,31,28,24,25,47,16,30,663,76,768,72,436,224,96,59
2021년06월_여_10~19세,"4,432",140,124,62,34,62,36,41,32,59,66,24,30,51,24,48,900,143,"1,356",127,580,242,146,105
2021년06월_여_20~29세,"4,648",163,158,70,40,51,50,54,40,57,95,61,34,58,27,54,957,152,"1,174",143,554,287,182,187
2021년06월_여_30~39세,"4,018",151,134,59,46,66,30,27,39,63,58,62,33,36,15,39,890,119,923,128,538,292,148,122
2021년06월_여_40~49세,"6,835",255,204,98,60,83,55,69,64,83,119,70,49,97,31,68,"1,505",220,"1,804",159,912,426,224,180
2021년06월_여_50~59세,"8,370",400,364,217,133,183,107,147,129,176,233,168,107,156,98,123,"1,425",250,"1,694",264,861,465,372,298
2021년06월_여_60~69세,"8,766",515,390,290,205,302,185,179,215,264,367,346,171,203,124,215,"1,033",205,"1,359",346,653,468,399,332
2021년06월_여_70~79세,"7,452",543,307,280,218,299,206,161,235,271,354,316,181,234,136,226,671,197,890,282,444,392,298,311
2021년06월_여_80~89세,"5,580",409,274,269,219,269,171,157,237,231,330,267,156,209,107,195,393,138,527,138,228,178,231,247
2021년06월_여_90~99세,936,55,44,46,27,43,38,29,34,40,48,47,37,32,18,37,53,20,99,34,30,49,27,49
2021년06월_여_100세 이상,53,4,5,2,1,1,2,1,1,3,1,4,2,3,1,0,8,1,2,1,1,1,4,4
