,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년06월_계_80~89세,"13,558",543,490,390,485,382,708,490,338,768,632,226,572,628,694,924,737,"1,479",447,542,759,246,"1,078"
2021년06월_계_90~99세,"1,519",67,53,38,58,31,75,52,28,73,81,27,77,59,77,88,82,185,52,59,75,35,147
2021년06월_계_100세 이상,51,6,2,2,1,1,5,1,2,2,3,0,4,1,0,3,3,5,2,1,1,3,3
2021년06월_남_총인구수,"167,668","3,723","4,976","4,886","5,956","3,048","6,201","5,992","3,689","6,931","6,530","2,172","10,574","7,277","7,928","8,705","7,718","21,093","5,618","10,302","14,493","9,240","10,616"
2021년06월_남_연령구간인구수,"167,668","3,723","4,976","4,886","5,956","3,048","6,201","5,992","3,689","6,931","6,530","2,172","10,574","7,277","7,928","8,705","7,718","21,093","5,618","10,302","14,493","9,240","10,616"
2021년06월_남_0~9세,"12,437",146,500,496,186,101,386,473,78,288,316,80,"1,078",318,416,407,375,"1,885",307,"1,189","1,258","1,523",631
2021년06월_남_10~19세,"13,813",223,451,338,334,214,473,582,193,438,497,126,"1,173",469,477,654,504,"1,946",349,"1,327","1,515",765,765
2021년06월_남_20~29세,"21,952",474,525,538,894,431,806,820,609,995,902,392,"1,216","1,060","1,162","1,263","1,045","2,738",762,"1,104","2,021",872,"1,323"
2021년06월_남_30~39세,"22,903",400,667,845,784,303,753,748,606,779,811,268,"1,333",853,"1,052",885,921,"2,854",726,"1,454","2,148","2,284","1,429"
2021년06월_남_40~49세,"26,109",504,924,704,862,412,961,904,544,871,963,251,"1,989",941,"1,090","1,139","1,055","3,426",766,"2,031","2,413","1,885","1,474"
2021년06월_남_50~59세,"27,509",674,736,734,"1,171",560,"1,024","1,067",631,"1,255","1,086",376,"1,603","1,375","1,391","1,612","1,439","3,373","1,045","1,477","2,248",804,"1,828"
2021년06월_남_60~69세,"24,517",671,609,673,"1,007",560,930,814,566,"1,244","1,101",388,"1,319","1,362","1,368","1,538","1,338","2,964",956,907,"1,748",717,"1,737"
2021년06월_남_70~79세,"13,221",420,388,396,519,325,581,396,334,737,597,200,641,673,698,847,781,"1,413",495,589,860,308,"1,023"
2021년06월_남_80~89세,"4,874",201,161,155,180,136,267,176,122,305,234,86,209,213,258,340,247,462,196,209,262,76,379
2021년06월_남_90~99세,321,10,14,7,18,6,19,12,5,18,23,5,13,13,16,20,12,31,14,15,19,6,25
2021년06월_남_100세 이상,12,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,2
2021년06월_여_총인구수,"173,025","3,765","5,544","4,973","5,812","3,387","6,833","6,153","3,710","7,022","7,074","1,903","10,966","7,307","7,845","9,358","7,676","21,941","5,540","10,957","14,789","9,443","11,027"
2021년06월_여_연령구간인구수,"173,025","3,765","5,544","4,973","5,812","3,387","6,833","6,153","3,710","7,022","7,074","1,903","10,966","7,307","7,845","9,358","7,676","21,941","5,540","10,957","14,789","9,443","11,027"
2021년06월_여_0~9세,"11,938",127,450,440,173,107,347,409,80,220,346,97,"1,101",313,396,410,366,"1,725",318,"1,177","1,200","1,457",679
2021년06월_여_10~19세,"12,501",167,402,291,286,169,401,443,142,363,467,93,"1,127",423,434,586,435,"1,745",289,"1,358","1,417",751,712
2021년06월_여_20~29세,"19,243",388,487,522,835,335,705,727,698,836,817,201,"1,025",843,969,"1,047",852,"2,429",603,"1,061","1,790","1,007","1,066"
2021년06월_여_30~39세,"20,361",260,687,747,600,257,720,736,459,569,669,182,"1,388",632,819,781,706,"2,692",601,"1,549","1,921","2,180","1,206"
2021년06월_여_40~49세,"24,787",420,898,673,675,399,903,984,390,793,944,191,"1,996",794,933,"1,084",897,"3,290",652,"2,189","2,475","1,670","1,537"
2021년06월_여_50~59세,"28,871",624,814,758,"1,079",644,"1,161","1,064",616,"1,284","1,195",352,"1,673","1,462","1,489","1,858","1,367","3,546","1,102","1,405","2,404",965,"2,009"
2021년06월_여_60~69세,"28,350",771,820,801,"1,130",730,"1,234",897,680,"1,458","1,361",364,"1,452","1,550","1,438","1,855","1,516","3,493","1,069","1,108","1,972",820,"1,831"
2021년06월_여_70~79세,"17,053",603,617,473,689,474,861,538,405,980,816,261,773,828,870,"1,082",975,"1,846",617,732,"1,057",391,"1,165"
2021년06월_여_80~89세,"8,684",342,329,235,305,246,441,314,216,463,398,140,363,415,436,584,490,"1,017",251,333,497,170,699
2021년06월_여_90~99세,"1,198",57,39,31,40,25,56,40,23,55,58,22,64,46,61,68,70,154,38,44,56,29,122
2021년06월_여_100세 이상,39,6,1,2,0,1,4,1,1,1,3,0,4,1,0,3,2,4,0,1,0,3,1
