,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년06월_남_70~79세,"110,174","29,722","6,529","3,422","7,532","6,834","5,405","11,259","5,096","4,609","11,675","5,575","5,300","9,734","1,628","2,990","3,503","3,001","2,928","2,776","2,313","2,256","2,878","2,931"
2021년06월_남_80~89세,"40,465","9,136","1,833",892,"2,456","2,026","1,929","3,980","1,553","1,841","3,684","2,155","1,573","3,173",902,"1,259","1,546","1,343","1,509","1,365","1,102","1,173","1,552","1,619"
2021년06월_남_90~99세,"3,362",660,148,75,196,111,130,323,125,137,259,173,131,256,94,109,114,115,157,158,115,121,176,139
2021년06월_남_100세 이상,89,14,5,2,3,2,2,16,3,6,12,5,8,3,1,3,0,2,1,4,2,2,5,2
2021년06월_여_총인구수,"1,651,228","510,302","127,704","103,723","90,589","94,062","94,224","175,551","62,897","54,685","266,824","52,961","115,690","176,378","13,491","31,069","30,507","25,382","22,017","22,050","17,595","20,047","31,341","22,441"
2021년06월_여_연령구간인구수,"1,651,228","510,302","127,704","103,723","90,589","94,062","94,224","175,551","62,897","54,685","266,824","52,961","115,690","176,378","13,491","31,069","30,507","25,382","22,017","22,050","17,595","20,047","31,341","22,441"
2021년06월_여_0~9세,"126,015","39,269","10,124","7,674","6,390","6,148","8,933","13,255","4,502","3,804","23,227","2,648","12,205","16,525",500,"1,884","1,472","1,204",744,818,598,865,"1,763",732
2021년06월_여_10~19세,"153,269","46,933","10,887","10,565","6,809","8,516","10,156","16,444","6,125","4,906","29,124","3,638","13,283","16,838",688,"2,763","1,916","1,880","1,318","1,262",944,"1,394","2,696","1,117"
2021년06월_여_20~29세,"164,393","56,516","15,536","13,887","8,598","9,639","8,856","20,206","4,784","4,253","31,021","3,737","10,274","18,556",845,"2,186","1,986","1,567","1,217","1,306","1,011","1,317","2,372","1,239"
2021년06월_여_30~39세,"185,431","62,044","16,260","13,388","10,055","9,911","12,430","19,953","6,329","5,267","32,747","4,055","16,495","23,419",783,"2,560","2,208","1,626","1,142","1,190",957,"1,229","2,358","1,069"
2021년06월_여_40~49세,"258,112","82,109","20,060","18,086","12,599","14,543","16,821","26,938","9,698","8,204","48,904","6,030","21,711","30,133","1,179","4,176","3,086","2,747","2,094","2,119","1,519","1,933","3,750","1,782"
2021년06월_여_50~59세,"281,602","92,776","25,212","22,041","14,769","16,988","13,766","28,851","10,639","8,516","47,480","9,050","18,135","29,093","1,983","4,942","4,937","4,066","3,277","3,650","2,893","3,118","4,935","3,261"
2021년06월_여_60~69세,"242,627","74,698","17,840","11,860","16,401","16,043","12,554","25,047","10,797","8,817","29,968","11,004","13,574","23,057","2,659","5,494","6,253","5,010","4,332","4,409","3,662","3,787","5,414","4,645"
2021년06월_여_70~79세,"137,227","34,922","7,120","3,705","9,280","8,198","6,619","14,495","6,118","6,122","14,989","7,168","5,784","11,811","2,287","3,655","4,521","3,747","3,722","3,584","2,886","3,189","4,058","4,169"
2021년06월_여_80~89세,"87,536","18,028","3,964","2,139","4,826","3,569","3,530","8,815","3,363","4,067","8,126","4,876","3,526","6,001","2,188","2,931","3,555","2,982","3,416","3,080","2,644","2,724","3,381","3,833"
2021년06월_여_90~99세,"14,599","2,933",683,368,842,490,550,"1,486",528,712,"1,198",732,682,914,374,473,559,540,742,619,468,477,595,567
2021년06월_여_100세 이상,417,74,18,10,20,17,9,61,14,17,40,23,21,31,5,5,14,13,13,13,13,14,19,27
