,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년06월_남_70~79세,"83,330","7,714","10,871","8,361","4,966","3,520","2,785","1,804","1,605","4,901","2,809","3,075","2,293","2,240","4,359","2,641","3,440","2,162","3,032","2,611","3,260","2,014","2,867"
2020년06월_남_80~89세,"33,793","2,310","3,474","3,210","1,906","1,446","1,208",990,801,"2,315","1,466","1,399","1,173","1,072","1,820","1,231","1,244","1,001","1,217","1,180","1,383",811,"1,136"
2020년06월_남_90~99세,"3,107",194,281,309,208,133,127,101,77,257,143,145,117,92,151,105,91,115,96,116,97,66,86
2020년06월_남_100세 이상,117,16,15,8,10,5,3,2,3,7,6,2,4,4,1,7,4,3,4,5,3,0,5
2020년06월_여_총인구수,"922,720","114,402","137,823","140,751","56,806","72,827","22,614","14,504","13,303","33,122","21,084","31,657","19,589","18,062","35,196","26,374","40,680","16,179","26,810","21,953","24,946","15,489","18,549"
2020년06월_여_연령구간인구수,"922,720","114,402","137,823","140,751","56,806","72,827","22,614","14,504","13,303","33,122","21,084","31,657","19,589","18,062","35,196","26,374","40,680","16,179","26,810","21,953","24,946","15,489","18,549"
2020년06월_여_0~9세,"66,502","9,506","10,628","11,573","4,944","6,828","1,169",560,602,"1,325",880,"1,762",999,927,"2,092","1,909","3,470",692,"1,865","1,462","1,589",911,809
2020년06월_여_10~19세,"81,599","12,292","12,886","14,673","4,548","7,795","1,454",977,902,"1,873","1,309","2,805","1,375","1,252","2,584","2,134","4,282",982,"2,049","1,565","1,786","1,088",988
2020년06월_여_20~29세,"88,877","12,685","14,711","17,019","5,722","8,514","1,945","1,101",946,"1,795","1,340","3,100","1,373","1,267","2,462","2,160","3,832","1,072","2,232","1,800","1,562","1,032","1,207"
2020년06월_여_30~39세,"89,998","13,291","14,656","16,248","7,013","8,876","1,736",811,809,"1,749","1,231","2,385","1,375","1,266","2,552","2,281","4,522","1,008","2,385","1,804","1,894","1,034","1,072"
2020년06월_여_40~49세,"121,814","18,487","20,049","22,164","7,102","11,894","2,216","1,385","1,367","2,679","1,857","4,062","1,900","1,697","3,558","3,104","5,955","1,459","2,868","2,418","2,601","1,509","1,483"
2020년06월_여_50~59세,"146,527","18,297","23,307","24,290","7,839","13,013","3,639","2,220","2,103","4,712","3,017","5,115","2,940","2,678","5,330","4,024","5,604","2,351","3,962","3,262","3,714","2,284","2,826"
2020년06월_여_60~69세,"131,708","14,788","20,018","16,343","7,707","7,649","3,869","2,351","2,322","6,324","3,765","4,360","3,239","3,057","6,117","3,885","5,258","2,821","4,185","3,405","4,232","2,559","3,454"
2020년06월_여_70~79세,"108,382","9,689","13,202","10,392","6,526","4,483","3,532","2,507","2,300","6,530","3,865","4,397","3,202","3,031","5,700","3,707","4,351","3,038","4,088","3,352","4,162","2,762","3,566"
2020년06월_여_80~89세,"74,164","4,567","6,998","6,754","4,588","3,159","2,564","2,181","1,661","5,144","3,240","3,149","2,680","2,469","4,118","2,740","2,894","2,368","2,707","2,481","2,940","2,005","2,757"
2020년06월_여_90~99세,"12,431",739,"1,279","1,241",769,599,462,402,273,950,546,489,487,392,639,405,480,365,438,367,446,287,376
2020년06월_여_100세 이상,718,61,89,54,48,17,28,9,18,41,34,33,19,26,44,25,32,23,31,37,20,18,11
