,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년02월_계_80~89세,"26,750","5,764",851,925,506,926,493,833,705,525,"2,968",595,304,358,678,531,270,232,"7,200",334,471,316,515,278,44,779,537,684,450,471,591,925,388,417,"5,432","1,412",584,352,546,375,352,611,284,249,297,254,116,"5,386",708,653,369,369,314,298,317,441,303,487,349,248,530
2021년02월_계_90~99세,"3,547",800,104,150,74,126,64,99,106,77,446,89,55,62,93,76,37,34,"1,044",67,79,58,91,40,8,124,80,81,47,49,83,124,46,67,593,146,58,51,49,42,35,77,34,20,42,27,12,664,89,80,45,42,37,43,41,54,28,56,42,42,65
2021년02월_계_100세 이상,194,37,5,7,3,9,1,6,5,1,22,7,4,4,4,3,0,0,71,1,3,2,2,0,2,5,4,8,3,4,22,6,4,5,46,5,7,4,4,6,3,2,4,2,3,3,3,18,3,1,1,3,2,2,1,1,1,1,1,0,1
2021년02월_남_총인구수,"524,688","133,019","10,152","21,915","3,659","25,713","19,348","21,446","15,754","15,032","109,060","21,032","12,563","14,108","22,600","20,832","13,788","4,137","88,555","2,218","6,289","1,883","1,970","7,022",521,"18,908","5,529","7,159","4,482","5,304","7,871","9,689","3,491","6,219","95,265","32,334","5,169","4,985","8,546","3,160","5,608","15,618","4,801","3,854","4,511","4,811","1,868","98,789","8,898","4,287","2,512","5,733","3,727","8,904","4,540","10,707","5,029","12,947","6,494","3,286","21,725"
2021년02월_남_연령구간인구수,"524,688","133,019","10,152","21,915","3,659","25,713","19,348","21,446","15,754","15,032","109,060","21,032","12,563","14,108","22,600","20,832","13,788","4,137","88,555","2,218","6,289","1,883","1,970","7,022",521,"18,908","5,529","7,159","4,482","5,304","7,871","9,689","3,491","6,219","95,265","32,334","5,169","4,985","8,546","3,160","5,608","15,618","4,801","3,854","4,511","4,811","1,868","98,789","8,898","4,287","2,512","5,733","3,727","8,904","4,540","10,707","5,029","12,947","6,494","3,286","21,725"
2021년02월_남_0~9세,"42,610","10,852",565,"3,342",133,"2,178","1,551","1,214",729,"1,140","8,316","1,659",633,"1,041","1,765","1,851","1,129",238,"6,785",67,591,37,25,"1,112",27,"2,024",258,465,218,261,627,533,164,376,"6,748","2,593",206,340,571,81,305,"1,608",348,139,204,275,78,"9,909",755,191,95,563,285,765,197,"1,225",549,"1,823",964,269,"2,228"
2021년02월_남_10~19세,"51,880","12,386","1,023","1,911",217,"2,422","2,054","2,124","1,180","1,455","12,017","2,777",760,"1,800","2,511","2,097","1,669",403,"7,203",84,524,82,76,605,17,"1,932",341,714,343,508,673,608,226,470,"9,418","4,197",305,411,656,177,449,"1,797",301,263,334,405,123,"10,856",917,363,153,535,406,"1,250",302,"1,157",631,"1,628",475,358,"2,681"
2021년02월_남_20~29세,"71,920","19,701","1,338","2,119",374,"3,827","3,132","3,584","2,771","2,556","17,861","3,163","2,514","2,324","3,539","3,426","2,285",610,"10,551",197,592,162,147,612,74,"2,637",950,877,607,665,855,"1,054",359,763,"12,182","4,542",543,601,979,335,747,"1,878",622,501,545,669,220,"11,625","1,345",487,287,632,430,"1,241",619,"1,250",655,"1,266",650,351,"2,412"
2021년02월_남_30~39세,"70,425","18,561",962,"3,937",406,"3,789","2,856","2,283","2,196","2,132","15,558","2,241","2,546","1,816","3,296","3,273","1,806",580,"11,059",184,773,128,106,"1,192",57,"2,704",610,785,473,538,"1,029","1,232",440,808,"11,303","3,303",553,707,"1,271",317,704,"1,987",691,456,502,583,229,"13,944","1,224",394,217,839,425,"1,121",612,"1,625",665,"1,843","1,238",378,"3,363"
2021년02월_남_40~49세,"85,150","20,587","1,635","3,874",467,"3,982","3,002","3,221","2,189","2,217","17,011","3,482","2,047","2,142","3,581","3,124","1,998",637,"13,728",265,"1,066",198,184,"1,311",59,"2,940",726,"1,143",630,722,"1,266","1,663",562,993,"15,212","5,462",777,717,"1,287",413,823,"2,735",732,587,617,739,323,"18,612","1,555",618,346,903,656,"1,634",749,"1,917",863,"2,595","1,116",578,"5,082"
2021년02월_남_50~59세,"92,431","24,720","1,983","2,976",678,"4,732","3,825","4,533","3,094","2,899","21,024","4,107","2,186","2,826","4,206","4,001","2,979",719,"14,749",410,"1,103",407,407,946,93,"2,975",940,"1,193",826,912,"1,256","1,629",597,"1,055","17,115","6,338",889,785,"1,426",595,947,"2,521",824,707,888,829,366,"14,823","1,212",715,463,898,571,"1,434",773,"1,648",695,"1,645",900,568,"3,301"
2021년02월_남_60~69세,"71,289","17,854","1,613","2,569",832,"3,277","2,154","3,090","2,485","1,834","12,978","2,607","1,337","1,694","2,836","2,366","1,536",602,"14,389",578,968,495,533,791,115,"2,354",963,"1,101",832,"1,000","1,276","1,701",657,"1,025","14,419","3,902","1,039",861,"1,376",726,993,"2,026",772,703,883,804,334,"11,649","1,002",721,497,824,546,984,795,"1,283",595,"1,447",730,490,"1,735"
2021년02월_남_70~79세,"29,363","6,404",761,901,398,"1,185",595,"1,075",863,626,"3,343",795,414,348,677,536,315,258,"7,466",327,503,267,325,352,64,"1,069",545,637,395,524,663,913,336,546,"6,801","1,527",626,437,770,356,505,802,402,412,415,398,151,"5,349",612,517,312,406,299,353,377,453,277,511,290,222,720
2021년02월_남_80~89세,"8,912","1,808",264,265,139,296,165,293,228,158,866,189,112,103,171,145,65,81,"2,405",96,156,100,150,92,10,257,181,222,148,165,200,327,135,166,"1,948",453,220,115,197,141,130,250,102,81,115,102,42,"1,885",257,262,129,125,105,110,112,136,92,181,119,66,191
2021년02월_남_90~99세,663,139,8,20,13,24,14,28,18,14,79,11,11,13,18,11,6,9,203,10,12,7,17,9,5,16,14,22,10,8,15,27,14,17,110,16,11,11,11,15,5,14,6,5,8,7,1,132,18,18,12,8,3,12,4,13,7,8,12,6,11
2021년02월_남_100세 이상,45,7,0,1,2,1,0,1,1,1,7,1,3,1,0,2,0,0,17,0,1,0,0,0,0,0,1,0,0,1,11,2,1,0,9,1,0,0,2,4,0,0,1,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,0,1
2021년02월_여_총인구수,"510,886","128,320","9,769","21,496","3,546","25,142","18,388","20,648","14,481","14,850","104,460","20,707","10,326","13,936","22,826","20,192","12,713","3,760","89,350","2,057","5,959","1,643","2,013","7,106",465,"19,131","5,675","7,581","4,725","5,440","8,003","9,873","3,373","6,306","94,803","31,942","5,239","5,132","8,510","3,078","5,588","15,990","4,633","3,861","4,538","4,809","1,483","93,953","8,289","4,378","2,469","5,568","3,782","8,484","4,038","10,720","5,206","12,959","6,333","3,125","18,602"
2021년02월_여_연령구간인구수,"510,886","128,320","9,769","21,496","3,546","25,142","18,388","20,648","14,481","14,850","104,460","20,707","10,326","13,936","22,826","20,192","12,713","3,760","89,350","2,057","5,959","1,643","2,013","7,106",465,"19,131","5,675","7,581","4,725","5,440","8,003","9,873","3,373","6,306","94,803","31,942","5,239","5,132","8,510","3,078","5,588","15,990","4,633","3,861","4,538","4,809","1,483","93,953","8,289","4,378","2,469","5,568","3,782","8,484","4,038","10,720","5,206","12,959","6,333","3,125","18,602"
2021년02월_여_0~9세,"40,008","10,311",571,"3,134",114,"2,156","1,506","1,128",723,979,"7,921","1,579",547,"1,027","1,675","1,795","1,055",243,"6,244",52,505,32,32,"1,044",22,"1,899",244,410,205,210,586,506,154,343,"6,359","2,441",180,309,542,71,266,"1,564",314,139,220,240,73,"9,173",751,154,78,478,255,721,169,"1,174",516,"1,610",861,241,"2,165"
2021년02월_여_10~19세,"47,204","11,062",847,"1,834",174,"2,237","1,803","1,850","1,059","1,258","10,776","2,502",678,"1,592","2,291","1,948","1,418",347,"6,710",73,499,66,65,600,21,"1,782",370,654,381,370,616,544,186,483,"8,586","3,798",303,385,584,156,390,"1,643",302,213,319,396,97,"10,070",922,295,127,473,346,"1,155",239,"1,070",578,"1,601",481,330,"2,453"
2021년02월_여_20~29세,"57,101","15,744",935,"1,771",276,"3,171","2,499","2,938","2,063","2,091","14,173","2,458","1,983","1,828","2,992","2,697","1,819",396,"8,485",103,480,110,81,576,61,"2,036",743,708,515,514,715,941,258,644,"9,845","3,627",400,541,846,253,590,"1,474",513,445,418,627,111,"8,854",783,338,206,500,343,955,424,"1,048",516,"1,035",611,258,"1,837"
2021년02월_여_30~39세,"62,624","16,455",817,"4,069",251,"3,325","2,531","2,006","1,562","1,894","13,575","2,283","1,726","1,644","3,032","2,951","1,553",386,"9,796",99,676,78,76,"1,249",46,"2,644",498,715,363,425,898,"1,039",300,690,"10,123","3,246",371,625,"1,047",226,584,"2,059",576,342,378,509,160,"12,675",969,302,161,699,381,"1,009",394,"1,611",656,"2,062","1,240",334,"2,857"
2021년02월_여_40~49세,"82,352","20,214","1,518","3,401",325,"4,002","3,262","3,243","2,029","2,434","18,406","3,935","1,584","2,560","4,084","3,365","2,280",598,"12,373",126,879,122,123,"1,159",59,"3,079",649,"1,095",590,729,"1,142","1,329",426,866,"14,736","5,948",610,651,"1,073",296,750,"2,870",603,504,570,651,210,"16,623","1,381",568,265,852,615,"1,747",523,"1,854",877,"2,434",967,508,"4,032"
2021년02월_여_50~59세,"93,633","25,592","1,913","3,182",652,"4,978","3,818","4,694","3,081","3,274","22,194","4,252","1,929","3,179","4,886","4,317","2,913",718,"14,840",371,928,311,323,966,64,"3,190",957,"1,289",900,"1,048","1,241","1,622",565,"1,065","17,235","6,095",875,838,"1,497",576,995,"2,767",833,692,895,893,279,"13,772","1,013",687,410,917,596,"1,329",758,"1,772",712,"1,830",858,506,"2,384"
2021년02월_여_60~69세,"72,513","17,246","1,578","2,357",804,"3,284","1,953","2,991","2,455","1,824","11,288","2,363","1,259","1,395","2,438","2,038","1,173",622,"15,981",571,"1,061",390,449,907,101,"2,651","1,112","1,314",919,"1,144","1,440","1,970",739,"1,213","15,761","3,803","1,268",955,"1,613",746,"1,197","2,232",823,890,"1,032",899,303,"12,237","1,127",861,533,905,646,958,874,"1,297",716,"1,449",694,481,"1,696"
2021년02월_여_70~79세,"34,580","7,049",902,952,521,"1,249",637,"1,182",940,666,"3,643",845,383,404,842,629,266,274,"9,231",366,547,265,423,388,52,"1,215",677,867,510,650,895,"1,223",457,696,"8,154","1,891",814,547,919,491,561,955,456,451,487,419,163,"6,503",819,720,416,463,356,389,414,547,402,583,360,249,785
2021년02월_여_80~89세,"17,838","3,956",587,660,367,630,328,540,477,367,"2,102",406,192,255,507,386,205,151,"4,795",238,315,216,365,186,34,522,356,462,302,306,391,598,253,251,"3,484",959,364,237,349,234,222,361,182,168,182,152,74,"3,501",451,391,240,244,209,188,205,305,211,306,230,182,339
2021년02월_여_90~99세,"2,884",661,96,130,61,102,50,71,88,63,367,78,44,49,75,65,31,25,841,57,67,51,74,31,3,108,66,59,37,41,68,97,32,50,483,130,47,40,38,27,30,63,28,15,34,20,11,532,71,62,33,34,34,31,37,41,21,48,30,36,54
2021년02월_여_100세 이상,149,30,5,6,1,8,1,5,4,0,15,6,1,3,4,1,0,0,54,1,2,2,2,0,2,5,3,8,3,3,11,4,3,5,37,4,7,4,2,2,3,2,3,2,3,3,2,13,2,0,0,3,1,2,1,1,1,1,1,0,0
