카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년09월_남_20~29세,"31,628","3,159",962,800,"1,969","1,797",889,771,284,637,29,"1,964","2,090","2,133","2,961","3,072","3,059","5,052"
2021년09월_남_30~39세,"35,777","4,111",789,495,"1,592","1,771",873,602,139,505,27,"1,687","2,169","1,905","3,375","3,682","5,506","6,549"
2021년09월_남_40~49세,"42,061","4,039","1,001",645,"2,272",744,"1,179",754,199,453,50,"1,754","2,840","2,245","4,370","4,726","6,299","8,491"
2021년09월_남_50~59세,"39,574","3,657","1,470","1,124","3,051",856,"1,495","1,296",423,615,78,"2,341","2,714","2,520","3,966","3,817","3,969","6,182"
2021년09월_남_60~69세,"26,863","2,769","1,310","1,141","2,439",691,"1,213","1,308",436,706,74,"1,696","1,432","1,690","2,296","2,258","2,056","3,348"
2021년09월_남_70~79세,"12,693","1,476",614,582,"1,118",290,543,611,265,405,51,754,736,792,978,981,"1,021","1,476"
2021년09월_남_80~89세,"5,504",644,302,239,494,111,270,246,137,157,28,303,321,350,425,403,426,648
2021년09월_남_90~99세,542,80,33,34,43,13,24,32,13,22,4,33,23,28,31,33,41,55
2021년09월_남_100세 이상,19,3,3,0,3,1,0,1,3,0,0,0,1,1,0,0,2,1
2021년09월_여_총인구수,"235,401","23,640","6,331","4,881","14,729","3,261","6,156","5,138","1,832","3,412",347,"10,383","16,864","13,471","23,109","25,627","32,282","43,938"
2021년09월_여_연령구간인구수,"235,401","23,640","6,331","4,881","14,729","3,261","6,156","5,138","1,832","3,412",347,"10,383","16,864","13,471","23,109","25,627","32,282","43,938"
2021년09월_여_0~9세,"21,276","2,339",280,150,813,90,299,215,35,277,12,514,"1,530","1,092","2,163","2,483","4,261","4,723"
2021년09월_여_10~19세,"24,302","2,341",411,319,"1,355",122,465,277,84,211,26,689,"2,028","1,277","2,729","3,149","3,857","4,962"
2021년09월_여_20~29세,"27,346","2,484",616,475,"1,667",763,622,469,151,340,27,"1,482","2,078","1,740","2,658","3,191","3,352","5,231"
2021년09월_여_30~39세,"32,129","3,385",598,378,"1,345",413,601,393,88,375,29,"1,178","2,120","1,649","3,191","3,725","5,712","6,949"
2021년09월_여_40~49세,"39,969","3,502",730,468,"2,128",273,896,525,146,339,32,"1,424","3,097","2,082","4,431","4,862","6,321","8,713"
2021년09월_여_50~59세,"36,176","3,380","1,120",933,"2,816",501,"1,140","1,001",311,515,63,"1,831","2,613","2,353","3,524","3,833","3,946","6,296"
2021년09월_여_60~69세,"26,870","2,889","1,156",979,"2,359",528,989,"1,040",417,594,58,"1,622","1,675","1,693","2,224","2,381","2,499","3,767"
2021년09월_여_70~79세,"16,043","1,936",758,656,"1,318",301,602,633,308,464,63,971,"1,035",936,"1,273","1,232","1,489","2,068"
2021년09월_여_80~89세,"9,597","1,225",560,452,798,229,446,467,230,243,34,574,584,554,756,644,728,"1,073"
2021년09월_여_90~99세,"1,635",154,97,70,122,41,88,114,61,49,3,95,103,95,156,121,115,151
2021년09월_여_100세 이상,58,5,5,1,8,0,8,4,1,5,0,3,1,0,4,6,2,5
