,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년08월_남_70~79세,"16,171",913,"1,122","1,164","1,234","1,040",696,564,468,404,756,"1,222","1,331",689,"1,221",997,849,511,594,396
2020년08월_남_80~89세,"5,609",313,309,392,382,345,265,223,197,144,254,466,471,212,465,333,321,169,203,145
2020년08월_남_90~99세,604,26,36,36,43,43,44,21,23,18,27,53,48,19,32,39,40,18,19,19
2020년08월_남_100세 이상,85,4,1,2,2,6,2,1,4,4,0,3,33,6,8,5,1,0,1,2
2020년08월_여_총인구수,"272,255","11,035","14,374","16,075","19,433","20,430","14,415","11,990","12,871","14,107","10,790","19,308","20,245","10,495","13,725","12,747","18,102","12,083","11,228","8,802"
2020년08월_여_연령구간인구수,"272,255","11,035","14,374","16,075","19,433","20,430","14,415","11,990","12,871","14,107","10,790","19,308","20,245","10,495","13,725","12,747","18,102","12,083","11,228","8,802"
2020년08월_여_0~9세,"16,606",614,909,"1,114","1,070","1,434",583,760,764,911,609,"1,101","1,177",516,715,565,"1,289","1,246",722,507
2020년08월_여_10~19세,"26,094",807,"1,076","1,064","1,390","2,213","1,468","1,416","2,243","2,743","1,059","1,713","1,641",936,994,"1,032","1,499","1,055","1,049",696
2020년08월_여_20~29세,"35,752","1,632","1,547","1,812","3,366","3,369","2,213","1,550","1,573","1,441","1,262","2,123","2,652","1,656","1,526","1,636","2,413","1,400","1,308","1,273"
2020년08월_여_30~39세,"32,980","1,285","1,661","2,363","2,689","2,638","1,379","1,370","1,028","1,164",983,"2,246","2,483","1,148","1,438","1,269","2,657","2,449","1,436","1,294"
2020년08월_여_40~49세,"45,879","1,678","2,180","2,355","2,716","3,525","2,412","2,218","2,910","3,762","1,943","3,080","3,016","1,656","2,006","1,938","3,074","1,999","1,987","1,424"
2020년08월_여_50~59세,"45,393","1,810","2,403","2,595","3,059","3,092","2,605","2,043","2,219","2,078","1,826","3,006","3,752","1,985","2,404","2,340","3,050","1,601","1,933","1,592"
2020년08월_여_60~69세,"35,779","1,626","2,408","2,524","2,884","2,272","1,877","1,305","1,073","1,030","1,389","2,723","3,020","1,426","2,246","1,935","2,167","1,251","1,490","1,133"
2020년08월_여_70~79세,"21,204","1,074","1,383","1,435","1,495","1,195","1,125",794,643,578,"1,128","2,098","1,572",747,"1,550","1,301","1,137",661,778,510
2020년08월_여_80~89세,"10,564",413,678,692,634,583,659,458,346,344,497,"1,041",754,349,721,609,672,356,442,316
2020년08월_여_90~99세,"1,809",83,114,108,116,101,89,73,61,48,81,165,161,69,104,100,140,61,80,55
2020년08월_여_100세 이상,195,13,15,13,14,8,5,3,11,8,13,12,17,7,21,22,4,4,3,2
