카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년02월_남_50~59세,"19,118",607,962,"1,146",814,685,"1,388","1,295","1,033","1,092","1,742",263,852,"2,608","1,697","2,850",84
2021년02월_남_60~69세,"18,219",610,"1,027","1,191",977,799,"1,260","1,132","1,173",893,"1,514",299,886,"2,421","1,382","2,543",112
2021년02월_남_70~79세,"9,891",366,515,638,519,524,624,533,695,505,915,170,589,"1,324",678,"1,247",49
2021년02월_남_80~89세,"3,253",123,137,218,130,148,233,212,193,195,308,60,221,436,212,414,13
2021년02월_남_90~99세,295,4,10,13,12,17,24,22,10,14,36,7,28,33,13,49,3
2021년02월_남_100세 이상,42,2,4,0,1,2,1,2,0,2,22,1,0,1,1,2,1
2021년02월_여_총인구수,"118,524","2,828","4,866","5,737","3,854","4,461","8,732","8,412","6,826","8,636","14,181","1,134","5,117","15,045","10,469","17,671",555
2021년02월_여_연령구간인구수,"118,524","2,828","4,866","5,737","3,854","4,461","8,732","8,412","6,826","8,636","14,181","1,134","5,117","15,045","10,469","17,671",555
2021년02월_여_0~9세,"6,288",49,161,163,112,138,409,573,263,475,"1,261",34,245,593,653,"1,120",39
2021년02월_여_10~19세,"8,491",119,235,290,168,234,672,659,369,583,"1,103",46,331,"1,011","1,000","1,620",51
2021년02월_여_20~29세,"15,132",247,515,547,360,408,"1,216","1,089",729,"2,342","1,644",99,461,"2,059","1,242","2,141",33
2021년02월_여_30~39세,"11,985",173,438,473,348,371,879,967,669,883,"1,961",80,459,"1,360","1,141","1,739",44
2021년02월_여_40~49세,"16,068",298,530,588,382,499,"1,265","1,193",861,"1,071","2,404",110,640,"1,854","1,623","2,663",87
2021년02월_여_50~59세,"21,159",536,982,"1,162",766,775,"1,579","1,504","1,234","1,164","2,034",225,944,"2,939","1,966","3,267",82
2021년02월_여_60~69세,"20,857",713,"1,151","1,287",934,983,"1,443","1,336","1,496","1,108","1,870",248,"1,065","2,722","1,575","2,815",111
2021년02월_여_70~79세,"11,810",433,561,829,540,698,800,642,838,644,"1,126",174,626,"1,633",789,"1,416",61
2021년02월_여_80~89세,"5,655",220,246,345,207,319,401,381,314,311,561,105,301,753,409,745,37
2021년02월_여_90~99세,921,30,37,43,34,35,62,65,50,46,140,12,41,116,64,137,9
2021년02월_여_100세 이상,158,10,10,10,3,1,6,3,3,9,77,1,4,5,7,8,1
