카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년12월_남_총인구수,"140,573","3,413","3,902","3,627","1,148",809,985,"1,354","1,639","1,487","1,688","2,795","2,260","2,379","1,342",777,"1,848","2,577","3,633","11,219","4,820","5,941","18,614","4,261","11,479","7,058","12,412","7,878","3,476","15,752"
2020년12월_남_연령구간인구수,"140,573","3,413","3,902","3,627","1,148",809,985,"1,354","1,639","1,487","1,688","2,795","2,260","2,379","1,342",777,"1,848","2,577","3,633","11,219","4,820","5,941","18,614","4,261","11,479","7,058","12,412","7,878","3,476","15,752"
2020년12월_남_0~9세,"9,812",192,266,143,30,12,24,38,50,39,78,176,59,104,38,12,64,168,170,837,244,259,"1,893",436,775,635,"1,187",320,285,"1,278"
2020년12월_남_10~19세,"14,256",271,313,260,61,41,44,74,88,68,91,162,115,164,60,49,83,156,216,"1,203",395,472,"2,140",515,"1,394","1,099","1,740",532,331,"2,119"
2020년12월_남_20~29세,"19,713",353,363,389,103,49,77,104,124,89,183,447,144,233,139,56,211,277,471,"1,388",750,744,"2,464",485,"1,825","1,195","1,902","2,267",443,"2,438"
2020년12월_남_30~39세,"14,931",279,425,287,77,44,52,108,115,103,164,264,146,186,102,35,187,278,458,"1,280",517,565,"2,124",576,"1,218",796,"1,536",856,465,"1,688"
2020년12월_남_40~49세,"21,414",442,558,451,131,86,112,153,209,151,200,334,263,326,157,100,255,401,478,"1,818",676,837,"3,100",754,"1,701","1,256","2,282",917,540,"2,726"
2020년12월_남_50~59세,"24,863",632,686,710,234,165,210,201,328,290,310,486,410,470,302,118,285,528,621,"1,993",907,966,"3,006",640,"2,140","1,270","2,246","1,138",578,"2,993"
2020년12월_남_60~69세,"20,084",698,715,722,241,190,236,320,367,355,318,518,537,488,273,189,392,441,611,"1,623",808,"1,011","2,327",499,"1,629",491,"1,022",959,470,"1,634"
2020년12월_남_70~79세,"10,945",376,381,439,176,133,153,240,235,254,242,285,383,270,173,139,272,252,434,772,399,775,"1,120",258,613,231,364,666,256,654
2020년12월_남_80~89세,"4,070",154,174,200,82,79,68,101,115,125,91,108,165,120,81,72,87,68,158,279,115,286,392,89,161,79,121,202,91,207
2020년12월_남_90~99세,461,15,18,22,13,10,8,15,8,12,10,15,35,18,16,7,12,7,16,24,9,24,48,8,23,6,12,20,16,14
2020년12월_남_100세 이상,24,1,3,4,0,0,1,0,0,1,1,0,3,0,1,0,0,1,0,2,0,2,0,1,0,0,0,1,1,1
2020년12월_여_총인구수,"141,703","3,547","3,990","3,559","1,176",767,955,"1,317","1,470","1,520","1,669","2,500","2,149","2,218","1,270",801,"1,620","2,290","3,460","11,547","4,668","5,746","19,855","4,298","11,909","7,405","13,016","7,744","3,243","15,994"
2020년12월_여_연령구간인구수,"141,703","3,547","3,990","3,559","1,176",767,955,"1,317","1,470","1,520","1,669","2,500","2,149","2,218","1,270",801,"1,620","2,290","3,460","11,547","4,668","5,746","19,855","4,298","11,909","7,405","13,016","7,744","3,243","15,994"
2020년12월_여_0~9세,"9,354",170,264,127,34,15,11,36,56,51,104,148,33,82,28,12,40,144,146,863,195,228,"1,771",440,758,634,"1,107",309,268,"1,280"
2020년12월_여_10~19세,"13,652",311,301,247,71,22,48,75,53,78,76,179,88,127,46,36,59,174,203,"1,054",323,372,"2,199",458,"1,332",996,"1,723",592,324,"2,085"
2020년12월_여_20~29세,"16,489",278,317,270,76,47,54,77,94,49,131,227,121,165,99,44,166,229,449,"1,165",638,591,"2,303",413,"1,511","1,132","1,657","1,796",320,"2,070"
2020년12월_여_30~39세,"13,536",247,354,246,50,20,37,46,85,52,111,200,74,157,57,34,115,240,319,"1,155",386,433,"2,278",594,"1,186",822,"1,553",622,376,"1,687"
2020년12월_여_40~49세,"20,521",371,488,331,92,47,60,76,118,114,139,252,137,214,80,49,170,315,366,"1,677",584,654,"3,155",685,"1,904","1,539","2,671",781,507,"2,945"
2020년12월_여_50~59세,"24,133",580,682,615,202,102,147,166,230,224,243,440,331,354,252,111,265,411,513,"2,049",985,967,"3,312",615,"2,348","1,229","2,243","1,155",519,"2,843"
2020년12월_여_60~69세,"20,400",702,724,679,211,191,220,294,294,363,325,488,476,456,254,173,348,401,692,"1,807",829,"1,122","2,490",553,"1,654",514,"1,139","1,069",417,"1,515"
2020년12월_여_70~79세,"13,576",486,471,540,234,149,191,289,297,303,277,335,451,301,222,176,293,226,463,"1,115",449,947,"1,418",354,708,351,575,794,264,897
2020년12월_여_80~89세,"8,436",331,328,407,164,143,153,222,212,243,230,201,366,302,192,138,126,124,271,570,237,373,789,165,415,161,299,507,184,583
2020년12월_여_90~99세,"1,524",66,61,90,38,30,32,36,30,40,32,28,68,58,38,25,33,24,36,85,40,58,134,20,90,27,46,109,62,88
2020년12월_여_100세 이상,82,5,0,7,4,1,2,0,1,3,1,2,4,2,2,3,5,2,2,7,2,1,6,1,3,0,3,10,2,1
