,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년12월_여_총인구수,"103,426","2,333",984,"1,435","3,927","1,425","1,102","1,916","6,603","1,730","1,781","1,089","1,530",955,"1,338","11,709","3,343","7,725","2,577","4,678","10,046","1,706","4,441","7,329","18,570","3,154"
2021년12월_여_연령구간인구수,"103,426","2,333",984,"1,435","3,927","1,425","1,102","1,916","6,603","1,730","1,781","1,089","1,530",955,"1,338","11,709","3,343","7,725","2,577","4,678","10,046","1,706","4,441","7,329","18,570","3,154"
2021년12월_여_0~9세,"6,830",39,20,35,284,18,23,19,"1,022",159,55,17,29,32,45,771,121,585,111,154,"1,048",47,239,452,"1,253",252
2021년12월_여_10~19세,"8,880",96,26,46,207,45,29,54,523,134,92,37,55,32,81,"1,182",243,923,225,320,"1,224",65,353,799,"1,778",311
2021년12월_여_20~29세,"9,996",140,45,57,489,58,45,81,655,168,99,41,69,38,107,"1,132",329,795,231,475,"1,082",206,467,861,"2,025",301
2021년12월_여_30~39세,"10,399",105,37,57,528,58,41,64,"1,395",190,73,43,60,53,79,"1,107",219,777,188,337,"1,503",87,413,654,"1,969",362
2021년12월_여_40~49세,"14,628",174,68,91,494,65,44,131,"1,023",199,122,83,102,54,151,"1,756",425,"1,447",348,502,"1,874",153,623,"1,240","2,925",534
2021년12월_여_50~59세,"18,057",457,180,255,655,239,180,354,782,212,318,198,243,165,208,"2,176",577,"1,363",448,821,"1,508",311,765,"1,450","3,611",581
2021년12월_여_60~69세,"17,204",604,295,403,650,399,332,555,632,298,439,286,423,252,292,"1,845",654,961,475,"1,052","1,025",367,840,"1,002","2,717",406
2021년12월_여_70~79세,"9,469",363,159,257,301,262,189,329,292,194,279,191,257,156,209,976,443,515,325,593,449,256,470,505,"1,290",209
2021년12월_여_80~89세,"6,871",310,122,201,281,246,184,273,243,157,248,168,255,152,135,682,289,306,193,363,279,188,237,321,868,170
2021년12월_여_90~99세,"1,066",44,31,33,36,34,34,55,36,19,55,25,36,21,31,79,42,51,33,60,53,26,32,43,130,27
2021년12월_여_100세 이상,26,1,1,0,2,1,1,1,0,0,1,0,1,0,0,3,1,2,0,1,1,0,2,2,4,1
