,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년08월_남_30~39세,"25,825",359,"7,709",144,"2,219","1,910","2,818",244,388,117,172,"1,135",941,740,"2,413","1,072","1,468","1,976"
2021년08월_남_40~49세,"31,289",512,"8,103",289,"2,930","2,095","2,352",333,581,155,242,"1,853",874,786,"3,568","1,734","2,039","2,843"
2021년08월_남_50~59세,"25,770",621,"5,578",417,"1,587","1,572","1,763",551,728,305,461,"1,818",704,"1,026","2,833","1,674","1,782","2,350"
2021년08월_남_60~69세,"17,211",603,"2,982",447,615,"1,204","1,316",698,641,374,535,"1,339",576,832,"1,614","1,045",976,"1,414"
2021년08월_남_70~79세,"8,168",338,"1,225",278,265,487,539,385,312,283,323,676,298,435,763,504,444,613
2021년08월_남_80~89세,"3,529",186,433,126,123,182,206,203,177,155,189,296,100,166,316,198,203,270
2021년08월_남_90~99세,307,14,39,13,8,17,21,20,16,12,13,25,8,18,30,15,15,23
2021년08월_남_100세 이상,9,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021년08월_여_총인구수,"154,680","3,049","39,332","2,060","10,855","9,259","9,712","2,603","2,806","1,494","2,160","9,406","4,466","5,163","18,254","9,092","10,435","14,534"
2021년08월_여_연령구간인구수,"154,680","3,049","39,332","2,060","10,855","9,259","9,712","2,603","2,806","1,494","2,160","9,406","4,466","5,163","18,254","9,092","10,435","14,534"
2021년08월_여_0~9세,"15,523",159,"4,757",85,"1,504","1,242","1,182",71,134,26,56,690,445,215,"1,801",660,944,"1,552"
2021년08월_여_10~19세,"17,101",231,"4,727",172,"1,587",868,740,114,171,52,88,"1,023",332,364,"2,435","1,129","1,301","1,767"
2021년08월_여_20~29세,"16,543",211,"4,863",134,"1,291",771,959,160,190,78,144,989,520,709,"2,085",905,"1,173","1,361"
2021년08월_여_30~39세,"22,522",228,"7,167",125,"2,017","1,597","1,887",156,204,65,120,975,758,488,"2,429",993,"1,319","1,994"
2021년08월_여_40~49세,"26,414",374,"7,310",229,"2,220","1,444","1,359",219,328,90,152,"1,571",638,659,"3,398","1,660","1,998","2,765"
2021년08월_여_50~59세,"21,787",503,"5,026",334,"1,066","1,245","1,323",411,474,205,363,"1,461",598,965,"2,587","1,523","1,660","2,043"
2021년08월_여_60~69세,"17,065",591,"3,011",412,586,"1,118","1,133",588,550,402,486,"1,224",581,889,"1,836","1,124","1,041","1,493"
2021년08월_여_70~79세,"10,095",375,"1,480",289,335,517,616,451,369,288,390,859,356,529,"1,044",668,619,910
2021년08월_여_80~89세,"6,512",321,834,232,207,383,431,367,329,249,319,537,188,293,553,364,325,580
2021년08월_여_90~99세,"1,072",53,152,43,42,73,80,65,57,38,40,73,47,49,80,63,50,67
2021년08월_여_100세 이상,46,3,5,5,0,1,2,1,0,1,2,4,3,3,6,3,5,2
