,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년07월_계_90~99세,"1,699",44,78,46,98,126,119,56,47,20,28,42,19,26,30,42,40,45,51,24,88,111,50,36,53,98,99,110,25,25,23
2021년07월_계_100세 이상,55,1,1,3,7,4,5,1,1,1,2,0,1,1,4,2,0,0,4,2,2,0,0,1,2,8,1,1,0,0,0
2021년07월_남_총인구수,"141,900","1,334","4,489",940,"10,403","3,254","3,297","1,411",658,403,"1,146","2,376","1,554","2,141","2,076","3,144","1,858","2,696","5,738","3,447","9,312","10,831","6,291","5,219","5,355","16,620","18,453","11,352","4,218","1,281",603
2021년07월_남_연령구간인구수,"141,900","1,334","4,489",940,"10,403","3,254","3,297","1,411",658,403,"1,146","2,376","1,554","2,141","2,076","3,144","1,858","2,696","5,738","3,447","9,312","10,831","6,291","5,219","5,355","16,620","18,453","11,352","4,218","1,281",603
2021년07월_남_0~9세,"10,181",24,283,16,"1,059",136,70,31,6,9,27,108,48,69,65,113,57,72,343,206,567,937,312,377,524,"1,335","2,303",567,479,30,8
2021년07월_남_10~19세,"13,400",39,342,35,"1,066",171,152,63,16,17,49,151,97,146,110,175,115,123,456,314,959,"1,166",560,620,488,"1,942","2,325",995,615,69,24
2021년07월_남_20~29세,"18,928",101,447,88,"1,241",268,331,73,29,29,81,270,183,243,204,370,238,247,695,388,"1,414","1,496","1,072",770,624,"2,982","2,364","1,964",480,170,66
2021년07월_남_30~39세,"16,156",84,433,47,"1,252",239,208,82,42,13,87,262,192,182,185,314,164,233,585,340,"1,015","1,344",694,626,723,"2,047","2,666","1,382",569,104,42
2021년07월_남_40~49세,"21,755",150,740,91,"1,694",484,365,149,66,40,145,338,186,306,283,459,241,393,855,492,"1,371","1,774",964,772,859,"2,588","3,157","1,715",836,155,87
2021년07월_남_50~59세,"25,377",255,790,165,"1,821",601,690,267,104,95,265,357,251,369,366,539,307,483,994,562,"1,638","1,781","1,230",971,753,"3,092","3,135","2,419",641,292,144
2021년07월_남_60~69세,"20,633",310,792,233,"1,365",647,769,339,182,81,273,434,265,413,402,584,350,543,987,668,"1,486","1,456",926,712,757,"1,730","1,721","1,512",332,248,116
2021년07월_남_70~79세,"11,431",244,462,176,628,472,491,274,144,82,156,359,237,314,339,455,288,448,636,374,631,666,416,297,488,720,608,603,208,144,71
2021년07월_남_80~89세,"3,725",117,181,77,256,213,196,121,62,31,58,88,91,93,111,127,92,146,180,97,218,196,110,68,135,172,158,173,55,62,41
2021년07월_남_90~99세,307,10,19,12,20,21,25,11,7,6,4,9,4,6,10,8,6,8,7,6,13,15,7,6,4,12,15,22,3,7,4
2021년07월_남_100세 이상,7,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년07월_여_총인구수,"136,223","1,313","4,104",977,"9,994","3,033","3,116","1,355",675,401,896,"2,312","1,564","2,152","1,953","2,914","1,877","2,606","5,638","3,404","9,584","10,716","5,453","5,097","5,221","15,739","18,397","10,116","4,006","1,053",557
2021년07월_여_연령구간인구수,"136,223","1,313","4,104",977,"9,994","3,033","3,116","1,355",675,401,896,"2,312","1,564","2,152","1,953","2,914","1,877","2,606","5,638","3,404","9,584","10,716","5,453","5,097","5,221","15,739","18,397","10,116","4,006","1,053",557
2021년07월_여_0~9세,"9,899",26,259,15,953,123,59,27,6,8,31,129,64,74,40,86,87,89,333,199,586,887,288,368,509,"1,321","2,251",568,473,28,12
2021년07월_여_10~19세,"12,501",43,329,32,"1,016",147,122,60,16,20,36,134,89,122,111,134,111,132,437,303,902,"1,137",501,561,464,"1,820","2,086","1,008",532,60,36
2021년07월_여_20~29세,"14,369",77,309,60,932,184,227,48,32,23,58,199,179,175,149,273,188,191,510,312,"1,107","1,201",718,631,487,"2,143","2,107","1,311",417,80,41
2021년07월_여_30~39세,"13,952",40,360,39,"1,236",190,146,43,18,12,49,196,123,140,111,205,120,197,469,290,947,"1,217",495,509,659,"1,843","2,787",890,540,62,19
2021년07월_여_40~49세,"19,400",70,515,50,"1,521",242,214,74,23,31,60,230,137,224,179,293,182,212,683,443,"1,353","1,770",781,862,727,"2,741","3,310","1,532",811,98,32
2021년07월_여_50~59세,"22,782",203,620,142,"1,704",407,498,165,82,44,180,317,205,326,276,470,283,362,"1,025",572,"1,772","1,698","1,009",955,763,"2,864","2,973","2,136",466,176,89
2021년07월_여_60~69세,"21,167",303,814,231,"1,272",638,640,308,128,81,219,517,321,533,448,688,440,669,"1,143",708,"1,647","1,461",804,720,818,"1,751","1,729","1,440",380,214,102
2021년07월_여_70~79세,"13,396",317,538,203,755,583,630,346,178,92,143,390,299,394,424,517,287,501,720,404,790,831,524,331,504,763,680,709,247,178,118
2021년07월_여_80~89세,"7,317",199,300,168,521,412,481,239,151,75,95,167,131,143,192,212,145,216,270,153,403,418,290,129,239,399,390,433,118,139,89
2021년07월_여_90~99세,"1,392",34,59,34,78,105,94,45,40,14,24,33,15,20,20,34,34,37,44,18,75,96,43,30,49,86,84,88,22,18,19
2021년07월_여_100세 이상,48,1,1,3,6,2,5,0,1,1,1,0,1,1,3,2,0,0,4,2,2,0,0,1,2,8,0,1,0,0,0
