,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년08월_남_연령구간인구수,"129,473","3,990","1,629",812,"3,610","1,535","6,382",572,"4,591","1,903",554,"1,620",704,"3,540","5,198","14,776","3,937","13,871","11,817","18,606","17,669","12,157"
2020년08월_남_0~9세,"14,194",274,48,14,230,34,783,22,286,102,15,47,31,229,301,"2,408",323,"1,347",840,"1,936","3,040","1,884"
2020년08월_남_10~19세,"14,731",338,67,34,302,93,560,29,366,155,17,73,40,347,552,"1,729",345,"1,686","1,203","2,282","2,534","1,979"
2020년08월_남_20~29세,"13,784",393,139,50,313,148,536,42,466,158,29,127,43,402,582,"1,396",525,"1,576","1,722","2,289","1,593","1,255"
2020년08월_남_30~39세,"20,147",425,134,56,346,89,964,52,547,190,41,107,53,447,558,"3,322",609,"2,040","2,177","2,820","3,400","1,770"
2020년08월_남_40~49세,"25,985",669,224,96,542,185,"1,241",63,854,298,70,257,111,751,947,"3,356",767,"2,644","2,682","3,647","3,883","2,698"
2020년08월_남_50~59세,"20,633",831,346,199,663,306,"1,048",124,964,361,118,333,131,714,"1,056","1,593",676,"2,389","2,061","3,057","2,056","1,607"
2020년08월_남_60~69세,"13,366",674,346,206,689,377,739,158,690,350,140,341,163,446,842,747,511,"1,688",866,"1,875",833,685
2020년08월_남_70~79세,"5,018",280,230,108,368,218,393,63,298,203,91,231,92,158,285,179,153,408,227,566,258,209
2020년08월_남_80~89세,"1,483",98,91,45,144,79,106,16,110,80,30,98,37,41,68,41,27,89,34,119,66,64
2020년08월_남_90~99세,124,6,3,4,11,6,12,3,10,6,3,6,3,5,5,5,1,4,5,14,6,6
2020년08월_남_100세 이상,8,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2020년08월_여_총인구수,"116,929","3,868","1,528",792,"3,724","1,446","5,859",547,"3,760","1,753",547,"1,582",694,"2,851","4,405","12,694","3,329","12,706","8,786","17,449","17,064","11,545"
2020년08월_여_연령구간인구수,"116,929","3,868","1,528",792,"3,724","1,446","5,859",547,"3,760","1,753",547,"1,582",694,"2,851","4,405","12,694","3,329","12,706","8,786","17,449","17,064","11,545"
2020년08월_여_0~9세,"13,313",282,35,15,199,31,747,16,247,97,12,35,29,206,269,"2,261",295,"1,285",775,"1,764","2,994","1,719"
2020년08월_여_10~19세,"13,204",306,60,29,297,68,551,23,318,122,12,44,33,319,440,"1,611",285,"1,407","1,088","2,073","2,365","1,753"
2020년08월_여_20~29세,"10,695",294,107,34,257,80,412,30,325,143,28,103,33,285,455,"1,050",319,"1,338","1,109","1,868","1,456",969
2020년08월_여_30~39세,"17,762",412,89,32,309,63,936,27,393,146,28,79,49,272,423,"2,896",487,"1,766","1,239","2,519","3,570","2,027"
2020년08월_여_40~49세,"21,611",575,148,64,449,132,952,51,578,183,40,139,67,483,730,"2,562",576,"2,347","1,780","3,445","3,573","2,737"
2020년08월_여_50~59세,"18,219",760,293,142,649,289,859,116,732,313,90,280,118,551,917,"1,298",658,"2,420","1,639","2,941","1,828","1,326"
2020년08월_여_60~69세,"12,322",634,355,183,673,332,698,127,579,347,124,334,144,393,702,641,472,"1,455",803,"1,900",800,626
2020년08월_여_70~79세,"5,699",336,252,171,442,245,415,101,309,210,115,295,124,205,304,222,145,432,216,612,316,232
2020년08월_여_80~89세,"3,415",232,165,106,356,171,248,48,236,153,78,231,79,117,138,127,78,211,110,277,126,128
2020년08월_여_90~99세,653,35,24,16,86,33,37,8,42,38,20,41,17,12,25,26,14,43,26,49,35,26
2020년08월_여_100세 이상,36,2,0,0,7,2,4,0,1,1,0,1,1,8,2,0,0,2,1,1,1,2
