,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년06월_남_30~39세,"18,189",424,137,50,303,89,852,53,488,168,34,102,51,371,480,"2,970",594,"1,835","2,034","2,486","3,054","1,614"
2021년06월_남_40~49세,"25,735",657,210,92,528,180,"1,237",60,797,272,68,240,103,702,900,"3,459",765,"2,650","2,615","3,527","3,931","2,742"
2021년06월_남_50~59세,"21,227",849,329,195,655,288,"1,031",118,980,355,120,320,155,703,"1,035","1,677",728,"2,456","2,201","3,074","2,233","1,725"
2021년06월_남_60~69세,"14,308",767,367,209,734,387,791,157,749,360,138,370,162,475,871,786,534,"1,771",983,"2,012",931,754
2021년06월_남_70~79세,"5,300",295,239,112,374,219,399,71,306,224,89,238,82,163,307,203,158,454,245,593,295,234
2021년06월_남_80~89세,"1,573",105,93,48,156,80,103,17,110,88,35,100,39,43,74,37,25,101,46,133,73,67
2021년06월_남_90~99세,131,7,6,3,9,10,13,4,11,4,1,7,2,3,5,5,2,6,4,16,6,7
2021년06월_남_100세 이상,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021년06월_여_총인구수,"115,690","3,917","1,496",797,"3,621","1,394","5,760",542,"3,648","1,723",535,"1,532",708,"2,700","4,256","12,556","3,401","12,612","8,938","16,979","16,944","11,631"
2021년06월_여_연령구간인구수,"115,690","3,917","1,496",797,"3,621","1,394","5,760",542,"3,648","1,723",535,"1,532",708,"2,700","4,256","12,556","3,401","12,612","8,938","16,979","16,944","11,631"
2021년06월_여_0~9세,"12,205",270,34,14,176,27,680,17,202,84,11,33,24,174,226,"2,090",298,"1,160",742,"1,574","2,738","1,631"
2021년06월_여_10~19세,"13,283",296,52,27,289,67,537,20,303,120,14,44,38,304,417,"1,689",300,"1,401","1,061","2,037","2,464","1,803"
2021년06월_여_20~29세,"10,274",275,98,34,236,70,394,28,296,141,22,81,29,264,421,976,326,"1,294","1,118","1,784","1,406",981
2021년06월_여_30~39세,"16,495",406,75,39,279,60,851,26,347,123,29,73,46,250,377,"2,670",468,"1,664","1,199","2,297","3,297","1,919"
2021년06월_여_40~49세,"21,711",586,131,61,429,124,967,48,549,176,36,132,78,464,691,"2,704",580,"2,322","1,800","3,344","3,691","2,798"
2021년06월_여_50~59세,"18,135",753,283,138,637,255,849,110,706,301,84,253,115,499,844,"1,307",636,"2,400","1,714","2,907","1,942","1,402"
2021년06월_여_60~69세,"13,574",712,369,185,679,346,760,142,650,363,127,356,155,406,797,749,541,"1,640",935,"2,043",922,697
2021년06월_여_70~79세,"5,784",335,259,171,452,237,413,92,311,209,111,285,118,203,313,218,158,461,225,652,320,241
2021년06월_여_80~89세,"3,526",234,164,110,352,174,265,51,235,162,82,233,87,120,150,131,82,224,117,293,125,135
2021년06월_여_90~99세,682,50,31,18,88,32,42,8,48,43,19,39,18,15,20,22,12,45,24,48,38,22
2021년06월_여_100세 이상,21,0,0,0,4,2,2,0,1,1,0,3,0,1,0,0,0,1,3,0,1,2
