카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년07월_남_40~49세,"36,069","3,685",221,205,504,637,655,538,380,213,185,"2,087","3,486","4,285","2,792","3,131","3,861","3,312","1,970","1,005","2,917"
2021년07월_남_50~59세,"24,520","3,542",318,295,624,891,753,711,570,404,254,"1,406","1,931","2,482","1,531","1,680","1,712","1,910","1,211",808,"1,487"
2021년07월_남_60~69세,"16,110","2,841",304,372,565,987,627,778,577,474,222,626,886,"1,207",617,916,"1,162","1,033",657,440,819
2021년07월_남_70~79세,"6,754","1,365",121,209,270,541,291,406,287,253,121,222,269,473,224,363,413,305,221,129,271
2021년07월_남_80~89세,"2,513",606,48,92,145,229,135,225,187,110,61,63,59,124,56,113,86,52,45,29,48
2021년07월_남_90~99세,263,65,3,14,16,24,13,15,14,10,5,10,9,22,6,10,10,8,4,2,3
2021년07월_남_100세 이상,8,1,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2021년07월_여_총인구수,"182,368","20,795","1,184","1,498","2,781","4,196","2,941","3,373","2,593","1,572","1,115","9,657","17,090","21,190","11,924","15,126","17,574","17,416","9,922","5,700","14,721"
2021년07월_여_연령구간인구수,"182,368","20,795","1,184","1,498","2,781","4,196","2,941","3,373","2,593","1,572","1,115","9,657","17,090","21,190","11,924","15,126","17,574","17,416","9,922","5,700","14,721"
2021년07월_여_0~9세,"22,981","1,514",48,48,150,170,116,177,89,40,44,"1,173","2,356","2,801","1,627","2,189","2,878","2,867","1,519",781,"2,394"
2021년07월_여_10~19세,"22,035","2,033",49,60,166,205,165,190,158,52,92,"1,627","2,346","2,739","2,055","2,172","2,381","1,888","1,282",542,"1,833"
2021년07월_여_20~29세,"18,676","2,790",151,102,236,376,368,292,215,121,109,848,"2,078","2,528",957,"1,341","1,288","1,837",963,679,"1,397"
2021년07월_여_30~39세,"31,325","2,460",115,120,271,359,309,269,182,87,62,"1,338","3,458","3,981","1,842","2,774","3,392","4,038","1,916","1,145","3,207"
2021년07월_여_40~49세,"34,950","3,191",107,127,310,388,311,344,264,115,127,"2,309","3,519","4,543","3,076","3,203","3,801","3,274","2,003",997,"2,941"
2021년07월_여_50~59세,"22,358","3,101",198,237,459,709,557,506,437,270,184,"1,291","1,850","2,288","1,293","1,639","1,855","1,926","1,152",864,"1,542"
2021년07월_여_60~69세,"16,358","2,823",249,317,544,857,536,677,494,394,198,628,966,"1,309",689,"1,136","1,344","1,046",716,468,967
2021년07월_여_70~79세,"7,800","1,707",134,218,348,581,295,499,366,244,149,274,313,594,248,422,438,331,231,123,285
2021년07월_여_80~89세,"4,852",988,103,219,258,451,244,356,318,205,133,139,153,320,113,222,158,163,111,78,120
2021년07월_여_90~99세,"1,005",181,29,47,39,97,39,61,64,44,17,29,51,87,23,27,39,44,29,23,35
2021년07월_여_100세 이상,28,7,1,3,0,3,1,2,6,0,0,1,0,0,1,1,0,2,0,0,0
