,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년11월_남_60~69세,"29,476","2,950",825,737,999,501,436,889,810,778,790,"3,986","3,733",866,"2,694","2,398",582,"2,188","1,369","1,945"
2020년11월_남_70~79세,"11,391","1,194",223,331,487,275,198,460,319,376,319,"1,235","1,283",336,962,811,225,972,560,825
2020년11월_남_80~89세,"3,550",379,78,141,175,96,51,144,94,128,97,400,395,111,256,274,69,317,159,186
2020년11월_남_90~99세,274,28,8,10,10,8,8,16,5,9,5,35,33,3,23,16,5,25,14,13
2020년11월_남_100세 이상,25,2,0,1,0,0,1,1,3,1,1,3,0,0,5,1,2,4,0,0
2020년11월_여_총인구수,"268,051","27,106","8,919","3,010","3,511","1,788","1,445","2,961","4,858","4,660","4,913","37,058","40,175","4,554","20,123","16,455","3,860","28,408","18,233","36,014"
2020년11월_여_연령구간인구수,"268,051","27,106","8,919","3,010","3,511","1,788","1,445","2,961","4,858","4,660","4,913","37,058","40,175","4,554","20,123","16,455","3,860","28,408","18,233","36,014"
2020년11월_여_0~9세,"24,250","3,162","1,389",98,93,24,33,89,277,300,275,"2,283","3,601",274,"1,288",798,259,"2,738","1,853","5,416"
2020년11월_여_10~19세,"29,476","2,877",616,151,139,59,70,95,355,265,314,"3,753","5,008",336,"1,850","1,495",398,"3,949","2,511","5,235"
2020년11월_여_20~29세,"31,549","2,434","1,096",237,228,122,119,168,585,496,655,"5,692","5,012",576,"2,884","2,527",466,"3,197","2,016","3,039"
2020년11월_여_30~39세,"33,833","4,305","1,971",240,213,98,92,176,550,584,546,"3,970","4,747",428,"2,025","1,322",375,"3,507","2,250","6,434"
2020년11월_여_40~49세,"49,649","5,012","1,375",304,267,139,134,246,674,595,700,"6,382","8,177",614,"3,227","2,584",636,"6,200","4,052","8,331"
2020년11월_여_50~59세,"47,049","3,987","1,346",640,698,372,310,533,987,872,"1,066","8,260","7,162",935,"4,364","3,788",761,"4,368","2,828","3,772"
2020년11월_여_60~69세,"28,331","2,958",653,614,822,432,368,785,778,797,769,"3,595","3,637",736,"2,524","2,148",547,"2,376","1,503","2,289"
2020년11월_여_70~79세,"14,887","1,433",249,426,550,319,188,513,410,501,388,"1,913","1,799",412,"1,263","1,108",276,"1,332",809,998
2020년11월_여_80~89세,"7,833",806,197,242,438,196,102,297,205,210,171,"1,075",893,213,621,612,125,654,352,424
2020년11월_여_90~99세,"1,132",122,27,57,62,26,26,57,33,36,24,128,133,29,72,69,14,84,59,74
2020년11월_여_100세 이상,62,10,0,1,1,1,3,2,4,4,5,7,6,1,5,4,3,3,0,2
