,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년09월_남_50~59세,"43,040","2,897","1,317","1,138","2,931","2,415","1,238","1,252","2,685","1,885","1,500",822,"3,123","1,605","1,579","3,150","2,720","1,439","1,648","2,864","1,005","1,381","2,446"
2021년09월_남_60~69세,"33,925","2,265","1,030","1,067","2,239","1,709","1,079","1,083","2,010","1,760","1,225",650,"2,385","1,219","1,606","2,262","1,503","1,384","1,289","1,958","1,040","1,105","2,057"
2021년09월_남_70~79세,"14,276",976,574,516,999,738,464,516,800,885,469,246,886,478,639,805,511,724,570,739,402,485,854
2021년09월_남_80~89세,"4,959",415,169,174,341,254,199,161,247,339,194,59,320,158,179,277,189,219,198,240,130,191,306
2021년09월_남_90~99세,457,40,17,20,24,28,11,16,22,35,19,10,23,9,25,37,15,20,14,25,12,18,17
2021년09월_남_100세 이상,21,1,0,0,1,1,1,0,0,2,0,4,2,0,4,0,0,0,3,0,0,0,2
2021년09월_여_총인구수,"247,370","19,029","7,548","6,373","18,710","16,103","7,642","6,386","15,902","11,385","9,353","3,210","17,561","8,170","9,687","17,141","14,882","8,067","10,089","16,034","6,133","6,842","11,123"
2021년09월_여_연령구간인구수,"247,370","19,029","7,548","6,373","18,710","16,103","7,642","6,386","15,902","11,385","9,353","3,210","17,561","8,170","9,687","17,141","14,882","8,067","10,089","16,034","6,133","6,842","11,123"
2021년09월_여_0~9세,"15,165","1,118",412,290,"1,157","1,160",470,276,"1,276",537,559,160,"1,286",417,548,"1,050","1,133",404,688,851,459,357,557
2021년09월_여_10~19세,"20,107","1,405",552,392,"1,119","1,102",420,455,"1,755",921,832,250,"1,388",552,667,"1,688","2,003",499,895,"1,550",471,516,675
2021년09월_여_20~29세,"33,205","3,040",971,747,"3,167","2,581","1,078",725,"1,857","1,317","1,271",380,"2,320","1,167","1,167","2,180","1,782",930,"1,297","2,291",675,830,"1,432"
2021년09월_여_30~39세,"32,007","2,791",935,759,"3,094","2,698","1,189",709,"1,857","1,101","1,095",357,"2,567","1,032","1,281","1,863","1,524",913,"1,399","2,013",809,748,"1,273"
2021년09월_여_40~49세,"37,301","2,826","1,116",865,"2,755","2,398","1,039",868,"2,831","1,549","1,420",446,"2,509","1,121","1,210","2,808","3,010","1,057","1,547","2,592",836,"1,019","1,479"
2021년09월_여_50~59세,"45,263","3,245","1,322","1,126","3,090","2,641","1,354","1,176","2,873","2,112","1,838",640,"3,302","1,678","1,890","3,280","2,687","1,415","1,816","3,203","1,125","1,259","2,191"
2021년09월_여_60~69세,"35,758","2,583","1,216","1,109","2,408","1,989","1,139","1,195","2,048","1,968","1,290",542,"2,461","1,275","1,632","2,279","1,516","1,585","1,394","1,980","1,042","1,137","1,970"
2021년09월_여_70~79세,"17,219","1,212",671,655,"1,200",956,561,575,885,"1,030",591,264,"1,060",568,725,"1,084",724,828,668,908,453,617,984
2021년09월_여_80~89세,"9,545",674,308,360,617,492,333,333,445,695,389,132,560,296,462,775,411,382,340,536,227,304,474
2021년09월_여_90~99세,"1,703",127,44,67,100,78,50,70,73,143,68,31,105,61,102,132,87,52,42,108,35,52,76
2021년09월_여_100세 이상,97,8,1,3,3,8,9,4,2,12,0,8,3,3,3,2,5,2,3,2,1,3,12
