,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년08월_남_0~9세,"13,175",154,544,376,225,115,444,488,90,308,382,93,"1,172",359,466,446,410,"2,075",330,"1,275","1,381","1,593",449
2020년08월_남_10~19세,"14,138",263,457,304,390,235,516,601,208,459,534,144,"1,177",514,492,715,513,"1,964",366,"1,355","1,568",735,628
2020년08월_남_20~29세,"22,382",497,551,491,983,464,838,908,603,"1,004","1,014",402,"1,260","1,098","1,200","1,324","1,022","2,842",802,"1,122","2,067",920,970
2020년08월_남_30~39세,"23,507",412,725,693,877,316,844,813,607,831,895,281,"1,400",918,"1,096",961,952,"3,008",782,"1,580","2,221","2,447",848
2020년08월_남_40~49세,"26,653",550,985,626,"1,007",435,990,956,566,912,"1,083",302,"2,014",999,"1,106","1,187","1,088","3,545",792,"2,046","2,467","1,825","1,172"
2020년08월_남_50~59세,"27,818",716,715,701,"1,342",559,"1,051","1,104",687,"1,292","1,208",373,"1,631","1,440","1,433","1,662","1,431","3,428","1,063","1,452","2,238",761,"1,531"
2020년08월_남_60~69세,"23,500",654,595,645,"1,106",563,903,777,540,"1,189","1,138",351,"1,266","1,298","1,312","1,481","1,316","2,853",890,868,"1,651",681,"1,423"
2020년08월_남_70~79세,"13,167",446,387,382,594,342,604,409,345,751,666,204,623,667,690,816,746,"1,379",495,551,843,292,935
2020년08월_남_80~89세,"4,537",190,150,151,190,123,247,175,120,281,236,83,191,195,227,296,247,414,185,191,241,63,341
2020년08월_남_90~99세,311,11,11,6,17,5,19,11,10,19,23,3,15,12,13,20,17,30,13,14,20,6,16
2020년08월_남_100세 이상,36,0,4,0,4,2,2,4,1,2,3,0,0,1,0,1,1,2,2,0,4,0,3
2020년08월_여_총인구수,"174,093","3,891","5,680","4,497","6,557","3,458","6,971","6,367","3,763","7,187","7,717","1,962","11,132","7,586","7,941","9,541","7,611","22,433","5,607","11,009","15,021","9,533","8,629"
2020년08월_여_연령구간인구수,"174,093","3,891","5,680","4,497","6,557","3,458","6,971","6,367","3,763","7,187","7,717","1,962","11,132","7,586","7,941","9,541","7,611","22,433","5,607","11,009","15,021","9,533","8,629"
2020년08월_여_0~9세,"12,612",136,531,338,226,118,407,463,74,248,386,104,"1,170",361,423,459,371,"1,896",343,"1,250","1,325","1,540",443
2020년08월_여_10~19세,"12,802",201,391,287,331,185,412,443,165,413,526,115,"1,149",449,455,644,436,"1,779",305,"1,369","1,447",712,588
2020년08월_여_20~29세,"19,478",389,470,496,914,342,701,759,697,826,883,208,"1,052",917,963,"1,096",860,"2,520",654,"1,069","1,814","1,087",761
2020년08월_여_30~39세,"21,153",286,780,579,663,265,773,816,448,624,772,189,"1,533",703,841,832,716,"2,888",625,"1,685","2,075","2,296",764
2020년08월_여_40~49세,"24,997",442,908,590,781,420,951,"1,006",449,835,"1,045",208,"1,982",862,956,"1,172",902,"3,386",680,"2,147","2,515","1,588","1,172"
2020년08월_여_50~59세,"29,590",670,836,729,"1,301",693,"1,187","1,118",614,"1,327","1,332",370,"1,688","1,582","1,579","1,940","1,406","3,734","1,141","1,384","2,428",952,"1,579"
2020년08월_여_60~69세,"27,021",755,802,736,"1,211",703,"1,187",847,701,"1,439","1,403",351,"1,390","1,451","1,384","1,738","1,433","3,251",983,"1,064","1,857",806,"1,529"
2020년08월_여_70~79세,"17,017",638,628,476,763,461,877,569,389,972,886,261,759,831,875,"1,048",969,"1,844",606,687,"1,026",373,"1,079"
2020년08월_여_80~89세,"8,200",325,288,223,320,244,421,299,201,442,420,138,344,383,404,535,452,983,228,306,481,147,616
2020년08월_여_90~99세,"1,135",44,39,41,41,25,50,42,22,53,57,18,61,43,59,72,65,146,39,46,49,30,93
2020년08월_여_100세 이상,88,5,7,2,6,2,5,5,3,8,7,0,4,4,2,5,1,6,3,2,4,2,5
