,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년10월_계_80~89세,"13,712",579,507,645,748,585,446,"1,206",894,742,794,870,426,733,359,687,729,646,576,717,491,332
2021년10월_계_90~99세,"2,028",91,78,100,122,97,56,171,125,108,107,124,66,101,55,101,107,102,86,95,82,54
2021년10월_계_100세 이상,85,6,5,2,3,2,5,0,7,5,3,12,2,1,5,2,7,3,3,4,4,4
2021년10월_남_총인구수,"204,898","7,405","6,878","8,241","9,436","8,996","4,041","23,659","15,990","8,993","11,587","16,671","10,752","8,473","4,443","6,765","10,197","10,995","6,092","10,273","7,408","7,603"
2021년10월_남_연령구간인구수,"204,898","7,405","6,878","8,241","9,436","8,996","4,041","23,659","15,990","8,993","11,587","16,671","10,752","8,473","4,443","6,765","10,197","10,995","6,092","10,273","7,408","7,603"
2021년10월_남_0~9세,"13,401",538,547,521,311,684,140,"1,939","1,092",498,830,"1,597",609,464,214,253,532,964,246,567,480,375
2021년10월_남_10~19세,"16,314",464,420,678,508,697,174,"2,556","1,864",853,752,"1,332",438,583,345,396,627,940,479,931,671,606
2021년10월_남_20~29세,"29,961","1,008","1,004","1,107","2,576","1,268",589,"3,433","2,209","1,237","1,630","1,978","2,113","1,149",633,895,"1,472","1,423",788,"1,452",990,"1,007"
2021년10월_남_30~39세,"29,986","1,183","1,251","1,148","1,086","1,480",542,"3,183","1,721","1,085","1,884","3,048","2,377","1,099",529,835,"1,781","1,722",697,"1,325",936,"1,074"
2021년10월_남_40~49세,"33,560","1,195","1,116","1,275","1,187","1,373",585,"4,195","2,745","1,392","1,892","2,918","1,816","1,295",713,"1,002","1,637","2,011",939,"1,594","1,098","1,582"
2021년10월_남_50~59세,"33,933","1,232","1,072","1,378","1,357","1,366",719,"3,877","2,898","1,615","1,913","2,379","1,620","1,482",748,"1,187","1,725","1,656","1,080","1,839","1,253","1,537"
2021년10월_남_60~69세,"28,075","1,026",864,"1,209","1,278","1,186",683,"2,773","2,131","1,306","1,544","2,163","1,161","1,344",720,"1,159","1,464","1,336","1,076","1,532","1,206",914
2021년10월_남_70~79세,"14,157",542,416,671,797,705,415,"1,217",967,720,816,922,432,768,399,753,690,672,552,740,584,379
2021년10월_남_80~89세,"5,021",192,175,220,302,215,175,452,336,258,292,311,172,268,121,267,250,252,212,265,166,120
2021년10월_남_90~99세,463,24,12,33,33,21,18,34,24,28,33,18,12,21,19,17,16,19,22,28,23,8
2021년10월_남_100세 이상,27,1,1,1,1,1,1,0,3,1,1,5,2,0,2,1,3,0,1,0,1,1
2021년10월_여_총인구수,"201,891","7,248","6,928","8,217","7,946","8,918","3,579","24,043","16,138","9,316","11,641","16,159","9,703","8,286","4,327","6,747","10,184","11,021","6,426","10,771","7,737","6,556"
2021년10월_여_연령구간인구수,"201,891","7,248","6,928","8,217","7,946","8,918","3,579","24,043","16,138","9,316","11,641","16,159","9,703","8,286","4,327","6,747","10,184","11,021","6,426","10,771","7,737","6,556"
2021년10월_여_0~9세,"12,841",517,498,504,284,606,133,"1,883","1,118",520,737,"1,561",535,447,209,260,532,897,251,566,425,358
2021년10월_여_10~19세,"15,276",446,408,585,431,621,159,"2,372","1,661",789,777,"1,235",434,526,304,422,659,890,416,917,642,582
2021년10월_여_20~29세,"26,985",900,"1,072","1,006","1,482","1,262",400,"3,366","1,975","1,048","1,603","1,892","2,087",957,544,759,"1,399","1,378",678,"1,308",962,907
2021년10월_여_30~39세,"25,673",978,"1,103",998,719,"1,313",368,"3,062","1,652",961,"1,653","2,635","1,845",965,422,647,"1,353","1,601",569,"1,139",893,797
2021년10월_여_40~49세,"29,843",979,917,"1,211",866,"1,260",381,"4,098","2,804","1,388","1,658","2,476","1,334","1,092",601,789,"1,386","1,786",897,"1,572","1,115","1,233"
2021년10월_여_50~59세,"33,300","1,163","1,094","1,318","1,247","1,354",576,"3,941","2,861","1,672","1,913","2,408","1,512","1,353",717,"1,092","1,746","1,598","1,176","2,036","1,399","1,124"
2021년10월_여_60~69세,"30,652","1,103",910,"1,319","1,410","1,266",753,"2,914","2,248","1,495","1,735","2,184","1,169","1,529",751,"1,401","1,649","1,618","1,258","1,781","1,317",842
2021년10월_여_70~79세,"17,007",703,524,783,970,789,496,"1,516","1,156",875,987,"1,096",479,871,502,872,886,773,751,929,597,452
2021년10월_여_80~89세,"8,691",387,332,425,446,370,271,754,558,484,502,559,254,465,238,420,479,394,364,452,325,212
2021년10월_여_90~99세,"1,565",67,66,67,89,76,38,137,101,80,74,106,54,80,36,84,91,83,64,67,59,46
2021년10월_여_100세 이상,58,5,4,1,2,1,4,0,4,4,2,7,0,1,3,1,4,3,2,4,3,3
