,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년09월_계_90~99세,"4,118","1,155",120,116,133,105,80,94,117,100,122,101,67,"1,620",139,75,152,112,47,120,84,40,193,161,84,81,80,93,159,"1,343",127,106,138,204,89,160,165,143,211
2020년09월_계_100세 이상,196,72,0,8,10,5,4,6,10,12,9,3,5,70,9,2,2,7,2,8,3,2,6,7,3,5,1,5,8,54,13,5,2,5,2,4,10,5,8
2020년09월_남_총인구수,"534,153","132,853","17,252","13,605","10,317","11,777","4,279","4,963","11,028","12,402","22,324","18,113","6,793","217,828","19,421","15,318","8,721","21,075","6,958","16,698","10,536","13,167","19,087","15,876","15,930","13,404","11,415","12,218","18,004","183,472","18,316","20,561","18,625","27,558","9,126","24,360","23,629","16,629","24,668"
2020년09월_남_연령구간인구수,"534,153","132,853","17,252","13,605","10,317","11,777","4,279","4,963","11,028","12,402","22,324","18,113","6,793","217,828","19,421","15,318","8,721","21,075","6,958","16,698","10,536","13,167","19,087","15,876","15,930","13,404","11,415","12,218","18,004","183,472","18,316","20,561","18,625","27,558","9,126","24,360","23,629","16,629","24,668"
2020년09월_남_0~9세,"52,275","10,911","1,192","1,016",796,"1,608",170,130,677,796,"2,554","1,613",359,"22,427","1,736","1,826",971,"2,281",551,"1,652",935,"1,630","1,753","1,439","1,801","1,414","1,550","1,068","1,820","18,937","1,440","2,429","1,826","2,621",793,"3,008","2,426","1,791","2,603"
2020년09월_남_10~19세,"63,849","14,409","2,096","1,223",941,895,291,646,"1,962","1,145","2,294","2,274",642,"26,302","1,900","1,848",662,"1,755",659,"2,256","1,130","1,239","2,518","1,602","2,915","2,439","1,539","1,480","2,360","23,138","1,909","2,981","2,717","3,603",834,"2,753","3,137","2,198","3,006"
2020년09월_남_20~29세,"71,087","18,766","2,654","1,835","1,220","1,028",418,551,"1,474","2,282","3,662","2,591","1,051","29,061","2,569","2,002","1,303","3,273","1,032","2,019","1,342","2,833","2,221","2,101","1,760","1,593","1,077","1,764","2,172","23,260","2,798","2,435","2,118","3,913","1,415","2,792","3,076","1,932","2,781"
2020년09월_남_30~39세,"72,479","17,933","2,150","1,592","1,267","2,096",428,449,"1,318","1,713","3,779","2,345",796,"29,642","3,289","2,395","1,657","4,005","1,028","1,960","1,373","2,323","2,081","2,043","1,551","1,083","1,481","1,404","1,969","24,904","3,298","2,975","1,898","3,352","1,653","3,762","3,280","2,070","2,616"
2020년09월_남_40~49세,"99,189","22,923","3,112","2,393","1,835","2,220",611,622,"1,682","2,032","3,938","3,429","1,049","41,299","3,363","2,990","1,401","3,646","1,265","3,280","1,908","2,259","3,765","2,645","3,793","2,931","2,447","2,144","3,462","34,967","2,999","4,440","3,739","5,278","1,503","4,723","4,462","3,166","4,657"
2020년09월_남_50~59세,"83,334","22,270","3,083","2,505","1,934","1,557",858,899,"1,770","2,099","3,105","3,155","1,305","33,334","3,165","2,375","1,309","3,284","1,236","2,572","1,700","1,536","2,841","2,487","2,372","2,235","1,337","2,173","2,712","27,730","2,736","3,048","2,963","4,270","1,406","3,514","3,556","2,494","3,743"
2020년09월_남_60~69세,"49,645","15,316","1,791","1,812","1,392","1,365",835,964,"1,333","1,413","1,820","1,597",994,"18,917","1,888","1,190",792,"1,679",602,"1,542","1,223",863,"1,878","1,714",891,930,848,"1,250","1,627","15,412","1,670","1,155","1,554","2,342",822,"2,196","1,879","1,362","2,432"
2020년09월_남_70~79세,"29,906","7,378",820,886,666,757,474,450,580,647,856,799,443,"11,847","1,036",536,360,875,399,"1,016",684,354,"1,408","1,269",576,551,771,676,"1,336","10,681","1,030",691,"1,274","1,483",488,"1,199","1,280","1,152","2,084"
2020년09월_남_80~89세,"11,256","2,675",329,318,244,225,173,228,205,248,287,285,133,"4,531",428,143,213,250,174,360,228,120,581,517,243,205,332,237,500,"4,050",397,370,499,634,184,374,492,415,685
2020년09월_남_90~99세,"1,097",260,25,23,21,26,21,23,26,22,27,25,21,451,44,13,52,26,11,39,13,9,40,56,28,21,32,22,45,386,37,35,37,62,28,39,40,49,59
2020년09월_남_100세 이상,36,12,0,2,1,0,0,1,1,5,2,0,0,17,3,0,1,1,1,2,0,1,1,3,0,2,1,0,1,7,2,2,0,0,0,0,1,0,2
2020년09월_여_총인구수,"541,544","125,602","16,046","12,308","9,876","11,602","3,952","4,195","9,248","12,080","22,197","17,767","6,331","223,095","19,475","15,482","8,832","21,180","6,523","16,942","10,745","12,528","20,372","16,610","17,096","13,897","12,035","12,749","18,629","192,847","18,519","21,328","19,705","29,492","9,374","25,036","25,225","17,540","26,628"
2020년09월_여_연령구간인구수,"541,544","125,602","16,046","12,308","9,876","11,602","3,952","4,195","9,248","12,080","22,197","17,767","6,331","223,095","19,475","15,482","8,832","21,180","6,523","16,942","10,745","12,528","20,372","16,610","17,096","13,897","12,035","12,749","18,629","192,847","18,519","21,328","19,705","29,492","9,374","25,036","25,225","17,540","26,628"
2020년09월_여_0~9세,"50,075","10,494","1,152",917,799,"1,595",167,102,618,802,"2,395","1,608",339,"21,223","1,713","1,777",939,"2,152",467,"1,493",932,"1,617","1,664","1,329","1,807","1,290","1,442",961,"1,640","18,358","1,364","2,368","1,820","2,611",742,"2,799","2,439","1,667","2,548"
2020년09월_여_10~19세,"59,898","12,606","1,817","1,128",864,922,288,499,"1,197","1,071","2,179","2,110",531,"24,803","1,767","1,718",629,"1,700",653,"2,104","1,021","1,205","2,348","1,507","2,822","2,305","1,458","1,371","2,195","22,489","1,806","2,859","2,593","3,574",774,"2,607","3,094","2,052","3,130"
2020년09월_여_20~29세,"65,905","15,657","2,046","1,448",908,930,334,358,"1,052","2,046","3,439","2,257",839,"27,143","2,565","1,810","1,183","3,419",915,"1,965","1,165","2,036","2,063","2,002","1,732","1,498","1,123","1,660","2,007","23,105","2,658","2,481","1,959","3,897","1,393","2,766","3,277","1,954","2,720"
2020년09월_여_30~39세,"74,392","16,059","1,816","1,443","1,077","2,138",304,287,"1,021","1,438","3,674","2,245",616,"30,859","3,002","2,453","1,576","3,963",868,"2,037","1,414","2,302","2,251","2,143","1,952","1,443","1,696","1,472","2,287","27,474","2,930","3,383","2,239","3,756","1,634","4,264","3,620","2,315","3,333"
2020년09월_여_40~49세,"101,369","20,541","2,914","2,013","1,507","1,796",471,401,"1,414","1,843","3,806","3,387",989,"42,891","3,327","3,054","1,368","3,455","1,171","3,321","1,890","2,136","4,056","2,785","4,165","3,404","2,505","2,366","3,888","37,937","3,170","4,665","4,334","5,753","1,542","4,852","4,926","3,446","5,249"
2020년09월_여_50~59세,"80,409","20,789","2,730","2,108","1,770","1,560",754,738,"1,637","2,085","3,212","2,906","1,289","32,668","3,052","2,357","1,442","3,214","1,035","2,509","1,788","1,632","2,932","2,588","2,148","1,921","1,313","2,179","2,558","26,952","2,696","2,666","2,716","4,353","1,462","3,436","3,456","2,504","3,663"
2020년09월_여_60~69세,"54,859","15,262","1,791","1,727","1,493","1,449",798,806,"1,205","1,474","1,913","1,658",948,"21,720","2,003","1,329",856,"1,814",644,"1,770","1,398",907,"2,414","1,992","1,173","1,002","1,157","1,402","1,859","17,877","1,917","1,249","1,883","2,681",923,"2,360","2,199","1,669","2,996"
2020년09월_여_70~79세,"35,542","8,570","1,084",961,841,742,461,511,606,817,"1,014","1,024",509,"14,315","1,350",613,384,978,509,"1,172",743,454,"1,790","1,524",879,661,910,861,"1,487","12,657","1,300","1,054","1,520","1,873",570,"1,351","1,504","1,346","2,139"
2020년09월_여_80~89세,"15,914","4,669",601,464,496,386,312,417,398,419,463,493,220,"6,251",595,307,354,393,224,484,320,207,696,631,359,310,383,401,587,"4,994",577,529,538,847,271,476,576,488,692
2020년09월_여_90~99세,"3,021",895,95,93,112,79,59,71,91,78,95,76,46,"1,169",95,62,100,86,36,81,71,31,153,105,56,60,48,71,114,957,90,71,101,142,61,121,125,94,152
2020년09월_여_100세 이상,160,60,0,6,9,5,4,5,9,7,7,3,5,53,6,2,1,6,1,6,3,1,5,4,3,3,0,5,7,47,11,3,2,5,2,4,9,5,6
