,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년09월_남_0~9세,"7,539",53,"1,189",445,424,125,886,712,187,383,456,545,468,309,375,24,958
2021년09월_남_10~19세,"10,192",64,"1,726",476,492,194,912,753,383,545,911,754,463,404,649,63,"1,403"
2021년09월_남_20~29세,"16,102",193,"1,407",652,769,423,"1,800",908,"1,559","1,079","1,496","2,044",695,"1,032",825,112,"1,108"
2021년09월_남_30~39세,"13,811",226,"1,345",826,787,425,"1,611","1,011",621,778,"1,078","1,748",752,695,732,94,"1,082"
2021년09월_남_40~49세,"17,657",317,"2,392",935,836,569,"1,670","1,199",712,"1,111","1,347","1,662",937,836,"1,112",140,"1,882"
2021년09월_남_50~59세,"18,770",590,"1,787",915,"1,054",760,"1,795","1,201",819,"1,245","1,696","1,727","1,030",943,"1,318",261,"1,629"
2021년09월_남_60~69세,"16,508",645,"1,388",883,961,926,"1,496","1,003",779,"1,139","1,318","1,309",927,824,"1,211",322,"1,377"
2021년09월_남_70~79세,"8,587",369,712,549,515,522,681,507,418,581,660,614,526,378,692,152,711
2021년09월_남_80~89세,"3,173",119,239,219,209,222,212,193,156,225,237,190,172,158,269,74,279
2021년09월_남_90~99세,288,10,22,14,26,22,21,23,9,21,12,14,21,6,26,15,26
2021년09월_남_100세 이상,11,1,0,1,1,1,2,0,0,1,0,0,0,0,1,0,3
2021년09월_여_총인구수,"110,771","2,023","12,573","6,177","6,328","4,380","10,893","7,480","5,034","6,695","9,129","10,019","6,088","5,454","6,966","1,165","10,367"
2021년09월_여_연령구간인구수,"110,771","2,023","12,573","6,177","6,328","4,380","10,893","7,480","5,034","6,695","9,129","10,019","6,088","5,454","6,966","1,165","10,367"
2021년09월_여_0~9세,"6,956",57,"1,178",420,334,121,790,649,177,392,436,496,395,241,382,32,856
2021년09월_여_10~19세,"9,538",70,"1,589",401,463,170,932,669,406,537,828,718,470,383,569,71,"1,262"
2021년09월_여_20~29세,"14,248",138,"1,173",653,685,340,"1,578",831,"1,270",885,"1,421","1,939",613,"1,027",664,82,949
2021년09월_여_30~39세,"11,729",150,"1,406",728,678,285,"1,386",926,412,626,833,"1,298",682,568,626,54,"1,071"
2021년09월_여_40~49세,"16,088",172,"2,445",812,868,417,"1,576","1,174",521,908,"1,271","1,457",817,686,987,106,"1,871"
2021년09월_여_50~59세,"17,557",305,"1,802","1,019","1,092",696,"1,817","1,147",720,"1,069","1,623","1,565","1,011",883,"1,176",188,"1,444"
2021년09월_여_60~69세,"17,639",500,"1,609","1,111","1,058","1,023","1,567","1,057",775,"1,143","1,457","1,419","1,059",888,"1,266",259,"1,448"
2021년09월_여_70~79세,"10,519",401,889,655,696,764,781,613,483,726,780,730,648,487,820,172,874
2021년09월_여_80~89세,"5,598",200,399,332,399,482,397,356,230,364,411,347,330,248,422,175,506
2021년09월_여_90~99세,867,29,81,45,54,82,66,55,37,42,65,48,60,43,54,26,80
2021년09월_여_100세 이상,32,1,2,1,1,0,3,3,3,3,4,2,3,0,0,0,6
