,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년08월_여_10~19세,"31,633","16,923","1,308",814,"1,459","1,826","1,781","2,024","1,530",917,"1,085","1,873","1,273",658,375,"14,710","1,900",965,"1,129","2,542",152,879,"1,252","2,492",648,786,"1,786",179
2020년08월_여_20~29세,"49,625","26,903","1,862","2,114","2,742","2,523","2,251","2,776","2,170","1,730","1,650","3,232","2,296","1,034",523,"22,722","2,725","2,093","2,504","3,765",195,"1,379","1,354","3,461","1,104","1,151","2,683",308
2020년08월_여_30~39세,"39,199","20,194","1,469","1,568","1,970","2,002","2,173","2,180","1,410","1,179","1,143","2,005","1,595","1,071",429,"19,005","2,344","1,428","1,888","2,754",266,"1,152","1,276","3,248","1,135",843,"2,383",288
2020년08월_여_40~49세,"53,696","28,726","2,168","1,800","2,730","2,822","2,762","3,403","2,414","1,661","1,775","3,192","2,094","1,275",630,"24,970","3,368","1,708","1,962","4,021",408,"1,458","1,859","4,155","1,219","1,310","3,099",403
2020년08월_여_50~59세,"61,981","33,314","2,179","2,079","2,972","3,182","2,616","3,464","2,696","2,169","2,180","4,055","3,073","1,784",865,"28,667","3,485","2,034","2,374","4,533",612,"1,888","2,010","4,107","1,580","1,633","3,429",982
2020년08월_여_60~69세,"32,740","17,533","1,235","1,261","1,355","1,613","1,120","1,709","1,327","1,071","1,089","1,915","1,578","1,535",725,"15,207","1,806","1,194","1,295","1,779",417,"1,082","1,210","2,061",932,881,"1,574",976
2020년08월_여_70~79세,"16,317","9,359",831,701,903,718,339,"1,020",837,652,641,927,606,824,360,"6,958",966,615,435,623,305,436,480,"1,024",427,408,728,511
2020년08월_여_80~89세,"9,485","5,416",402,359,777,413,190,574,453,347,369,604,389,347,192,"4,069",550,363,261,416,153,185,289,598,269,254,419,312
2020년08월_여_90~99세,"1,625",940,72,68,141,69,46,80,68,50,50,100,81,69,46,685,91,50,70,82,18,27,47,105,40,31,61,63
2020년08월_여_100세 이상,97,53,4,6,11,5,1,1,3,0,2,7,4,4,5,44,4,2,3,3,5,8,3,6,1,2,4,3
