,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년06월_남_연령구간인구수,"57,642","6,123","1,376","1,566",747,"1,180","1,256","1,820",978,"2,449","2,333","1,812","1,001","2,233","3,893","1,407","2,588","4,590","1,758","1,868","16,664"
2020년06월_남_0~9세,"5,182",604,30,37,11,43,25,38,17,63,79,41,26,65,343,78,146,416,69,70,"2,981"
2020년06월_남_10~19세,"4,813",408,83,84,29,66,54,101,33,84,122,78,26,120,456,133,222,528,138,102,"1,946"
2020년06월_남_20~29세,"6,443",650,124,153,70,87,109,146,75,202,223,197,67,184,637,203,306,738,160,221,"1,891"
2020년06월_남_30~39세,"7,590",862,80,118,52,74,78,139,55,174,222,146,57,142,526,141,232,522,141,190,"3,639"
2020년06월_남_40~49세,"9,151",995,159,179,82,153,134,206,113,298,287,247,112,258,640,248,346,728,206,285,"3,475"
2020년06월_남_50~59세,"9,417",972,300,352,157,227,235,363,208,519,474,423,239,454,667,246,467,768,390,378,"1,578"
2020년06월_남_60~69세,"7,956",950,298,326,164,266,311,403,230,573,466,362,239,470,376,182,420,468,329,337,786
2020년06월_남_70~79세,"4,966",507,214,220,127,173,203,278,148,351,328,217,162,368,172,124,319,319,221,213,302
2020년06월_남_80~89세,"1,906",153,83,93,48,83,96,134,88,166,118,88,66,153,66,48,118,92,90,61,62
2020년06월_남_90~99세,208,22,5,4,7,7,11,11,11,19,13,13,6,18,10,4,12,11,14,6,4
2020년06월_남_100세 이상,10,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,5,0
2020년06월_여_총인구수,"56,806","6,071","1,372","1,454",771,"1,201","1,285","1,817","1,027","2,308","2,120","1,673",928,"2,095","3,936","1,410","2,544","4,555","1,693","1,685","16,861"
2020년06월_여_연령구간인구수,"56,806","6,071","1,372","1,454",771,"1,201","1,285","1,817","1,027","2,308","2,120","1,673",928,"2,095","3,936","1,410","2,544","4,555","1,693","1,685","16,861"
2020년06월_여_0~9세,"4,944",560,33,45,13,45,27,35,20,43,68,48,17,63,329,78,103,389,49,78,"2,901"
2020년06월_여_10~19세,"4,548",385,74,68,28,62,37,63,29,94,103,73,29,90,427,114,159,459,165,113,"1,976"
2020년06월_여_20~29세,"5,722",585,97,124,38,67,72,107,52,160,171,135,46,149,544,156,248,599,129,161,"2,082"
2020년06월_여_30~39세,"7,013",830,62,60,29,59,49,73,38,104,140,103,46,113,480,135,191,522,104,121,"3,754"
2020년06월_여_40~49세,"7,102",748,72,92,43,91,65,108,53,140,167,140,54,130,627,189,288,683,130,169,"3,113"
2020년06월_여_50~59세,"7,839","1,000",202,213,119,161,187,287,153,378,325,282,155,275,616,219,428,704,264,252,"1,619"
2020년06월_여_60~69세,"7,707",901,268,287,169,234,252,379,203,498,407,339,194,426,414,213,439,549,304,313,918
2020년06월_여_70~79세,"6,526",599,284,284,154,252,323,379,236,445,428,294,206,465,280,175,428,389,313,269,323
2020년06월_여_80~89세,"4,588",402,226,242,151,205,242,328,204,362,255,221,159,327,195,106,219,220,205,168,151
2020년06월_여_90~99세,769,58,50,37,27,21,31,56,38,80,52,38,22,53,23,25,37,40,26,32,23
2020년06월_여_100세 이상,48,3,4,2,0,4,0,2,1,4,4,0,0,4,1,0,4,1,4,9,1
