,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년09월_남_90~99세,509,37,22,30,26,24,20,21,13,52,95,12,22,24,48,29,34
2020년09월_남_100세 이상,104,5,6,16,10,4,4,2,5,14,8,2,6,3,9,3,7
2020년09월_여_총인구수,"119,182","9,112","5,239","3,001","10,563","8,343","7,605","5,396","6,452","9,977","15,081","4,648","3,657","4,986","11,035","6,888","7,199"
2020년09월_여_연령구간인구수,"119,182","9,112","5,239","3,001","10,563","8,343","7,605","5,396","6,452","9,977","15,081","4,648","3,657","4,986","11,035","6,888","7,199"
2020년09월_여_0~9세,"6,609",476,182,101,363,662,468,372,388,487,"1,333",271,128,210,573,391,204
2020년09월_여_10~19세,"7,789",587,276,122,554,424,780,383,409,451,"1,470",250,148,260,583,740,352
2020년09월_여_20~29세,"17,451","1,271",744,513,"2,544","1,407",999,865,975,"1,614","1,549",498,500,689,"1,397",911,975
2020년09월_여_30~39세,"19,098","1,371",861,489,"1,463","1,889","1,044",942,"1,025","2,051","2,051",749,528,833,"2,052",785,965
2020년09월_여_40~49세,"18,249","1,439",696,391,"1,380","1,265","1,202",839,953,"1,379","2,768",627,455,747,"1,738","1,316","1,054"
2020년09월_여_50~59세,"18,611","1,484",785,482,"1,562","1,112","1,186",815,"1,007","1,616","2,372",752,608,718,"1,704","1,106","1,302"
2020년09월_여_60~69세,"14,909","1,192",801,411,"1,290",844,922,549,839,"1,158","1,544",739,592,692,"1,476",709,"1,151"
2020년09월_여_70~79세,"9,808",766,512,291,894,464,587,379,559,737,"1,107",444,395,504,933,488,748
2020년09월_여_80~89세,"5,289",404,300,146,409,211,353,204,234,371,719,254,231,262,442,382,367
2020년09월_여_90~99세,"1,106",97,66,39,80,51,54,35,55,85,142,52,56,60,111,57,66
2020년09월_여_100세 이상,263,25,16,16,24,14,10,13,8,28,26,12,16,11,26,3,15
