,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년09월_계_80~89세,"14,513",535,437,326,382,918,442,447,875,401,672,606,409,441,700,565,375,"1,026",830,827,470,848,893,"1,088"
2021년09월_계_90~99세,"1,951",61,53,45,56,113,46,59,113,45,90,92,45,58,120,84,57,147,101,109,64,107,143,143
2021년09월_계_100세 이상,66,7,2,2,2,4,1,1,2,1,2,6,0,1,0,5,3,4,0,4,4,4,9,2
2021년09월_남_총인구수,"202,912","8,158","7,606","7,845","9,822","11,190","5,499","10,407","8,324","5,805","6,920","11,435","5,273","5,520","7,914","6,063","6,917","10,487","8,885","5,186","8,334","14,936","14,276","16,110"
2021년09월_남_연령구간인구수,"202,912","8,158","7,606","7,845","9,822","11,190","5,499","10,407","8,324","5,805","6,920","11,435","5,273","5,520","7,914","6,063","6,917","10,487","8,885","5,186","8,334","14,936","14,276","16,110"
2021년09월_남_0~9세,"14,968",822,531,947,868,923,243,725,552,519,412,"1,025",260,380,501,468,431,491,522,175,632,"1,108","1,191","1,242"
2021년09월_남_10~19세,"26,161","1,056",921,984,"2,399","1,260",616,"2,493","1,000",864,673,"2,008",408,379,663,533,577,984,904,307,987,"2,287","1,735","2,123"
2021년09월_남_20~29세,"28,746","1,024","1,141","1,071","1,045","1,581",957,"1,479","1,105",648,"1,054","1,451",842,726,"1,029",654,"1,136","1,710","1,309",685,"1,145","2,295","2,184","2,475"
2021년09월_남_30~39세,"20,760",862,954,905,568,"1,141",653,587,752,485,701,840,696,763,"1,001",728,963,"1,170",934,478,895,"1,345","1,667","1,672"
2021년09월_남_40~49세,"32,291","1,468","1,215","1,514","2,193","1,646",725,"1,878","1,354","1,107",904,"2,061",837,905,"1,159",908,"1,073","1,368","1,225",616,"1,294","2,365","2,133","2,343"
2021년09월_남_50~59세,"36,077","1,379","1,317","1,331","1,604","1,976","1,022","1,809","1,513",983,"1,347","2,115",942,971,"1,351",963,"1,321","1,885","1,614",956,"1,433","2,716","2,423","3,106"
2021년09월_남_60~69세,"25,450",852,872,643,639,"1,476",726,814,"1,040",661,"1,018","1,176",686,789,"1,268",951,883,"1,627","1,390","1,126","1,244","1,782","1,802","1,985"
2021년09월_남_70~79세,"12,626",446,463,317,354,789,384,426,650,371,532,520,419,418,665,631,371,862,662,589,536,695,761,765
2021년09월_남_80~89세,"5,358",228,181,119,139,363,165,179,335,155,248,220,170,176,256,206,147,356,297,233,158,318,339,370
2021년09월_남_90~99세,460,20,11,14,11,35,8,17,23,12,31,18,13,13,21,20,14,33,28,20,8,23,39,28
2021년09월_남_100세 이상,15,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,2,2,1
2021년09월_여_총인구수,"216,624","8,992","8,028","8,487","10,183","11,736","5,557","9,489","9,767","6,160","7,930","12,491","5,721","5,528","8,441","6,562","7,216","11,587","9,974","6,225","8,896","15,878","14,471","17,305"
2021년09월_여_연령구간인구수,"216,624","8,992","8,028","8,487","10,183","11,736","5,557","9,489","9,767","6,160","7,930","12,491","5,721","5,528","8,441","6,562","7,216","11,587","9,974","6,225","8,896","15,878","14,471","17,305"
2021년09월_여_0~9세,"14,086",837,501,946,772,821,243,550,623,483,396,986,265,329,442,484,420,427,504,172,636,"1,019","1,109","1,121"
2021년09월_여_10~19세,"23,474","1,130",854,"1,056","2,084","1,142",460,"1,341","1,155",826,722,"1,995",414,328,610,437,549,782,860,300,870,"2,211","1,452","1,896"
2021년09월_여_20~29세,"24,911",958,"1,094",972,898,"1,315",830,"1,002",998,608,972,"1,230",896,676,964,526,"1,007","1,468","1,169",590,944,"1,936","1,702","2,156"
2021년09월_여_30~39세,"21,528","1,073","1,027","1,123",740,"1,174",510,712,792,568,735,"1,028",665,680,920,720,938,"1,062",930,432,905,"1,433","1,651","1,710"
2021년09월_여_40~49세,"38,426","1,672","1,426","1,733","2,771","1,930",855,"2,465","1,646","1,224","1,192","2,626",883,865,"1,267",958,"1,171","1,616","1,508",639,"1,525","2,995","2,466","2,993"
2021년09월_여_50~59세,"38,696","1,451","1,367","1,303","1,388","2,122","1,063","1,641","1,662",896,"1,564","2,138",944,928,"1,443","1,097","1,433","2,267","1,956","1,151","1,673","3,033","2,643","3,533"
2021년09월_여_60~69세,"28,417",888,936,692,776,"1,629",822,893,"1,290",784,"1,168","1,350",837,885,"1,427","1,213",961,"1,966","1,620","1,306","1,400","1,779","1,827","1,968"
2021년09월_여_70~79세,"16,389",629,523,422,466,966,458,574,969,491,696,673,546,526,825,700,464,"1,212",821,949,573,856,956,"1,094"
2021년09월_여_80~89세,"9,155",307,256,207,243,555,277,268,540,246,424,386,239,265,444,359,228,670,533,594,312,530,554,718
2021년09월_여_90~99세,"1,491",41,42,31,45,78,38,42,90,33,59,74,32,45,99,64,43,114,73,89,56,84,104,115
2021년09월_여_100세 이상,51,6,2,2,0,4,1,1,2,1,2,5,0,1,0,4,2,3,0,3,2,2,7,1
