,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년03월_계_100세 이상,32,1,2,2,0,4,0,3,2,2,3,0,2,3,2,0,1,2,0,2,1
2021년03월_남_총인구수,"58,516","6,064","1,324","1,529",711,"1,163","1,244","1,789",951,"2,390","2,256","1,761",976,"2,193","3,806","1,333","2,465","4,411","1,651","1,812","18,687"
2021년03월_남_연령구간인구수,"58,516","6,064","1,324","1,529",711,"1,163","1,244","1,789",951,"2,390","2,256","1,761",976,"2,193","3,806","1,333","2,465","4,411","1,651","1,812","18,687"
2021년03월_남_0~9세,"5,148",558,22,32,7,40,19,30,13,56,66,38,18,55,310,69,121,376,62,56,"3,200"
2021년03월_남_10~19세,"4,954",406,77,80,27,63,51,95,27,86,115,67,23,113,421,120,219,487,116,108,"2,253"
2021년03월_남_20~29세,"6,585",639,111,145,62,89,109,136,71,197,217,177,61,180,649,187,294,711,150,216,"2,184"
2021년03월_남_30~39세,"7,577",814,68,107,50,73,67,132,50,159,200,143,59,134,503,129,193,466,120,176,"3,934"
2021년03월_남_40~49세,"9,237",962,158,174,80,137,133,197,107,261,270,233,90,248,600,223,316,699,193,258,"3,898"
2021년03월_남_50~59세,"9,445","1,000",280,323,145,216,224,330,203,512,454,405,235,453,667,232,446,739,357,376,"1,848"
2021년03월_남_60~69세,"8,301",979,302,343,155,275,312,442,232,581,457,370,255,480,391,197,421,495,330,339,945
2021년03월_남_70~79세,"5,018",509,211,213,131,179,212,279,150,347,333,224,154,353,181,121,320,318,222,210,351
2021년03월_남_80~89세,"2,032",177,90,107,47,86,104,136,90,167,130,92,70,160,75,51,122,107,87,68,66
2021년03월_남_90~99세,214,20,5,5,7,5,13,11,8,24,13,12,10,16,9,4,13,13,14,5,7
2021년03월_남_100세 이상,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
2021년03월_여_총인구수,"57,597","5,964","1,305","1,372",737,"1,149","1,252","1,780","1,006","2,236","2,035","1,614",899,"2,032","3,851","1,365","2,430","4,362","1,625","1,598","18,985"
2021년03월_여_연령구간인구수,"57,597","5,964","1,305","1,372",737,"1,149","1,252","1,780","1,006","2,236","2,035","1,614",899,"2,032","3,851","1,365","2,430","4,362","1,625","1,598","18,985"
2021년03월_여_0~9세,"4,953",535,26,24,9,44,27,34,20,38,54,43,11,50,297,78,99,336,46,62,"3,120"
2021년03월_여_10~19세,"4,620",373,71,54,27,58,32,64,25,82,95,64,31,85,428,100,140,427,142,96,"2,226"
2021년03월_여_20~29세,"5,844",564,84,108,37,58,63,99,51,146,166,133,46,125,525,140,225,566,122,166,"2,420"
2021년03월_여_30~39세,"6,939",755,53,51,16,49,47,64,38,106,110,96,38,95,418,131,174,443,94,125,"4,036"
2021년03월_여_40~49세,"7,400",732,62,82,44,82,61,105,50,119,166,118,51,116,602,168,280,662,115,158,"3,627"
2021년03월_여_50~59세,"7,849",967,196,204,111,142,163,265,141,364,298,266,147,281,629,213,391,699,248,215,"1,909"
2021년03월_여_60~69세,"8,027",956,262,287,160,238,260,386,206,502,415,344,189,430,432,227,444,570,310,324,"1,085"
2021년03월_여_70~79세,"6,441",612,280,262,147,246,310,378,226,429,420,284,202,450,299,167,413,397,299,247,373
2021년03월_여_80~89세,"4,693",403,221,257,157,203,251,326,213,370,262,235,159,344,194,112,221,216,213,171,165
2021년03월_여_90~99세,804,66,48,41,29,25,38,57,34,78,47,31,24,54,25,29,42,44,36,32,24
2021년03월_여_100세 이상,27,1,2,2,0,4,0,2,2,2,2,0,1,2,2,0,1,2,0,2,0
