,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년05월_계_100세 이상,170,8,3,10,11,12,16,28,18,15,7,4,10,18,10
2020년05월_남_총인구수,"161,195","12,302","14,692","7,275","13,250","12,238","11,061","13,856","10,615","9,494","8,232","9,315","14,630","10,444","13,791"
2020년05월_남_연령구간인구수,"161,195","12,302","14,692","7,275","13,250","12,238","11,061","13,856","10,615","9,494","8,232","9,315","14,630","10,444","13,791"
2020년05월_남_0~9세,"10,216",849,"1,002",442,958,825,452,869,652,606,443,682,812,526,"1,098"
2020년05월_남_10~19세,"13,741","1,156","1,243",572,"1,392","1,053",689,935,833,762,542,"1,044","1,179",810,"1,531"
2020년05월_남_20~29세,"22,677","1,705","2,078","1,003","1,952","1,821","1,454","1,738","1,489","1,321","1,246","1,354","2,090","1,508","1,918"
2020년05월_남_30~39세,"21,636","1,730","2,200",952,"1,687","1,879","1,338","1,940","1,353","1,417","1,255","1,174","1,775","1,288","1,648"
2020년05월_남_40~49세,"24,683","2,079","2,376","1,137","2,120","1,720","1,644","1,997","1,700","1,445","1,297","1,413","2,154","1,558","2,043"
2020년05월_남_50~59세,"27,646","1,977","2,475","1,344","2,374","2,076","1,932","2,242","1,794","1,511","1,309","1,595","2,790","1,924","2,303"
2020년05월_남_60~69세,"23,230","1,607","1,910","1,000","1,623","1,701","1,837","2,330","1,515","1,403","1,150","1,303","2,162","1,645","2,044"
2020년05월_남_70~79세,"12,601",853,"1,008",609,796,822,"1,274","1,318",951,726,720,533,"1,286",866,839
2020년05월_남_80~89세,"4,278",308,378,200,300,300,398,436,299,266,249,191,347,283,323
2020년05월_남_90~99세,442,36,21,13,44,37,41,45,22,30,21,26,35,31,40
2020년05월_남_100세 이상,45,2,1,3,4,4,2,6,7,7,0,0,0,5,4
2020년05월_여_총인구수,"168,954","13,477","15,321","7,259","14,259","13,258","10,786","14,420","11,401","10,160","8,737","10,264","14,851","10,238","14,523"
2020년05월_여_연령구간인구수,"168,954","13,477","15,321","7,259","14,259","13,258","10,786","14,420","11,401","10,160","8,737","10,264","14,851","10,238","14,523"
2020년05월_여_0~9세,"9,609",786,932,416,905,787,469,857,599,520,434,620,823,505,956
2020년05월_여_10~19세,"12,910","1,119","1,117",538,"1,340","1,020",585,858,886,714,504,"1,049","1,129",724,"1,327"
2020년05월_여_20~29세,"21,831","1,717","2,113",896,"1,891","1,912","1,254","1,736","1,644","1,283","1,327","1,272","1,935","1,259","1,592"
2020년05월_여_30~39세,"20,644","1,801","2,129",823,"1,754","1,755","1,082","1,850","1,307","1,296","1,170","1,256","1,693","1,081","1,647"
2020년05월_여_40~49세,"25,209","2,183","2,307","1,074","2,414","1,952","1,399","1,904","1,635","1,439","1,192","1,691","2,220","1,473","2,326"
2020년05월_여_50~59세,"30,430","2,299","2,755","1,328","2,616","2,439","1,943","2,383","1,937","1,849","1,548","1,916","2,761","1,973","2,683"
2020년05월_여_60~69세,"25,214","1,813","2,102","1,067","1,742","1,858","2,000","2,507","1,717","1,587","1,268","1,393","2,334","1,626","2,200"
2020년05월_여_70~79세,"14,834","1,138","1,253",750,926,942,"1,383","1,491","1,099",926,900,632,"1,291","1,056","1,047"
2020년05월_여_80~89세,"6,971",539,539,311,572,497,584,686,479,457,331,354,544,448,630
2020년05월_여_90~99세,"1,177",76,72,49,92,88,73,126,87,81,56,77,111,80,109
2020년05월_여_100세 이상,125,6,2,7,7,8,14,22,11,8,7,4,10,13,6
