카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년08월_남_총인구수,"898,296","323,103","165,542","157,561","135,367","141,163","54,088","39,728","41,140","47,109","12,845","11,938","11,023","14,144","13,569","27,019","26,060"
2020년08월_남_연령구간인구수,"898,296","323,103","165,542","157,561","135,367","141,163","54,088","39,728","41,140","47,109","12,845","11,938","11,023","14,144","13,569","27,019","26,060"
2020년08월_남_0~9세,"67,476","28,118","12,984","15,134","10,939","10,088","3,358","2,740","2,319","3,603",652,671,611,736,812,"1,454","1,375"
2020년08월_남_10~19세,"91,556","37,458","19,090","18,368","13,990","14,462","5,218","3,836","3,228","4,349",897,921,833,921,"1,150","2,270","2,023"
2020년08월_남_20~29세,"114,030","48,619","25,644","22,975","16,161","19,775","5,870","4,250","4,041","4,979","1,113",985,954,"1,273","1,142","2,457","2,411"
2020년08월_남_30~39세,"98,793","41,502","20,356","21,146","16,315","15,244","4,815","3,334","3,617","4,948",826,957,831,"1,107","1,012","2,128","2,157"
2020년08월_남_40~49세,"139,756","52,699","25,822","26,877","22,967","21,684","7,953","5,602","5,718","7,557","1,645","1,614","1,487","1,807","1,926","3,595","3,502"
2020년08월_남_50~59세,"155,283","51,876","27,479","24,397","22,977","24,991","9,964","7,303","7,584","8,533","2,577","2,323","2,090","2,702","2,463","5,026","4,874"
2020년08월_남_60~69세,"123,784","35,916","19,617","16,299","18,161","19,672","8,226","6,381","7,178","7,023","2,492","2,172","2,101","2,618","2,382","4,703","4,759"
2020년08월_남_70~79세,"74,225","19,351","10,499","8,852","10,115","10,756","5,757","4,100","4,927","4,184","1,740","1,431","1,357","1,896","1,698","3,584","3,329"
2020년08월_남_80~89세,"30,279","6,915","3,689","3,226","3,398","4,023","2,655","1,948","2,256","1,761",803,794,694,982,888,"1,660","1,502"
2020년08월_남_90~99세,"2,940",619,346,273,307,445,252,223,258,162,91,66,61,95,95,141,125
2020년08월_남_100세 이상,174,30,16,14,37,23,20,11,14,10,9,4,4,7,1,1,3
2020년08월_여_총인구수,"908,798","333,046","174,153","158,893","132,615","142,333","55,079","41,334","41,921","44,632","12,621","12,086","11,136","13,519","14,373","27,708","26,395"
2020년08월_여_연령구간인구수,"908,798","333,046","174,153","158,893","132,615","142,333","55,079","41,334","41,921","44,632","12,621","12,086","11,136","13,519","14,373","27,708","26,395"
2020년08월_여_0~9세,"64,045","26,719","12,237","14,482","10,511","9,684","3,214","2,419","2,152","3,549",672,574,572,666,762,"1,301","1,250"
2020년08월_여_10~19세,"85,112","34,898","17,547","17,351","13,070","13,829","4,587","3,580","3,048","3,969",778,892,830,807,"1,093","1,936","1,795"
2020년08월_여_20~29세,"97,291","43,941","23,707","20,234","13,407","16,536","4,815","3,373","3,242","3,979",856,790,725,889,943,"1,887","1,908"
2020년08월_여_30~39세,"92,923","40,724","19,880","20,844","14,943","13,835","4,264","3,232","3,178","4,678",886,794,757,909,"1,055","1,844","1,824"
2020년08월_여_40~49세,"131,005","54,898","28,198","26,700","20,791","20,743","7,133","5,310","4,456","6,050","1,170","1,285","1,134","1,151","1,452","2,691","2,741"
2020년08월_여_50~59세,"145,290","53,861","29,569","24,292","20,957","24,310","8,633","6,473","6,350","6,795","1,993","1,892","1,619","2,063","2,072","4,174","4,098"
2020년08월_여_60~69세,"126,990","39,258","21,834","17,424","18,615","19,994","8,346","6,391","7,185","6,554","2,247","2,097","2,073","2,302","2,349","4,842","4,737"
2020년08월_여_70~79세,"94,702","24,167","13,079","11,088","12,438","13,483","7,607","5,697","6,417","4,939","2,082","1,990","1,775","2,408","2,508","4,809","4,382"
2020년08월_여_80~89세,"60,369","12,341","6,819","5,522","6,587","8,374","5,496","4,108","4,915","3,479","1,646","1,496","1,414","1,980","1,841","3,546","3,146"
2020년08월_여_90~99세,"10,393","2,106","1,217",889,"1,214","1,462",897,720,918,606,272,258,219,328,268,644,481
2020년08월_여_100세 이상,678,133,66,67,82,83,87,31,60,34,19,18,18,16,30,34,33
