,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년04월_여_연령구간인구수,"199,288","12,659","9,745","4,655","17,738","11,182","13,009","12,861","10,105","10,507","12,736","18,395","9,933","15,092","8,658","20,728","11,285"
2020년04월_여_0~9세,"11,564",675,531,275,858,579,626,927,411,654,525,"1,273",568,749,417,"1,773",723
2020년04월_여_10~19세,"13,622",857,601,317,"1,080",640,770,988,428,707,614,"1,593",627,978,663,"1,864",895
2020년04월_여_20~29세,"28,043","1,722","1,247",577,"2,597","1,488","1,862","1,871","2,189","1,508","1,970","2,548","1,435","2,028","1,165","2,510","1,326"
2020년04월_여_30~39세,"28,256","1,611","1,362",658,"2,627","1,696","1,764","1,845","1,992","1,614","1,740","2,603","1,470","1,953","1,022","2,762","1,537"
2020년04월_여_40~49세,"28,429","1,839","1,446",662,"2,559","1,506","1,717","1,898","1,275","1,386","1,705","3,035","1,481","1,945","1,248","3,024","1,703"
2020년04월_여_50~59세,"35,573","2,457","1,661",853,"3,287","2,090","2,436","2,332","1,547","1,849","2,438","2,919","1,646","2,908","1,657","3,559","1,934"
2020년04월_여_60~69세,"28,852","1,846","1,513",703,"2,484","1,724","2,038","1,633","1,260","1,564","1,943","2,412","1,526","2,436","1,311","2,773","1,686"
2020년04월_여_70~79세,"16,701","1,114","1,006",438,"1,563",982,"1,229",892,687,823,"1,228","1,342",816,"1,368",769,"1,519",925
2020년04월_여_80~89세,"6,904",451,310,144,577,405,485,403,255,340,503,564,312,598,327,753,477
2020년04월_여_90~99세,"1,193",77,60,25,87,62,74,70,52,58,59,91,45,115,67,177,74
2020년04월_여_100세 이상,151,10,8,3,19,10,8,2,9,4,11,15,7,14,12,14,5
