,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년12월_계_80~89세,"26,327","5,713",829,922,504,917,481,835,704,521,"2,938",586,304,352,673,518,277,228,"7,057",332,471,318,501,269,42,751,531,685,442,451,576,901,378,409,"5,331","1,381",583,354,528,366,341,594,277,247,296,247,117,"5,288",693,645,369,364,317,284,309,435,302,484,337,237,512
2020년12월_계_90~99세,"3,436",775,98,146,72,123,68,98,94,76,438,88,52,64,94,77,30,33,"1,006",63,72,55,89,40,9,118,79,79,44,50,82,120,44,62,583,146,60,45,50,42,36,74,35,20,38,26,11,634,85,77,42,42,33,43,40,48,27,54,40,40,63
2020년12월_계_100세 이상,188,36,5,7,2,8,1,7,5,1,20,6,4,4,4,2,0,0,69,0,3,2,2,0,2,4,5,8,3,4,22,6,3,5,45,5,6,4,4,6,3,2,4,2,3,3,3,18,2,1,2,3,2,2,1,1,1,1,1,0,1
2020년12월_남_총인구수,"525,278","133,544","10,221","21,918","3,675","25,793","19,479","21,574","15,814","15,070","109,642","21,161","12,620","14,217","22,719","20,931","13,844","4,150","87,418","2,230","6,330","1,889","1,990","7,109",496,"17,438","5,577","7,246","4,522","5,361","7,686","9,754","3,502","6,288","95,938","32,638","5,216","4,928","8,604","3,194","5,659","15,746","4,809","3,887","4,537","4,840","1,880","98,736","8,989","4,335","2,541","5,771","3,740","8,930","4,546","10,701","5,018","13,013","6,459","3,315","21,378"
2020년12월_남_연령구간인구수,"525,278","133,544","10,221","21,918","3,675","25,793","19,479","21,574","15,814","15,070","109,642","21,161","12,620","14,217","22,719","20,931","13,844","4,150","87,418","2,230","6,330","1,889","1,990","7,109",496,"17,438","5,577","7,246","4,522","5,361","7,686","9,754","3,502","6,288","95,938","32,638","5,216","4,928","8,604","3,194","5,659","15,746","4,809","3,887","4,537","4,840","1,880","98,736","8,989","4,335","2,541","5,771","3,740","8,930","4,546","10,701","5,018","13,013","6,459","3,315","21,378"
2020년12월_남_0~9세,"43,093","11,042",583,"3,387",137,"2,221","1,585","1,232",761,"1,136","8,491","1,696",663,"1,064","1,797","1,893","1,140",238,"6,578",68,611,37,32,"1,155",25,"1,696",260,480,219,272,610,552,168,393,"6,921","2,671",221,334,586,82,312,"1,647",354,144,207,283,80,"10,061",772,198,97,579,293,779,207,"1,247",549,"1,885",970,288,"2,197"
2020년12월_남_10~19세,"52,239","12,470","1,034","1,873",228,"2,449","2,065","2,159","1,183","1,479","12,184","2,806",759,"1,831","2,547","2,130","1,694",417,"7,142",88,525,87,79,605,16,"1,810",362,726,348,520,651,621,229,475,"9,564","4,282",314,409,671,180,451,"1,806",304,259,346,420,122,"10,879",923,376,156,531,407,"1,257",305,"1,153",636,"1,627",470,362,"2,676"
2020년12월_남_20~29세,"72,430","19,970","1,342","2,172",372,"3,880","3,177","3,668","2,777","2,582","18,024","3,192","2,547","2,356","3,562","3,438","2,325",604,"10,502",196,604,167,156,628,74,"2,502",950,890,620,675,837,"1,054",365,784,"12,338","4,584",538,610,"1,005",342,753,"1,916",624,530,537,673,226,"11,596","1,393",495,288,651,419,"1,250",601,"1,243",642,"1,262",650,337,"2,365"
2020년12월_남_30~39세,"70,891","18,688",971,"3,980",410,"3,793","2,906","2,295","2,192","2,141","15,661","2,296","2,557","1,828","3,331","3,275","1,796",578,"10,859",195,797,123,106,"1,236",50,"2,358",636,808,492,551,980,"1,254",441,832,"11,521","3,398",581,685,"1,285",330,718,"2,022",702,463,519,587,231,"14,162","1,251",411,221,860,441,"1,131",625,"1,651",676,"1,897","1,243",384,"3,371"
2020년12월_남_40~49세,"85,182","20,696","1,676","3,839",482,"3,958","3,043","3,245","2,234","2,219","17,160","3,498","2,043","2,188","3,611","3,157","2,014",649,"13,458",266,"1,062",201,187,"1,317",54,"2,663",734,"1,158",633,728,"1,222","1,671",568,994,"15,337","5,514",784,715,"1,285",428,843,"2,755",727,584,628,750,324,"18,531","1,561",624,352,908,658,"1,660",750,"1,898",862,"2,586","1,104",593,"4,975"
2020년12월_남_50~59세,"92,635","24,862","2,020","2,966",677,"4,772","3,831","4,579","3,105","2,912","21,155","4,132","2,196","2,846","4,219","4,039","2,994",729,"14,688",415,"1,107",414,409,946,93,"2,871",935,"1,203",839,917,"1,237","1,634",599,"1,069","17,217","6,377",892,775,"1,432",598,963,"2,537",824,730,890,830,369,"14,713","1,216",715,478,897,573,"1,406",776,"1,644",699,"1,632",898,567,"3,212"
2020년12월_남_60~69세,"70,363","17,576","1,579","2,527",824,"3,236","2,113","3,028","2,464","1,805","12,752","2,575","1,320","1,646","2,801","2,316","1,501",593,"14,239",576,964,487,534,780,114,"2,242",960,"1,096",821,"1,016","1,271","1,700",652,"1,026","14,302","3,838","1,032",852,"1,368",722,991,"2,017",768,692,883,806,333,"11,494",992,720,494,806,544,975,787,"1,273",581,"1,430",712,491,"1,689"
2020년12월_남_70~79세,"29,069","6,337",754,896,394,"1,170",587,"1,053",859,624,"3,282",766,411,345,663,531,311,255,"7,405",325,498,263,324,349,55,"1,033",549,639,397,518,654,926,334,541,"6,726","1,515",621,427,766,358,499,792,399,401,407,390,151,"5,319",614,518,317,402,293,356,382,447,272,507,287,223,701
2020년12월_남_80~89세,"8,682","1,762",254,255,135,291,159,289,224,155,848,186,110,100,170,138,65,79,"2,331",92,151,103,146,85,9,245,176,225,143,155,198,314,131,158,"1,891",440,220,110,192,135,124,243,100,80,112,94,41,"1,850",249,258,125,129,108,103,108,135,95,180,115,64,181
2020년12월_남_90~99세,651,135,8,22,15,22,13,25,14,16,79,13,11,12,18,13,4,8,199,9,10,7,17,8,6,18,14,21,10,8,15,26,14,16,112,18,13,11,12,15,5,11,6,4,8,7,2,126,17,19,12,8,3,13,5,10,6,7,10,6,10
2020년12월_남_100세 이상,43,6,0,1,1,1,0,1,1,1,6,1,3,1,0,1,0,0,17,0,1,0,0,0,0,0,1,0,0,1,11,2,1,0,9,1,0,0,2,4,0,0,1,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,0,1
2020년12월_여_총인구수,"511,460","128,864","9,830","21,493","3,550","25,199","18,479","20,828","14,522","14,963","104,928","20,774","10,333","14,040","22,917","20,310","12,771","3,783","88,298","2,088","6,019","1,655","2,014","7,184",445,"17,735","5,700","7,636","4,752","5,513","7,822","9,934","3,419","6,382","95,351","32,197","5,288","5,066","8,538","3,104","5,630","16,105","4,670","3,885","4,545","4,834","1,489","94,019","8,366","4,419","2,499","5,631","3,805","8,533","4,030","10,759","5,206","13,070","6,274","3,150","18,277"
2020년12월_여_연령구간인구수,"511,460","128,864","9,830","21,493","3,550","25,199","18,479","20,828","14,522","14,963","104,928","20,774","10,333","14,040","22,917","20,310","12,771","3,783","88,298","2,088","6,019","1,655","2,014","7,184",445,"17,735","5,700","7,636","4,752","5,513","7,822","9,934","3,419","6,382","95,351","32,197","5,288","5,066","8,538","3,104","5,630","16,105","4,670","3,885","4,545","4,834","1,489","94,019","8,366","4,419","2,499","5,631","3,805","8,533","4,030","10,759","5,206","13,070","6,274","3,150","18,277"
2020년12월_여_0~9세,"40,377","10,449",580,"3,171",114,"2,182","1,532","1,143",735,992,"8,066","1,595",563,"1,049","1,716","1,834","1,058",251,"6,061",54,528,33,29,"1,065",24,"1,602",253,428,206,219,557,532,162,369,"6,485","2,509",190,305,532,70,277,"1,595",319,146,228,238,76,"9,316",777,154,84,499,265,744,165,"1,199",521,"1,661",851,248,"2,148"
2020년12월_여_10~19세,"47,488","11,179",867,"1,802",182,"2,269","1,812","1,890","1,063","1,294","10,927","2,519",690,"1,611","2,323","1,978","1,446",360,"6,622",77,518,69,67,614,18,"1,637",377,658,395,390,596,530,190,486,"8,686","3,862",314,375,587,155,394,"1,669",306,209,314,405,96,"10,074",916,304,130,481,345,"1,163",241,"1,070",580,"1,614",477,337,"2,416"
2020년12월_여_20~29세,"57,610","15,929",944,"1,812",276,"3,194","2,525","3,004","2,072","2,102","14,322","2,494","1,967","1,860","3,016","2,756","1,837",392,"8,420",112,481,112,91,587,55,"1,950",731,715,521,522,688,940,261,654,"10,015","3,692",409,547,855,262,598,"1,508",522,452,420,636,114,"8,924",797,360,215,517,360,960,421,"1,074",514,"1,027",613,267,"1,799"
2020년12월_여_30~39세,"63,117","16,648",823,"4,121",252,"3,371","2,565","2,027","1,578","1,911","13,675","2,313","1,722","1,681","3,053","2,944","1,567",395,"9,626",103,712,80,76,"1,318",40,"2,284",510,734,368,446,867,"1,072",309,707,"10,298","3,314",395,605,"1,068",226,594,"2,086",590,350,386,517,167,"12,870",992,305,160,728,389,"1,034",396,"1,629",664,"2,150","1,229",349,"2,845"
2020년12월_여_40~49세,"82,610","20,360","1,555","3,341",334,"3,988","3,291","3,327","2,053","2,471","18,579","3,955","1,589","2,581","4,130","3,419","2,300",605,"12,193",133,883,125,125,"1,145",57,"2,843",667,"1,110",597,737,"1,104","1,353",436,878,"14,891","6,028",609,639,"1,073",308,758,"2,905",605,506,586,668,206,"16,587","1,393",579,270,854,622,"1,752",534,"1,855",872,"2,442",957,507,"3,950"
2020년12월_여_50~59세,"93,873","25,723","1,922","3,211",662,"4,991","3,829","4,713","3,105","3,290","22,277","4,270","1,944","3,198","4,904","4,321","2,924",716,"14,838",373,930,311,327,965,67,"3,101",956,"1,295",910,"1,066","1,234","1,632",574,"1,097","17,310","6,074",891,832,"1,515",593,"1,001","2,780",836,706,898,897,287,"13,725","1,040",697,417,922,601,"1,317",758,"1,770",719,"1,814",855,508,"2,307"
2020년12월_여_60~69세,"71,510","16,954","1,564","2,291",784,"3,241","1,910","2,927","2,426","1,811","11,024","2,324","1,247","1,355","2,366","1,981","1,135",616,"15,789",575,"1,042",397,447,891,98,"2,512","1,112","1,305",915,"1,138","1,432","1,974",748,"1,203","15,659","3,778","1,256",945,"1,615",750,"1,200","2,201",825,888,"1,016",887,298,"12,084","1,122",857,528,892,633,955,864,"1,278",709,"1,430",677,478,"1,661"
2020년12월_여_70~79세,"34,300","7,001",905,947,519,"1,229",637,"1,172",926,666,"3,595",824,375,398,826,632,266,274,"9,164",367,541,263,423,383,48,"1,196",670,865,504,654,888,"1,216",460,686,"8,060","1,867",808,536,917,480,557,945,458,443,480,411,158,"6,480",816,718,420,466,350,395,414,545,398,580,362,249,767
2020년12월_여_80~89세,"17,645","3,951",575,667,369,626,322,546,480,366,"2,090",400,194,252,503,380,212,149,"4,726",240,320,215,355,184,33,506,355,460,299,296,378,587,247,251,"3,440",941,363,244,336,231,217,351,177,167,184,153,76,"3,438",444,387,244,235,209,181,201,300,207,304,222,173,331
2020년12월_여_90~99세,"2,785",640,90,124,57,101,55,73,80,60,359,75,41,52,76,64,26,25,807,54,62,48,72,32,3,100,65,58,34,42,67,94,30,46,471,128,47,34,38,27,31,63,29,16,30,19,9,508,68,58,30,34,30,30,35,38,21,47,30,34,53
2020년12월_여_100세 이상,145,30,5,6,1,7,1,6,4,0,14,5,1,3,4,1,0,0,52,0,2,2,2,0,2,4,4,8,3,3,11,4,2,5,36,4,6,4,2,2,3,2,3,2,3,3,2,13,1,0,1,3,1,2,1,1,1,1,1,0,0
