카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년06월_남_100세 이상,9,0,1,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
2021년06월_여_총인구수,"279,537","12,136","7,435","4,303","13,911","6,939","8,852","15,584","14,453","11,640","8,191","15,541","11,007","22,190","8,441","38,895","19,510","10,164","5,857","18,531","9,879","9,563","6,515"
2021년06월_여_연령구간인구수,"279,537","12,136","7,435","4,303","13,911","6,939","8,852","15,584","14,453","11,640","8,191","15,541","11,007","22,190","8,441","38,895","19,510","10,164","5,857","18,531","9,879","9,563","6,515"
2021년06월_여_0~9세,"18,770",819,261,168,"1,031",309,630,932,828,596,410,639,"1,084","2,388",244,"4,212","1,401",524,161,"1,072",402,356,303
2021년06월_여_10~19세,"25,857","1,069",343,262,"1,082",440,776,"1,592","1,339","1,172",643,"1,137","1,133","4,089",542,"3,964","2,065",652,263,"1,655",596,602,441
2021년06월_여_20~29세,"36,176","1,366","1,243",636,"2,084","1,090","1,152","2,278","2,089","1,860","1,128","3,167","1,199","1,924",777,"4,214","2,293","1,650",501,"2,256","1,376","1,171",722
2021년06월_여_30~39세,"30,743","1,309",875,435,"1,783",740,"1,059","1,551","1,487","1,169",909,"1,493","1,464","2,411",558,"5,580","1,942","1,255",435,"1,792",980,865,651
2021년06월_여_40~49세,"44,901","1,687",797,527,"2,041",949,"1,416","2,711","2,351","1,949","1,164","2,144","2,008","5,766","1,064","7,026","3,403","1,302",568,"2,709","1,279","1,149",891
2021년06월_여_50~59세,"52,820","2,073","1,258",771,"2,674","1,421","1,738","3,395","3,359","2,627","1,842","3,129","1,880","2,842","1,489","6,295","3,779","2,071","1,162","3,959","1,950","1,788","1,318"
2021년06월_여_60~69세,"39,562","2,062","1,329",733,"1,964","1,169","1,217","1,858","1,763","1,281","1,346","2,016","1,398","1,601","1,735","4,455","2,691","1,582","1,471","3,023","1,797","1,903","1,168"
2021년06월_여_70~79세,"19,183","1,134",860,495,838,526,572,809,773,612,489,"1,080",551,745,"1,270","2,011","1,164",684,747,"1,224",941,"1,055",603
2021년06월_여_80~89세,"10,053",542,415,250,359,265,255,404,416,333,229,641,246,357,678,986,661,380,472,733,487,584,360
2021년06월_여_90~99세,"1,424",69,49,26,54,29,36,52,47,39,30,93,44,60,82,149,106,62,76,107,68,88,58
2021년06월_여_100세 이상,48,6,5,0,1,1,1,2,1,2,1,2,0,7,2,3,5,2,1,1,3,2,0
