,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년07월_여_연령구간인구수,"117,268","8,744","4,944","2,873","10,389","8,364","7,334","5,350","6,267","11,444","14,508","4,457","3,335","4,875","10,647","6,843","6,894"
2021년07월_여_0~9세,"6,361",438,159,89,330,641,453,364,370,582,"1,244",256,120,198,532,384,201
2021년07월_여_10~19세,"7,453",551,248,106,522,420,708,345,369,470,"1,408",266,129,253,602,730,326
2021년07월_여_20~29세,"17,713","1,232",714,501,"2,568","1,442","1,005",843,921,"2,216","1,468",438,518,711,"1,300",890,946
2021년07월_여_30~39세,"19,195","1,344",805,469,"1,467","1,913","1,056",953,"1,011","2,509","1,931",697,513,834,"1,995",761,937
2021년07월_여_40~49세,"17,546","1,361",629,387,"1,312","1,287","1,117",815,892,"1,462","2,605",614,418,730,"1,665","1,267",985
2021년07월_여_50~59세,"18,441","1,409",740,473,"1,556","1,117","1,162",832,"1,002","1,772","2,358",713,542,692,"1,659","1,148","1,266"
2021년07월_여_60~69세,"15,037","1,187",789,406,"1,292",845,908,576,846,"1,274","1,586",761,527,681,"1,492",746,"1,121"
2021년07월_여_70~79세,"9,177",732,503,268,861,444,534,376,558,703,"1,009",413,311,459,861,464,681
2021년07월_여_80~89세,"5,317",404,297,137,411,210,344,212,248,384,752,246,200,271,433,391,377
2021년07월_여_90~99세,966,78,60,32,68,40,44,32,48,67,143,51,51,44,98,60,50
2021년07월_여_100세 이상,62,8,0,5,2,5,3,2,2,5,4,2,6,2,10,2,4
