카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년04월_계_80~89세,"26,252","7,239",917,776,748,583,482,636,606,645,735,763,348,"10,279",987,437,534,642,383,788,542,310,"1,221","1,097",588,508,558,630,"1,054","8,734",924,887,997,"1,429",450,831,"1,038",882,"1,296"
2020년04월_계_90~99세,"3,990","1,101",110,115,126,93,73,88,116,100,122,90,68,"1,583",136,75,144,103,38,119,77,47,190,158,81,78,79,95,163,"1,306",120,107,128,199,81,144,179,143,205
2020년04월_계_100세 이상,187,69,2,7,7,5,4,8,7,11,9,3,6,64,6,0,2,7,2,9,4,2,5,8,2,4,1,5,7,54,13,5,4,5,1,4,9,5,8
2020년04월_남_총인구수,"530,251","130,446","17,090","13,535","10,303","11,764","4,317","4,538","9,649","12,285","22,094","18,038","6,833","217,252","19,548","15,297","8,518","21,057","6,976","16,663","10,458","13,049","19,098","15,895","15,864","13,458","11,239","12,205","17,927","182,553","18,343","20,697","18,678","27,646","9,232","23,604","23,781","16,710","23,862"
2020년04월_남_연령구간인구수,"530,251","130,446","17,090","13,535","10,303","11,764","4,317","4,538","9,649","12,285","22,094","18,038","6,833","217,252","19,548","15,297","8,518","21,057","6,976","16,663","10,458","13,049","19,098","15,895","15,864","13,458","11,239","12,205","17,927","182,553","18,343","20,697","18,678","27,646","9,232","23,604","23,781","16,710","23,862"
2020년04월_남_0~9세,"53,310","11,147","1,247","1,052",829,"1,597",177,133,688,805,"2,602","1,637",380,"22,963","1,794","1,868",957,"2,315",562,"1,703",972,"1,659","1,816","1,481","1,851","1,451","1,564","1,107","1,863","19,200","1,494","2,500","1,872","2,731",828,"2,922","2,485","1,837","2,531"
2020년04월_남_10~19세,"62,747","13,097","2,053","1,216",958,863,316,277,972,"1,150","2,321","2,306",665,"26,431","1,933","1,843",677,"1,789",679,"2,252","1,140","1,239","2,543","1,594","2,902","2,446","1,539","1,510","2,345","23,219","1,991","2,993","2,757","3,666",842,"2,666","3,192","2,205","2,907"
2020년04월_남_20~29세,"69,896","18,252","2,605","1,791","1,207","1,058",422,493,"1,268","2,284","3,511","2,564","1,049","28,569","2,618","1,959","1,250","3,202","1,033","2,032","1,307","2,695","2,209","2,088","1,710","1,575","1,056","1,740","2,095","23,075","2,823","2,477","2,109","3,860","1,428","2,719","3,058","1,935","2,666"
2020년04월_남_30~39세,"73,319","18,060","2,148","1,657","1,272","2,144",434,472,"1,268","1,691","3,791","2,371",812,"30,172","3,315","2,446","1,631","4,131","1,046","2,004","1,386","2,364","2,115","2,093","1,568","1,127","1,498","1,428","2,020","25,087","3,287","3,013","1,934","3,416","1,693","3,710","3,326","2,149","2,559"
2020년04월_남_40~49세,"99,354","22,839","3,129","2,350","1,860","2,161",621,621,"1,650","2,048","3,904","3,432","1,063","41,633","3,422","3,022","1,355","3,641","1,272","3,270","1,917","2,259","3,827","2,666","3,865","2,994","2,432","2,203","3,488","34,882","3,066","4,458","3,793","5,354","1,501","4,551","4,513","3,169","4,477"
2020년04월_남_50~59세,"82,069","22,133","3,025","2,517","1,924","1,608",860,917,"1,719","2,056","3,070","3,112","1,325","32,604","3,134","2,341","1,285","3,216","1,232","2,508","1,653","1,533","2,756","2,442","2,259","2,183","1,313","2,121","2,628","27,332","2,744","3,031","2,910","4,238","1,427","3,344","3,556","2,498","3,584"
2020년04월_남_60~69세,"48,134","14,761","1,723","1,744","1,330","1,336",833,932,"1,287","1,358","1,741","1,528",949,"18,400","1,860","1,147",764,"1,635",572,"1,509","1,162",832,"1,848","1,707",876,897,812,"1,193","1,586","14,973","1,551","1,131","1,520","2,256",818,"2,134","1,851","1,339","2,373"
2020년04월_남_70~79세,"29,527","7,240",808,868,648,757,461,442,559,632,845,785,435,"11,734","1,012",523,348,857,406,"1,005",687,342,"1,394","1,272",575,562,737,653,"1,361","10,553",985,706,"1,265","1,463",490,"1,166","1,279","1,132","2,067"
2020년04월_남_80~89세,"10,840","2,659",329,315,252,216,169,230,216,234,285,278,135,"4,313",417,134,205,248,166,337,221,115,549,497,233,201,262,232,496,"3,868",362,351,489,611,177,360,480,399,639
2020년04월_남_90~99세,"1,021",246,23,23,22,24,24,20,21,22,22,25,20,418,41,14,45,22,7,41,13,10,40,53,25,20,25,18,44,357,38,35,29,51,28,32,39,47,58
2020년04월_남_100세 이상,34,12,0,2,1,0,0,1,1,5,2,0,0,15,2,0,1,1,1,2,0,1,1,2,0,2,1,0,1,7,2,2,0,0,0,0,2,0,1
2020년04월_여_총인구수,"538,268","124,037","15,907","12,266","9,821","11,501","3,905","3,920","8,692","12,015","21,875","17,753","6,382","222,473","19,551","15,464","8,648","21,202","6,547","16,851","10,667","12,466","20,423","16,578","17,057","13,920","11,788","12,747","18,564","191,758","18,437","21,527","19,667","29,519","9,464","24,360","25,300","17,654","25,830"
2020년04월_여_연령구간인구수,"538,268","124,037","15,907","12,266","9,821","11,501","3,905","3,920","8,692","12,015","21,875","17,753","6,382","222,473","19,551","15,464","8,648","21,202","6,547","16,851","10,667","12,466","20,423","16,578","17,057","13,920","11,788","12,747","18,564","191,758","18,437","21,527","19,667","29,519","9,464","24,360","25,300","17,654","25,830"
2020년04월_여_0~9세,"51,119","10,714","1,188",952,811,"1,566",184,105,636,809,"2,427","1,670",366,"21,856","1,760","1,814",948,"2,167",472,"1,536",989,"1,641","1,735","1,371","1,861","1,361","1,472","1,024","1,705","18,549","1,416","2,452","1,866","2,701",755,"2,734","2,470","1,678","2,477"
2020년04월_여_10~19세,"59,422","11,922","1,740","1,133",866,890,247,223,840,"1,071","2,195","2,174",543,"24,916","1,817","1,738",614,"1,746",669,"2,106","1,029","1,175","2,380","1,507","2,828","2,299","1,424","1,379","2,205","22,584","1,875","2,892","2,592","3,623",789,"2,564","3,143","2,096","3,010"
2020년04월_여_20~29세,"65,023","15,372","2,029","1,431",892,964,333,344,971,"2,058","3,263","2,239",848,"26,761","2,577","1,739","1,149","3,422",916,"1,932","1,147","1,995","2,065","1,991","1,705","1,457","1,109","1,611","1,946","22,890","2,631","2,526","1,964","3,817","1,409","2,702","3,276","1,947","2,618"
2020년04월_여_30~39세,"75,482","16,314","1,875","1,511","1,095","2,170",308,290,"1,007","1,440","3,681","2,293",644,"31,519","3,052","2,523","1,551","4,041",891,"2,080","1,422","2,364","2,362","2,162","2,000","1,488","1,730","1,507","2,346","27,649","2,900","3,440","2,260","3,852","1,688","4,170","3,657","2,393","3,289"
2020년04월_여_40~49세,"101,569","20,503","2,911","1,996","1,537","1,719",475,410,"1,389","1,846","3,776","3,430","1,014","43,068","3,393","3,099","1,345","3,485","1,172","3,336","1,896","2,085","4,064","2,795","4,177","3,436","2,492","2,409","3,884","37,998","3,251","4,684","4,354","5,820","1,587","4,729","4,985","3,492","5,096"
2020년04월_여_50~59세,"78,783","20,537","2,694","2,067","1,768","1,575",763,773,"1,607","2,092","3,142","2,784","1,272","31,859","2,979","2,289","1,401","3,143","1,025","2,415","1,739","1,658","2,887","2,550","2,052","1,860","1,280","2,124","2,457","26,387","2,679","2,638","2,697","4,257","1,449","3,306","3,400","2,456","3,505"
2020년04월_여_60~69세,"53,443","14,735","1,730","1,667","1,413","1,431",767,777,"1,139","1,414","1,849","1,622",926,"21,252","1,983","1,303",811,"1,741",646,"1,755","1,343",874,"2,365","1,982","1,153",981,"1,096","1,368","1,851","17,456","1,770","1,241","1,840","2,648",915,"2,257","2,164","1,667","2,954"
2020년04월_여_70~79세,"34,893","8,448","1,063",951,833,745,462,517,612,790,985,988,502,"14,062","1,321",595,400,976,507,"1,155",713,441,"1,739","1,509",868,671,835,845,"1,487","12,383","1,260","1,043","1,483","1,830",545,"1,311","1,500","1,341","2,070"
2020년04월_여_80~89세,"15,412","4,580",588,461,496,367,313,406,390,411,450,485,213,"5,966",570,303,329,394,217,451,321,195,672,600,355,307,296,398,558,"4,866",562,536,508,818,273,471,558,483,657
2020년04월_여_90~99세,"2,969",855,87,92,104,69,49,68,95,78,100,65,48,"1,165",95,61,99,81,31,78,64,37,150,105,56,58,54,77,119,949,82,72,99,148,53,112,140,96,147
2020년04월_여_100세 이상,153,57,2,5,6,5,4,7,6,6,7,3,6,49,4,0,1,6,1,7,4,1,4,6,2,2,0,5,6,47,11,3,4,5,1,4,7,5,7
