카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  해밀동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  반곡동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년11월_여_0~9세,"23,017","1,475",50,50,155,170,120,164,86,38,43,"1,142","2,743","1,995",813,"1,562","2,111","2,823","1,748","1,113","1,455",765,"2,396"
2021년11월_여_10~19세,"22,515","2,025",45,54,166,188,167,190,152,47,91,"1,605","2,719","2,290",511,"2,075","2,166","2,430","1,253",666,"1,277",546,"1,852"
2021년11월_여_20~29세,"18,638","2,781",164,102,237,379,370,290,201,122,100,852,"2,260","2,224",327,937,"1,323","1,241",848,961,931,655,"1,333"
2021년11월_여_30~39세,"31,420","2,441",130,118,272,377,311,266,176,86,63,"1,307","3,869","2,986","1,002","1,812","2,729","3,274","2,294","1,767","1,859","1,130","3,151"
2021년11월_여_40~49세,"35,655","3,150",107,127,296,394,303,337,269,111,117,"2,267","4,121","3,696",927,"3,061","3,195","3,844","2,112","1,209","2,002","1,010","3,000"
2021년11월_여_50~59세,"23,111","3,163",201,231,456,710,542,505,435,269,179,"1,310","2,120","2,028",428,"1,342","1,722","1,908","1,173",768,"1,157",880,"1,584"
2021년11월_여_60~69세,"16,811","2,857",249,323,538,873,546,681,500,397,204,627,"1,095","1,162",223,704,"1,144","1,373",698,393,731,483,"1,010"
2021년11월_여_70~79세,"7,852","1,721",133,212,352,572,307,493,359,235,140,275,346,520,93,247,423,450,222,105,236,122,289
2021년11월_여_80~89세,"4,952","1,003",106,219,254,467,245,363,325,209,124,139,186,295,47,119,222,160,81,76,108,89,115
2021년11월_여_90~99세,"1,023",187,26,47,42,92,41,62,63,44,18,28,63,79,4,25,29,38,27,24,28,20,36
2021년11월_여_100세 이상,30,8,1,3,0,3,1,2,8,0,0,1,0,0,0,1,0,0,1,1,0,0,0
