,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 상현3동,경기도 용인시 수지구 성복동
2021년09월_남_10~19세,"62,797","13,837","2,002","1,273",930,"1,024",277,564,"1,611","1,108",0,"1,574",666,"2,210",598,"25,900","1,829","1,833",621,"1,703",619,"2,215","1,131","1,286","2,469","1,577","2,826","2,382","1,668","1,415","2,326","23,060","1,843","2,916","2,730","1,839",803,"1,643","2,766","1,399","2,160","1,708","3,253"
2021년09월_남_20~29세,"72,170","19,056","2,715","1,901","1,226",975,413,582,"1,523","2,356",0,"2,763",941,"2,654","1,007","29,869","2,534","1,997","1,304","3,281","1,048","2,074","1,374","3,186","2,307","2,107","1,825","1,676","1,222","1,761","2,173","23,245","2,686","2,460","2,092","1,918","1,449","2,022","2,780","1,123","1,903","1,886","2,926"
2021년09월_남_30~39세,"70,075","17,841","2,103","1,651","1,306","1,995",418,433,"1,400","1,750",0,"2,919",814,"2,265",787,"28,230","3,116","2,201","1,590","3,785","1,035","1,773","1,363","2,219","2,023","1,928","1,466",966,"1,635","1,304","1,826","24,004","3,367","2,780","1,775","1,565","1,633","1,652","3,574","1,079","1,918","2,020","2,641"
2021년09월_남_40~49세,"97,714","22,918","3,080","2,424","1,811","2,355",564,600,"1,717","2,040",0,"2,928","1,015","3,376","1,008","40,443","3,262","2,927","1,383","3,641","1,190","3,134","1,936","2,333","3,664","2,551","3,593","2,772","2,675","2,002","3,380","34,353","2,868","4,316","3,572","2,550","1,474","2,454","4,744","1,862","3,041","2,531","4,941"
2021년09월_남_50~59세,"86,236","22,603","3,183","2,584","1,937","1,534",836,886,"1,828","2,122",0,"2,030","1,111","3,272","1,280","34,808","3,156","2,528","1,324","3,329","1,213","2,734","1,735","1,585","3,046","2,503","2,615","2,431","1,570","2,240","2,799","28,825","2,730","3,119","3,048","2,396","1,408","2,065","3,666","1,578","2,583","2,060","4,172"
2021년09월_남_60~69세,"54,233","17,137","2,009","2,030","1,555","1,504",932,"1,025","1,517","1,592",0,"1,334",687,"1,835","1,117","20,600","2,085","1,290",877,"1,873",674,"1,658","1,332",964,"2,003","1,793",959,991,"1,024","1,370","1,707","16,496","1,793","1,270","1,629","1,412",872,"1,150","2,340",851,"1,431","1,115","2,633"
2021년09월_남_70~79세,"29,718","7,487",835,890,671,774,475,442,581,655,0,577,311,818,458,"11,774","1,034",547,371,876,395,996,674,369,"1,391","1,241",597,563,777,689,"1,254","10,457",997,684,"1,230",833,479,620,"1,220",618,"1,078",620,"2,078"
2021년09월_남_80~89세,"12,580","2,871",337,349,266,236,186,235,220,259,0,190,126,314,153,"5,167",473,159,224,282,188,409,287,125,687,593,245,258,402,256,579,"4,542",432,402,544,442,203,272,423,280,476,262,806
2021년09월_남_90~99세,"1,151",259,24,25,23,20,16,19,28,21,0,17,12,33,21,483,36,14,62,24,6,47,13,8,44,62,31,25,34,20,57,409,41,32,47,41,34,28,35,18,44,21,68
2021년09월_남_100세 이상,24,8,0,0,1,1,0,0,1,3,0,1,0,0,1,12,1,1,1,1,0,1,2,0,1,2,0,1,1,0,0,4,1,0,0,0,0,0,1,1,0,1,0
2021년09월_여_총인구수,"544,091","127,184","16,239","12,851","9,999","11,842","4,005","4,066","9,336","12,311",0,"15,820","6,455","17,951","6,309","223,825","19,240","15,323","8,853","20,962","6,395","16,856","10,928","12,758","20,687","16,393","17,061","13,894","13,372","12,625","18,478","193,082","18,210","20,951","19,532","15,097","9,307","14,173","25,195","10,668","17,250","14,420","28,279"
2021년09월_여_연령구간인구수,"544,091","127,184","16,239","12,851","9,999","11,842","4,005","4,066","9,336","12,311",0,"15,820","6,455","17,951","6,309","223,825","19,240","15,323","8,853","20,962","6,395","16,856","10,928","12,758","20,687","16,393","17,061","13,894","13,372","12,625","18,478","193,082","18,210","20,951","19,532","15,097","9,307","14,173","25,195","10,668","17,250","14,420","28,279"
2021년09월_여_0~9세,"47,043","9,916","1,053",873,751,"1,557",165,103,558,755,0,"1,747",504,"1,531",319,"19,774","1,604","1,614",900,"2,028",410,"1,348",860,"1,495","1,575","1,217","1,625","1,204","1,523",852,"1,519","17,353","1,252","2,187","1,656","1,178",691,"1,153","2,703",991,"1,556","1,321","2,665"
2021년09월_여_10~19세,"59,369","12,453","1,795","1,160",856,"1,026",303,420,"1,108","1,064",0,"1,541",636,"2,043",501,"24,596","1,695","1,736",598,"1,602",618,"2,077","1,041","1,295","2,310","1,454","2,797","2,232","1,623","1,329","2,189","22,320","1,735","2,772","2,607","1,743",742,"1,665","2,615","1,443","2,024","1,617","3,357"
2021년09월_여_20~29세,"66,418","15,908","2,125","1,566",945,864,319,348,"1,096","2,095",0,"2,575",905,"2,253",817,"27,396","2,498","1,790","1,134","3,347",902,"1,959","1,191","2,187","2,138","1,960","1,818","1,568","1,237","1,630","2,037","23,114","2,552","2,462","1,982","1,914","1,411","2,071","2,757","1,126","1,889","2,116","2,834"
2021년09월_여_30~39세,"71,636","15,720","1,749","1,452","1,031","2,059",297,297,"1,049","1,441",0,"2,738",825,"2,188",594,"29,449","2,886","2,252","1,576","3,775",849,"1,878","1,374","2,163","2,179","1,993","1,776","1,309","1,916","1,390","2,133","26,467","2,901","3,193","2,112","1,732","1,569","1,878","4,057","1,327","2,171","2,173","3,354"
2021년09월_여_40~49세,"100,405","20,530","2,847","2,094","1,511","1,995",471,380,"1,397","1,810",0,"2,691","1,081","3,330",923,"42,327","3,243","2,977","1,349","3,445","1,097","3,233","1,902","2,183","3,981","2,743","4,083","3,325","2,756","2,201","3,809","37,548","3,028","4,508","4,192","2,889","1,525","2,629","4,889","2,115","3,343","2,735","5,695"
2021년09월_여_50~59세,"83,597","21,204","2,850","2,213","1,811","1,538",729,674,"1,622","2,126",0,"2,150","1,175","3,049","1,267","34,218","3,071","2,466","1,462","3,302","1,048","2,672","1,823","1,683","3,131","2,668","2,303","2,048","1,557","2,331","2,653","28,175","2,720","2,806","2,887","2,436","1,481","2,105","3,573","1,513","2,594","2,039","4,021"
2021년09월_여_60~69세,"58,763","16,819","1,975","1,889","1,607","1,563",885,879,"1,375","1,642",0,"1,344",742,"1,869","1,049","23,181","2,121","1,469",949,"1,940",695,"1,847","1,498","1,019","2,529","2,027","1,279","1,134","1,261","1,524","1,889","18,763","2,014","1,309","1,876","1,538",961,"1,351","2,546",992,"1,722","1,288","3,166"
2021년09월_여_70~79세,"36,172","8,727","1,117",986,847,761,452,478,623,826,0,683,361,"1,059",534,"14,646","1,358",629,379,"1,002",511,"1,201",794,476,"1,853","1,534",902,690,974,858,"1,485","12,799","1,278","1,042","1,529","1,073",565,843,"1,385",783,"1,306",754,"2,241"
2021년09월_여_80~89세,"17,335","4,918",608,501,529,406,316,424,408,466,0,285,188,539,248,"6,907",660,316,399,422,232,541,366,219,814,667,419,325,462,429,636,"5,510",620,590,577,512,298,408,549,299,550,317,790
2021년09월_여_90~99세,"3,228",958,119,114,106,71,66,62,94,83,0,64,38,86,55,"1,278",98,72,104,92,33,96,76,36,172,125,57,58,63,75,121,992,101,81,111,78,62,66,116,77,92,58,150
2021년09월_여_100세 이상,125,31,1,3,5,2,2,1,6,3,0,2,0,4,2,53,6,2,3,7,0,4,3,2,5,5,2,1,0,6,7,41,9,1,3,4,2,4,5,2,3,2,6
