,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년06월_계_80~89세,"29,197","7,661",936,834,771,625,494,661,625,713,786,838,378,"11,705","1,098",465,609,694,428,930,621,339,"1,424","1,218",655,558,816,675,"1,175","9,831","1,036",959,"1,110","1,595",498,956,"1,141",996,"1,540"
2021년06월_계_90~99세,"4,311","1,196",132,133,130,98,79,89,117,103,126,115,74,"1,731",134,85,165,117,43,138,94,41,213,179,89,79,90,98,166,"1,384",137,108,147,213,92,154,172,134,227
2021년06월_계_100세 이상,152,43,1,2,6,3,2,1,8,7,6,4,3,64,7,3,4,7,0,6,4,2,6,7,2,3,1,5,7,45,9,1,2,9,3,6,6,2,7
2021년06월_남_총인구수,"534,946","134,045","17,388","14,036","10,412","11,985","4,283","4,851","10,964","12,616","22,446","18,301","6,763","217,094","19,192","15,183","8,703","20,902","6,895","16,591","10,770","13,461","18,959","15,731","15,857","13,414","11,428","12,168","17,840","183,807","18,232","20,346","18,407","27,340","9,093","24,436","23,394","16,347","26,212"
2021년06월_남_연령구간인구수,"534,946","134,045","17,388","14,036","10,412","11,985","4,283","4,851","10,964","12,616","22,446","18,301","6,763","217,094","19,192","15,183","8,703","20,902","6,895","16,591","10,770","13,461","18,959","15,731","15,857","13,414","11,428","12,168","17,840","183,807","18,232","20,346","18,407","27,340","9,093","24,436","23,394","16,347","26,212"
2021년06월_남_0~9세,"50,041","10,564","1,154",999,739,"1,594",170,137,642,784,"2,434","1,571",340,"21,151","1,683","1,700",946,"2,168",493,"1,506",923,"1,525","1,652","1,339","1,630","1,347","1,509","1,011","1,719","18,326","1,388","2,348","1,682","2,425",769,"2,940","2,323","1,637","2,814"
2021년06월_남_10~19세,"62,815","13,838","2,001","1,262",925,994,285,512,"1,657","1,115","2,250","2,226",611,"25,873","1,824","1,848",631,"1,705",634,"2,220","1,133","1,275","2,450","1,594","2,855","2,395","1,539","1,436","2,334","23,104","1,867","2,923","2,738","3,494",809,"2,765","3,085","2,179","3,244"
2021년06월_남_20~29세,"71,866","18,901","2,678","1,925","1,220","1,002",404,554,"1,436","2,324","3,686","2,651","1,021","29,607","2,523","1,992","1,305","3,262","1,046","2,083","1,381","3,092","2,282","2,103","1,816","1,680","1,102","1,778","2,162","23,358","2,753","2,460","2,105","3,938","1,409","2,783","3,042","1,933","2,935"
2021년06월_남_30~39세,"70,479","17,954","2,134","1,613","1,310","2,033",418,449,"1,391","1,759","3,762","2,287",798,"28,271","3,153","2,245","1,594","3,806","1,033","1,838","1,387","2,252","1,968","1,951","1,492",994,"1,369","1,321","1,868","24,254","3,317","2,852","1,795","3,247","1,642","3,619","3,159","1,944","2,679"
2021년06월_남_40~49세,"97,983","22,961","3,105","2,433","1,802","2,336",583,605,"1,728","2,020","3,947","3,393","1,009","40,497","3,294","2,930","1,373","3,640","1,210","3,167","1,952","2,314","3,648","2,576","3,650","2,810","2,431","2,089","3,413","34,525","2,919","4,305","3,621","5,067","1,485","4,723","4,439","3,056","4,910"
2021년06월_남_50~59세,"85,346","22,480","3,157","2,574","1,931","1,534",832,875,"1,802","2,124","3,145","3,229","1,277","34,277","3,116","2,496","1,334","3,324","1,225","2,678","1,735","1,565","2,933","2,502","2,587","2,397","1,385","2,214","2,786","28,589","2,745","3,104","3,015","4,422","1,399","3,638","3,587","2,570","4,109"
2021년06월_남_60~69세,"53,216","16,802","1,972","1,982","1,534","1,469",919,"1,017","1,478","1,555","1,998","1,795","1,083","20,147","2,053","1,264",860,"1,826",666,"1,640","1,294",947,"1,946","1,779",953,972,908,"1,359","1,680","16,267","1,757","1,246","1,620","2,526",870,"2,295","1,937","1,427","2,589"
2021년06월_남_70~79세,"29,807","7,472",836,886,670,773,477,449,577,657,879,810,458,"11,784","1,048",535,376,872,390,"1,004",677,360,"1,388","1,257",595,554,766,686,"1,276","10,551","1,017",687,"1,251","1,459",477,"1,227","1,255","1,092","2,086"
2021년06월_남_80~89세,"12,220","2,801",327,337,257,227,179,230,223,253,313,310,145,"4,993",458,159,222,274,189,405,273,123,647,566,248,243,383,253,550,"4,426",427,388,537,693,201,409,528,467,776
2021년06월_남_90~99세,"1,147",263,24,25,23,22,16,23,29,22,30,29,20,483,39,13,61,24,9,49,14,8,44,62,31,21,35,21,52,401,41,33,43,68,32,36,38,42,68
2021년06월_남_100세 이상,26,9,0,0,1,1,0,0,1,3,2,0,1,11,1,1,1,1,0,1,1,0,1,2,0,1,1,0,0,6,1,0,0,1,0,1,1,0,2
2021년06월_여_총인구수,"542,880","126,832","16,164","12,758","9,940","11,772","3,990","4,006","9,260","12,311","22,337","18,002","6,292","222,697","19,281","15,388","8,855","21,034","6,464","16,878","10,910","12,741","20,230","16,510","17,163","13,898","12,107","12,742","18,496","193,351","18,345","21,024","19,535","29,372","9,263","25,140","25,154","17,330","28,188"
2021년06월_여_연령구간인구수,"542,880","126,832","16,164","12,758","9,940","11,772","3,990","4,006","9,260","12,311","22,337","18,002","6,292","222,697","19,281","15,388","8,855","21,034","6,464","16,878","10,910","12,741","20,230","16,510","17,163","13,898","12,107","12,742","18,496","193,351","18,345","21,024","19,535","29,372","9,263","25,140","25,154","17,330","28,188"
2021년06월_여_0~9세,"47,779","10,146","1,109",891,759,"1,586",169,105,572,773,"2,309","1,547",326,"19,989","1,641","1,657",893,"2,053",424,"1,384",876,"1,541","1,537","1,260","1,668","1,227","1,389",894,"1,545","17,644","1,289","2,230","1,681","2,379",703,"2,715","2,363","1,584","2,700"
2021년06월_여_10~19세,"59,155","12,295","1,720","1,157",855,988,277,338,"1,116","1,082","2,178","2,086",498,"24,559","1,704","1,733",606,"1,629",629,"2,093","1,043","1,272","2,303","1,466","2,840","2,254","1,470","1,338","2,179","22,301","1,759","2,767","2,572","3,440",757,"2,597","3,041","2,046","3,322"
2021년06월_여_20~29세,"66,461","15,869","2,112","1,556",955,865,320,355,"1,054","2,090","3,477","2,270",815,"27,323","2,521","1,833","1,162","3,363",910,"1,957","1,192","2,152","2,095","1,985","1,788","1,567","1,111","1,652","2,035","23,269","2,609","2,483","1,979","4,031","1,349","2,767","3,265","1,911","2,875"
2021년06월_여_30~39세,"72,157","15,856","1,785","1,459","1,044","2,069",301,294,"1,045","1,448","3,614","2,194",603,"29,544","2,921","2,294","1,570","3,826",851,"1,915","1,394","2,230","2,107","2,046","1,822","1,331","1,644","1,434","2,159","26,757","2,911","3,248","2,139","3,644","1,572","4,106","3,528","2,174","3,435"
2021년06월_여_40~49세,"100,707","20,629","2,851","2,086","1,515","1,966",480,384,"1,395","1,845","3,801","3,369",937,"42,350","3,257","3,004","1,350","3,452","1,132","3,253","1,912","2,174","3,941","2,759","4,138","3,347","2,518","2,268","3,845","37,728","3,066","4,540","4,232","5,580","1,526","4,868","4,884","3,390","5,642"
2021년06월_여_50~59세,"82,531","21,026","2,809","2,187","1,784","1,525",744,682,"1,615","2,093","3,298","3,022","1,267","33,647","3,049","2,435","1,473","3,279","1,057","2,623","1,803","1,656","3,020","2,654","2,283","2,016","1,358","2,301","2,640","27,858","2,702","2,766","2,824","4,499","1,474","3,544","3,524","2,580","3,945"
2021년06월_여_60~69세,"57,800","16,501","1,956","1,838","1,572","1,554",863,869,"1,336","1,617","2,041","1,829","1,026","22,710","2,099","1,424",925,"1,916",685,"1,840","1,480",996,"2,451","2,026","1,260","1,118","1,156","1,475","1,859","18,589","2,014","1,284","1,892","2,839",957,"2,508","2,272","1,695","3,128"
2021년06월_여_70~79세,"36,023","8,683","1,104",977,830,743,456,481,630,818,"1,046","1,067",531,"14,562","1,348",628,382,997,503,"1,194",779,469,"1,825","1,540",897,663,973,876,"1,488","12,778","1,282","1,059","1,537","1,905",565,"1,365","1,525","1,327","2,213"
2021년06월_여_80~89세,"16,977","4,860",609,497,514,398,315,431,402,460,473,528,233,"6,712",640,306,387,420,239,525,348,216,777,652,407,315,433,422,625,"5,405",609,571,573,902,297,547,613,529,764
2021년06월_여_90~99세,"3,164",933,108,108,107,76,63,66,88,81,96,86,54,"1,248",95,72,104,93,34,89,80,33,169,117,58,58,55,77,114,983,96,75,104,145,60,118,134,92,159
2021년06월_여_100세 이상,126,34,1,2,5,2,2,1,7,4,4,4,2,53,6,2,3,6,0,5,3,2,5,5,2,2,0,5,7,39,8,1,2,8,3,5,5,2,5
