,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년05월_남_60~69세,"117,251","50,097","12,560","12,684","14,365","10,488","16,658","11,783","3,681","5,229","4,919","2,612","5,604","4,774","8,489","3,405"
2021년05월_남_70~79세,"54,234","21,298","5,536","5,544","5,539","4,679","7,692","5,602","2,053","2,928","2,830","1,205","2,530","2,507","3,850","1,739"
2021년05월_남_80~89세,"23,227","8,276","2,184","2,226","2,032","1,834","3,515","2,383","1,069","1,293","1,364",511,"1,215","1,210","1,623",768
2021년05월_남_90~99세,"2,053",698,224,172,157,145,316,184,108,155,116,46,91,99,165,75
2021년05월_남_100세 이상,80,22,5,6,2,9,8,21,0,3,3,2,3,5,6,7
2021년05월_여_총인구수,"787,009","419,789","97,381","97,465","130,724","94,219","103,443","66,061","15,944","24,962","23,271","17,511","40,247","18,186","43,391","14,204"
2021년05월_여_연령구간인구수,"787,009","419,789","97,381","97,465","130,724","94,219","103,443","66,061","15,944","24,962","23,271","17,511","40,247","18,186","43,391","14,204"
2021년05월_여_0~9세,"58,927","35,705","8,021","6,514","11,622","9,548","7,021","4,128",688,"1,231","1,089","1,483","3,679",633,"2,720",550
2021년05월_여_10~19세,"70,818","40,991","9,517","9,561","12,606","9,307","8,923","5,553",959,"1,784","1,562","1,594","4,022",952,"3,581",897
2021년05월_여_20~29세,"87,476","54,506","11,480","12,886","18,708","11,432","10,218","6,516",953,"1,832","1,790","1,838","3,915","1,138","3,886",884
2021년05월_여_30~39세,"90,066","56,021","11,493","10,748","19,404","14,376","10,568","6,024",943,"1,850","1,478","2,034","5,170","1,011","4,069",898
2021년05월_여_40~49세,"114,841","67,027","15,409","15,248","21,151","15,219","14,784","8,779","1,435","2,815","2,332","2,546","6,207","1,558","5,928","1,430"
2021년05월_여_50~59세,"131,140","68,485","16,718","17,172","21,241","13,354","18,106","11,592","2,556","4,066","3,811","2,821","6,205","3,231","7,732","2,535"
2021년05월_여_60~69세,"116,476","52,097","12,844","13,639","14,711","10,903","16,558","11,867","3,448","5,001","4,623","2,602","5,347","4,226","7,475","3,232"
2021년05월_여_70~79세,"65,658","26,149","6,845","6,942","6,628","5,734","9,552","6,782","2,467","3,400","3,581","1,459","2,978","2,861","4,300","2,129"
2021년05월_여_80~89세,"44,025","15,967","4,252","4,023","3,967","3,725","6,673","4,120","2,088","2,518","2,587","1,002","2,316","2,205","3,132","1,417"
2021년05월_여_90~99세,"7,332","2,750",773,714,672,591,"1,013",655,393,453,408,131,399,359,552,219
2021년05월_여_100세 이상,250,91,29,18,14,30,27,45,14,12,10,1,9,12,16,13
