카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년07월_남_연령구간인구수,"524,211","111,364","10,093","21,892","3,626","25,665","13,215","21,173","15,700",0,"129,261","20,886","14,885","18,609","14,035","22,409","20,645","13,714","4,078","89,869","2,176","6,258","1,832","1,951","6,995",508,"20,744","5,476","7,079","4,394","5,148","7,939","9,629","3,635","6,105","94,325","32,117","5,088","4,953","8,510","3,107","5,563","15,478","4,745","3,768","4,459","4,714","1,823","99,392","8,791","4,205","2,461","5,659","3,693","8,956","4,538","10,670","4,996","12,920","6,587","3,288","22,628"
2021년07월_남_0~9세,"41,744","8,965",543,"3,279",135,"2,102","1,015","1,170",721,0,"9,673","1,594","1,101","1,151","1,011","1,683","1,802","1,113",218,"6,889",59,562,32,23,"1,087",24,"2,283",244,442,192,249,623,509,195,365,"6,472","2,449",200,343,570,79,290,"1,560",339,125,184,259,74,"9,745",732,177,92,541,274,724,185,"1,188",542,"1,792",956,254,"2,288"
2021년07월_남_10~19세,"51,468","10,210",982,"1,981",209,"2,412","1,453","2,040","1,133",0,"13,743","2,745","1,420","1,337","1,734","2,441","2,057","1,609",400,"7,301",74,538,80,75,611,19,"2,084",326,687,334,478,680,621,237,457,"9,308","4,151",317,411,651,167,439,"1,790",288,246,329,398,121,"10,906",908,344,151,521,410,"1,261",292,"1,155",635,"1,657",486,349,"2,737"
2021년07월_남_20~29세,"71,442","15,945","1,318","2,053",359,"3,808","2,121","3,513","2,773",0,"21,172","3,104","2,504","3,518","2,321","3,501","3,367","2,252",605,"10,597",191,584,143,147,600,72,"2,840",954,860,574,651,834,"1,035",376,736,"11,970","4,520",519,576,950,323,756,"1,837",617,493,532,647,200,"11,758","1,325",494,275,637,415,"1,237",636,"1,237",654,"1,258",663,357,"2,570"
2021년07월_남_30~39세,"69,683","15,166",971,"3,740",402,"3,701","1,906","2,270","2,176",0,"18,464","2,257","2,114","3,464","1,789","3,269","3,242","1,791",538,"11,336",179,733,124,98,"1,123",55,"3,180",586,763,462,502,"1,063","1,202",490,776,"10,948","3,166",530,698,"1,249",309,685,"1,922",677,437,481,560,234,"13,769","1,191",382,208,781,416,"1,117",601,"1,584",641,"1,772","1,233",379,"3,464"
2021년07월_남_40~49세,"85,116","17,478","1,596","3,990",455,"4,038","2,124","3,115","2,160",0,"19,787","3,401","2,193","2,819","2,132","3,531","3,077","1,991",643,"14,027",259,"1,082",192,165,"1,340",58,"3,265",743,"1,131",611,718,"1,276","1,623",584,980,"15,099","5,425",754,719,"1,292",410,818,"2,737",719,570,624,720,311,"18,725","1,547",593,337,894,638,"1,644",767,"1,911",841,"2,588","1,133",565,"5,267"
2021년07월_남_50~59세,"91,514","20,210","1,964","2,950",658,"4,647","2,514","4,466","3,011",0,"24,784","4,062","2,852","3,414","2,785","4,129","3,901","2,933",708,"14,719",387,"1,065",381,403,942,89,"3,136",900,"1,184",814,887,"1,254","1,632",607,"1,038","16,784","6,276",862,767,"1,394",574,932,"2,452",801,687,882,806,351,"15,017","1,207",700,452,877,561,"1,445",762,"1,649",707,"1,662",920,571,"3,504"
2021년07월_남_60~69세,"73,583","15,866","1,664","2,681",854,"3,394","1,535","3,163","2,575",0,"16,207","2,694","1,907","2,131","1,780","2,960","2,489","1,624",622,"14,786",585,"1,012",503,540,824,116,"2,551",976,"1,127",847,983,"1,305","1,723",662,"1,032","14,750","4,078","1,038",873,"1,421",730,"1,002","2,087",794,709,873,812,333,"11,974",996,712,498,854,558,"1,041",793,"1,340",594,"1,482",770,508,"1,828"
2021년07월_남_70~79세,"29,769","5,742",780,929,395,"1,235",416,"1,096",891,0,"4,238",814,618,604,357,703,556,332,254,"7,541",333,514,271,328,365,61,"1,106",544,644,397,514,677,916,331,540,"6,833","1,560",618,436,754,353,506,824,401,405,422,400,154,"5,415",594,517,302,419,304,363,386,458,280,512,295,230,755
2021년07월_남_80~89세,"9,213","1,647",266,266,143,300,124,311,237,0,"1,097",204,161,157,111,177,142,64,81,"2,471",99,155,98,158,94,10,283,189,222,152,159,207,339,140,166,"2,049",475,240,119,217,149,129,253,104,91,122,107,43,"1,949",268,270,135,127,113,113,112,136,96,190,120,69,200
2021년07월_남_90~99세,665,131,9,22,15,28,7,28,22,0,93,11,14,14,14,15,11,5,9,200,10,13,8,14,9,4,16,14,19,11,7,18,29,13,15,110,17,10,11,12,12,6,16,4,5,10,5,2,131,22,16,11,8,3,11,4,12,6,7,10,6,15
2021년07월_남_100세 이상,14,4,0,1,1,0,0,1,1,0,3,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0
2021년07월_여_총인구수,"510,424","107,225","9,722","21,548","3,533","25,012","12,593","20,388","14,429",0,"124,101","20,509","14,769","15,938","13,850","22,686","20,025","12,621","3,703","90,731","2,032","5,925","1,597","1,969","7,129",455,"20,931","5,633","7,515","4,663","5,314","8,053","9,793","3,517","6,205","93,997","31,736","5,190","5,103","8,533","3,016","5,492","15,893","4,610","3,753","4,469","4,757","1,445","94,370","8,167","4,296","2,407","5,514","3,800","8,541","4,030","10,690","5,166","12,920","6,343","3,131","19,365"
2021년07월_여_연령구간인구수,"510,424","107,225","9,722","21,548","3,533","25,012","12,593","20,388","14,429",0,"124,101","20,509","14,769","15,938","13,850","22,686","20,025","12,621","3,703","90,731","2,032","5,925","1,597","1,969","7,129",455,"20,931","5,633","7,515","4,663","5,314","8,053","9,793","3,517","6,205","93,997","31,736","5,190","5,103","8,533","3,016","5,492","15,893","4,610","3,753","4,469","4,757","1,445","94,370","8,167","4,296","2,407","5,514","3,800","8,541","4,030","10,690","5,166","12,920","6,343","3,131","19,365"
2021년07월_여_0~9세,"39,131","8,569",548,"3,074",114,"2,107",938,"1,085",703,0,"9,135","1,530",961,"1,048",982,"1,616","1,767","1,009",222,"6,403",45,496,28,26,"1,010",23,"2,180",235,380,193,197,576,487,188,339,"6,110","2,332",168,312,543,69,246,"1,500",311,124,205,233,67,"8,914",685,135,77,450,259,708,158,"1,142",494,"1,562",839,229,"2,176"
2021년07월_여_10~19세,"46,931","9,153",820,"1,908",165,"2,184","1,250","1,811","1,015",0,"12,274","2,438","1,245","1,179","1,548","2,242","1,899","1,380",343,"6,825",75,500,57,60,632,16,"1,912",358,660,365,361,629,534,187,479,"8,489","3,769",289,367,591,146,389,"1,647",283,213,313,391,91,"10,190",910,288,126,471,355,"1,163",232,"1,090",569,"1,620",499,333,"2,534"
2021년07월_여_20~29세,"56,384","12,640",915,"1,705",266,"3,098","1,730","2,833","2,093",0,"16,686","2,387","2,066","2,732","1,785","2,916","2,634","1,777",389,"8,582",92,476,102,74,570,56,"2,199",755,695,501,499,705,939,292,627,"9,616","3,575",393,540,839,226,556,"1,443",504,420,399,616,105,"8,860",795,323,188,496,356,932,429,"1,037",508,"1,002",595,250,"1,949"
2021년07월_여_30~39세,"61,870","13,485",807,"3,967",246,"3,247","1,715","1,968","1,535",0,"16,099","2,221","1,889","2,579","1,618","2,987","2,914","1,521",370,"10,046",92,636,73,72,"1,199",47,"3,067",487,671,362,390,924,"1,012",348,666,"9,851","3,120",363,633,"1,056",223,571,"2,016",569,304,369,478,149,"12,389",935,287,156,675,367,"1,005",377,"1,519",629,"1,975","1,203",329,"2,932"
2021년07월_여_40~49세,"82,067","16,704","1,496","3,483",321,"3,989","2,273","3,160","1,982",0,"21,382","3,860","2,416","2,444","2,557","4,003","3,298","2,230",574,"12,587",125,885,111,113,"1,190",53,"3,342",633,"1,092",574,697,"1,159","1,336",448,829,"14,525","5,841",604,642,"1,067",296,744,"2,848",598,487,553,646,199,"16,869","1,379",550,251,837,606,"1,762",528,"1,861",874,"2,516",991,517,"4,197"
2021년07월_여_50~59세,"92,659","20,755","1,903","3,156",640,"4,945","2,519","4,599","2,993",0,"26,450","4,213","3,197","3,168","3,140","4,879","4,239","2,907",707,"14,751",345,906,300,299,958,66,"3,386",932,"1,263",887,"1,008","1,226","1,572",574,"1,029","16,934","6,124",841,816,"1,434",546,962,"2,731",822,665,852,863,278,"13,769",979,675,387,904,598,"1,335",737,"1,775",713,"1,783",859,500,"2,524"
2021년07월_여_60~69세,"75,250","15,495","1,647","2,510",821,"3,431","1,430","3,105","2,551",0,"14,470","2,504","1,896","1,875","1,506","2,592","2,187","1,268",642,"16,515",580,"1,078",392,469,941,104,"2,889","1,132","1,354",940,"1,163","1,477","2,000",758,"1,238","16,128","3,936","1,273",954,"1,660",757,"1,200","2,302",853,897,"1,064",930,302,"12,642","1,146",865,531,938,643,"1,011",879,"1,348",730,"1,515",739,492,"1,805"
2021년07월_여_70~79세,"34,959","6,293",896,966,524,"1,260",486,"1,205",956,0,"4,539",850,672,552,416,842,637,294,276,"9,291",376,553,265,407,403,53,"1,279",673,875,503,656,902,"1,210",441,695,"8,207","1,896",828,548,941,496,567,962,446,452,492,415,164,"6,629",816,716,418,463,368,402,438,565,404,603,355,251,830
2021년07월_여_80~89세,"18,141","3,514",592,646,372,643,215,542,504,0,"2,600",427,362,299,245,529,386,200,152,"4,862",243,324,215,371,197,35,566,359,464,298,306,387,600,245,252,"3,619","1,016",370,247,358,231,223,374,192,176,193,162,77,"3,546",446,399,236,251,212,187,211,312,221,295,233,191,352
2021년07월_여_90~99세,"2,958",599,96,129,63,105,35,76,95,0,458,76,65,61,50,79,64,35,28,849,58,70,53,76,29,2,109,69,56,39,35,67,102,34,50,500,125,54,44,43,23,34,70,31,14,29,22,11,552,74,57,36,29,36,34,40,40,23,48,30,39,66
2021년07월_여_100세 이상,74,18,2,4,1,3,2,4,2,0,8,3,0,1,3,1,0,0,0,20,1,1,1,2,0,0,2,0,5,1,2,1,1,2,1,18,2,7,0,1,3,0,0,1,1,0,1,2,10,2,1,1,0,0,2,1,1,1,1,0,0,0
