,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년10월_남_50~59세,"13,570",608,397,330,352,529,258,164,236,323,299,183,203,170,165,441,482,"1,752",740,"1,117",485,578,"1,697","1,254",807
2020년10월_남_60~69세,"12,286",710,461,326,453,476,293,206,243,370,370,247,257,215,259,396,382,"1,286",660,"1,029",514,521,"1,201",952,459
2020년10월_남_70~79세,"7,439",519,347,260,264,345,252,163,156,228,223,149,167,163,176,314,239,705,447,634,320,302,481,352,233
2020년10월_남_80~89세,"3,317",260,210,150,131,168,129,93,77,100,129,83,94,84,80,118,79,289,189,242,126,89,183,136,78
2020년10월_남_90~99세,312,32,23,15,16,19,13,4,9,17,12,8,7,11,6,9,8,21,18,14,8,10,15,9,8
2020년10월_남_100세 이상,15,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
2020년10월_여_총인구수,"80,165","3,168","1,991","1,446","1,706","3,204","1,441",905,"1,034","1,383","1,349",857,908,784,852,"2,604","2,606","11,231","4,774","6,765","3,291","3,188","11,468","7,960","5,250"
2020년10월_여_연령구간인구수,"80,165","3,168","1,991","1,446","1,706","3,204","1,441",905,"1,034","1,383","1,349",857,908,784,852,"2,604","2,606","11,231","4,774","6,765","3,291","3,188","11,468","7,960","5,250"
2020년10월_여_0~9세,"5,091",93,45,31,45,199,25,17,26,34,29,11,19,13,10,112,137,907,305,459,198,164,993,689,530
2020년10월_여_10~19세,"6,577",128,82,36,54,176,47,26,43,56,34,25,19,20,39,160,215,"1,143",430,449,254,292,"1,284",833,732
2020년10월_여_20~29세,"7,532",190,131,47,141,403,60,32,63,77,57,32,29,27,28,226,247,"1,305",393,646,281,314,"1,349",848,606
2020년10월_여_30~39세,"7,461",156,89,60,81,423,51,27,56,62,49,22,33,22,24,261,221,"1,276",424,739,278,255,"1,287",966,599
2020년10월_여_40~49세,"10,750",224,125,107,139,333,98,55,62,99,49,52,37,33,49,280,339,"1,789",696,889,449,449,"1,983","1,316","1,098"
2020년10월_여_50~59세,"12,990",505,299,227,253,412,198,131,207,206,218,131,181,122,130,404,470,"1,759",733,"1,168",567,624,"1,898","1,406",741
2020년10월_여_60~69세,"13,061",684,427,320,403,489,331,180,224,325,313,209,220,217,200,522,447,"1,464",831,"1,187",644,609,"1,381",965,469
2020년10월_여_70~79세,"9,236",592,401,299,279,418,314,204,171,256,336,200,196,177,184,384,315,928,567,768,373,317,751,532,274
2020년10월_여_80~89세,"6,283",509,331,266,249,299,263,186,152,220,231,154,154,127,167,207,188,561,338,391,196,139,455,335,165
2020년10월_여_90~99세,"1,135",82,57,52,62,50,51,46,30,46,32,16,18,26,21,48,27,96,52,64,49,25,85,67,33
2020년10월_여_100세 이상,49,5,4,1,0,2,3,1,0,2,1,5,2,0,0,0,0,3,5,5,2,0,2,3,3
