카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년02월_남_총인구수,"280,670","12,014","7,617","4,384","13,707","7,368","8,783","16,171","15,122","12,083","8,516","16,286","10,975","21,677","8,121","38,123","19,678","10,456","5,681","18,109","9,959","9,119","6,721"
2020년02월_남_연령구간인구수,"280,670","12,014","7,617","4,384","13,707","7,368","8,783","16,171","15,122","12,083","8,516","16,286","10,975","21,677","8,121","38,123","19,678","10,456","5,681","18,109","9,959","9,119","6,721"
2020년02월_남_0~9세,"22,026",893,354,233,"1,098",356,736,"1,144","1,092",750,500,820,"1,068","2,798",389,"4,773","1,602",632,211,"1,291",509,413,364
2020년02월_남_10~19세,"30,242",995,411,318,"1,254",593,912,"2,050","1,679","1,416",803,"1,343","1,027","4,253",661,"4,504","2,823",851,361,"2,031",747,676,534
2020년02월_남_20~29세,"43,001","1,552","1,156",702,"2,154","1,299","1,351","2,775","2,629","2,260","1,396","3,514","1,495","2,268","1,024","4,929","2,991","1,965",773,"2,820","1,549","1,409",990
2020년02월_남_30~39세,"35,961","1,519","1,088",535,"1,976","1,035","1,215","1,797","1,876","1,392","1,192","2,119","1,551","2,158",773,"5,824","2,133","1,649",702,"2,109","1,310","1,118",890
2020년02월_남_40~49세,"44,807","1,975","1,118",625,"2,088","1,017","1,384","2,550","2,248","1,810","1,221","2,493","2,024","5,070","1,234","6,723","2,978","1,303",681,"2,513","1,432","1,261","1,059"
2020년02월_남_50~59세,"51,049","2,163","1,391",760,"2,522","1,470","1,626","3,358","3,218","2,623","1,674","3,263","1,919","3,081","1,568","5,628","3,507","1,896","1,064","3,512","1,861","1,667","1,278"
2020년02월_남_60~69세,"33,825","1,748","1,187",650,"1,693","1,066","1,031","1,607","1,602","1,223","1,223","1,713","1,261","1,302","1,396","3,646","2,338","1,421","1,162","2,529","1,501","1,524","1,002"
2020년02월_남_70~79세,"14,677",900,687,397,718,396,409,680,561,438,378,771,487,547,786,"1,565",928,561,545,943,786,743,451
2020년02월_남_80~89세,"4,724",253,213,154,188,126,113,202,201,166,118,232,133,182,264,489,346,167,162,339,249,291,136
2020년02월_남_90~99세,341,16,11,10,14,9,5,8,16,5,11,18,8,17,25,36,32,11,20,21,15,16,17
2020년02월_남_100세 이상,17,0,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,1,0,1,0
2020년02월_여_총인구수,"287,046","12,646","8,013","4,667","14,209","7,433","8,991","16,029","14,886","11,894","8,342","15,494","11,147","22,577","8,750","39,196","20,494","10,501","6,057","19,080","10,058","9,788","6,794"
2020년02월_여_연령구간인구수,"287,046","12,646","8,013","4,667","14,209","7,433","8,991","16,029","14,886","11,894","8,342","15,494","11,147","22,577","8,750","39,196","20,494","10,501","6,057","19,080","10,058","9,788","6,794"
2020년02월_여_0~9세,"20,880",922,341,205,"1,106",357,665,"1,070",940,698,462,719,"1,119","2,687",298,"4,563","1,558",568,211,"1,232",415,392,352
2020년02월_여_10~19세,"27,883","1,101",383,313,"1,178",513,875,"1,787","1,496","1,323",720,"1,301","1,143","4,137",593,"3,972","2,286",760,298,"1,839",694,679,492
2020년02월_여_20~29세,"37,310","1,557","1,297",656,"2,140","1,167","1,195","2,361","2,204","1,871","1,167","2,873","1,236","1,900",860,"4,334","2,488","1,706",558,"2,433","1,353","1,199",755
2020년02월_여_30~39세,"33,460","1,473",969,490,"1,828",805,"1,143","1,686","1,604","1,214",965,"1,531","1,505","2,764",642,"6,188","2,178","1,255",520,"2,010","1,048",922,720
2020년02월_여_40~49세,"47,865","1,807",923,608,"2,190","1,088","1,515","2,999","2,674","2,131","1,275","2,392","1,974","5,816","1,135","6,979","3,747","1,393",646,"2,966","1,385","1,240",982
2020년02월_여_50~59세,"54,429","2,182","1,448",834,"2,750","1,614","1,760","3,339","3,312","2,631","1,928","3,222","2,032","2,641","1,599","6,243","3,920","2,199","1,323","4,077","2,066","1,942","1,367"
2020년02월_여_60~69세,"35,929","1,961","1,327",741,"1,814","1,088","1,058","1,589","1,483","1,111","1,129","1,763","1,320","1,479","1,684","3,954","2,427","1,490","1,334","2,582","1,678","1,768","1,149"
2020년02월_여_70~79세,"18,609","1,078",886,525,835,531,523,782,752,569,462,"1,038",530,722,"1,251","1,891","1,136",701,681,"1,195",917,"1,027",577
2020년02월_여_80~89세,"9,387",492,386,256,317,249,224,375,372,308,205,582,250,379,622,940,654,373,426,659,434,533,351
2020년02월_여_90~99세,"1,225",68,49,34,50,20,31,39,47,37,29,72,37,45,61,120,95,51,60,86,65,80,49
2020년02월_여_100세 이상,69,5,4,5,1,1,2,2,2,1,0,1,1,7,5,12,5,5,0,1,3,6,0
