,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년04월_남_총인구수,"115,861","3,247","5,117","5,842","4,559","4,278","8,207","8,203","6,486","9,222","13,415","1,272","5,009","14,776","9,257","16,428",543
2020년04월_남_연령구간인구수,"115,861","3,247","5,117","5,842","4,559","4,278","8,207","8,203","6,486","9,222","13,415","1,272","5,009","14,776","9,257","16,428",543
2020년04월_남_0~9세,"7,062",63,181,192,182,175,492,640,299,485,"1,450",39,271,702,680,"1,170",41
2020년04월_남_10~19세,"9,586",174,275,325,218,256,767,725,456,647,"1,370",61,385,"1,166",930,"1,769",62
2020년04월_남_20~29세,"18,377",358,662,709,498,507,"1,363","1,264",873,"3,174","1,859",127,661,"2,534","1,349","2,392",47
2020년04월_남_30~39세,"13,635",312,567,661,513,489,943,"1,098",823,"1,091","1,851",122,514,"1,721","1,100","1,788",42
2020년04월_남_40~49세,"16,472",495,700,791,631,648,"1,130","1,170",968,"1,128","2,340",136,637,"1,922","1,369","2,316",91
2020년04월_남_50~59세,"19,849",669,"1,041","1,171",895,713,"1,419","1,384","1,069","1,110","1,792",274,870,"2,712","1,668","2,974",88
2020년04월_남_60~69세,"17,737",652,"1,019","1,159",971,799,"1,208","1,156","1,152",887,"1,477",290,873,"2,304","1,305","2,378",107
2020년04월_남_70~79세,"9,777",388,516,622,521,531,642,550,657,513,923,166,561,"1,287",649,"1,203",48
2020년04월_남_80~89세,"3,061",129,144,200,120,144,226,192,179,173,301,49,211,394,194,392,13
2020년04월_남_90~99세,264,6,8,12,9,14,16,22,10,11,29,8,26,33,12,45,3
2020년04월_남_100세 이상,41,1,4,0,1,2,1,2,0,3,23,0,0,1,1,1,1
2020년04월_여_총인구수,"121,043","3,173","5,138","5,781","4,112","4,596","8,853","8,906","6,942","8,777","14,480","1,130","5,179","15,396","10,201","17,812",567
2020년04월_여_연령구간인구수,"121,043","3,173","5,138","5,781","4,112","4,596","8,853","8,906","6,942","8,777","14,480","1,130","5,179","15,396","10,201","17,812",567
2020년04월_여_0~9세,"6,701",59,202,183,136,161,428,606,297,519,"1,312",34,278,646,661,"1,135",44
2020년04월_여_10~19세,"9,053",155,263,300,184,249,721,721,392,662,"1,135",56,343,"1,124",989,"1,704",55
2020년04월_여_20~29세,"15,514",271,540,555,404,421,"1,233","1,158",765,"2,345","1,689",84,476,"2,123","1,200","2,215",35
2020년04월_여_30~39세,"12,762",218,455,499,394,402,914,"1,090",726,923,"2,077",72,493,"1,460","1,145","1,848",46
2020년04월_여_40~49세,"16,625",357,583,623,435,526,"1,305","1,275",906,"1,056","2,416",116,681,"1,960","1,570","2,725",91
2020년04월_여_50~59세,"22,059",610,"1,064","1,225",831,823,"1,654","1,621","1,265","1,227","2,109",230,956,"3,096","1,942","3,316",90
2020년04월_여_60~69세,"20,186",764,"1,137","1,239",947,"1,008","1,341","1,325","1,442","1,077","1,835",240,"1,015","2,586","1,477","2,646",107
2020년04월_여_70~79세,"11,697",476,595,803,544,680,802,672,790,624,"1,149",178,599,"1,578",777,"1,373",57
2020년04월_여_80~89세,"5,428",226,250,306,201,297,392,368,302,299,547,105,293,710,375,723,34
2020년04월_여_90~99세,861,27,38,37,34,28,57,67,55,37,136,12,41,107,59,119,7
2020년04월_여_100세 이상,157,10,11,11,2,1,6,3,2,8,75,3,4,6,6,8,1
