,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년06월_계_100세 이상,229,14,7,6,13,13,8,17,13,31,12,12,7,8,9,11,2,3,9,8,26
2020년06월_남_총인구수,"172,757","7,821","5,049","9,687","10,779","9,770","6,027","8,627","10,123","10,994","9,003","11,650","4,998","5,866","10,112","8,219","8,272","5,682","14,553","5,684","9,841"
2020년06월_남_연령구간인구수,"172,757","7,821","5,049","9,687","10,779","9,770","6,027","8,627","10,123","10,994","9,003","11,650","4,998","5,866","10,112","8,219","8,272","5,682","14,553","5,684","9,841"
2020년06월_남_0~9세,"11,019",310,350,750,672,628,297,443,574,"1,015",593,638,400,396,487,522,649,332,"1,036",257,670
2020년06월_남_10~19세,"12,997",320,249,934,856,803,307,501,636,922,"1,043","1,057",367,503,673,718,504,475,"1,320",253,556
2020년06월_남_20~29세,"25,519","1,489",967,"1,091","1,218","1,452","1,174","1,804","1,614","1,257","1,152","1,628",620,703,"1,759","1,116","1,468",853,"1,984","1,017","1,153"
2020년06월_남_30~39세,"24,226","1,330",946,"1,173","1,270","1,223","1,106","1,606","1,525","1,471",925,"1,301",866,705,"1,281",947,"1,425",660,"1,790","1,091","1,585"
2020년06월_남_40~49세,"26,017",978,791,"1,599","1,573","1,516",908,"1,225","1,506","1,889","1,442","1,750",744,921,"1,484","1,157","1,280",814,"2,141",819,"1,480"
2020년06월_남_50~59세,"28,513","1,379",757,"1,482","1,764","1,740",863,"1,166","1,487","1,781","1,726","2,175",732,"1,142","1,719","1,365","1,268",991,"2,585",873,"1,518"
2020년06월_남_60~69세,"25,664","1,188",635,"1,468","1,825","1,389",764,"1,016","1,490","1,503","1,268","1,861",711,882,"1,572","1,345",961,885,"2,378",810,"1,713"
2020년06월_남_70~79세,"13,879",621,262,863,"1,188",716,444,612,933,888,645,901,415,468,866,792,545,498,961,401,860
2020년06월_남_80~89세,"4,523",187,79,301,388,278,149,229,336,238,191,307,133,136,256,232,163,162,338,147,273
2020년06월_남_90~99세,352,16,13,24,24,21,11,21,18,23,15,31,9,8,15,22,9,11,19,15,27
2020년06월_남_100세 이상,48,3,0,2,1,4,4,4,4,7,3,1,1,2,0,3,0,1,1,1,6
2020년06월_여_총인구수,"184,485","7,774","5,096","10,744","11,434","10,696","7,137","9,530","11,360","11,498","9,250","12,726","5,365","6,106","10,145","8,628","9,051","5,953","15,432","6,277","10,283"
2020년06월_여_연령구간인구수,"184,485","7,774","5,096","10,744","11,434","10,696","7,137","9,530","11,360","11,498","9,250","12,726","5,365","6,106","10,145","8,628","9,051","5,953","15,432","6,277","10,283"
2020년06월_여_0~9세,"10,677",331,304,743,611,623,291,469,500,962,591,657,379,360,494,517,629,370,936,272,638
2020년06월_여_10~19세,"12,447",277,252,914,719,806,341,512,608,879,957,"1,033",366,507,614,643,528,453,"1,316",244,478
2020년06월_여_20~29세,"26,251","1,705","1,034",971,"1,103","1,416","1,751","2,242","1,830","1,159",942,"1,380",619,618,"1,510",983,"1,870",760,"1,780","1,355","1,223"
2020년06월_여_30~39세,"23,348","1,128",848,"1,131","1,165","1,244","1,216","1,543","1,608","1,533",918,"1,179",820,701,"1,068",932,"1,409",570,"1,773","1,079","1,483"
2020년06월_여_40~49세,"25,534",836,714,"1,702","1,546","1,543",911,"1,190","1,533","1,812","1,520","1,897",750,910,"1,299","1,178","1,180",827,"2,208",756,"1,222"
2020년06월_여_50~59세,"30,365","1,163",815,"1,755","1,920","1,912",852,"1,142","1,669","1,915","1,735","2,400",826,"1,159","1,795","1,509","1,328","1,014","2,969",847,"1,640"
2020년06월_여_60~69세,"28,807","1,193",640,"1,795","2,190","1,573",873,"1,135","1,795","1,641","1,398","2,144",852,967,"1,768","1,566","1,146",999,"2,470",865,"1,797"
2020년06월_여_70~79세,"17,718",737,307,"1,160","1,446",997,594,823,"1,208","1,079",800,"1,265",499,575,"1,109",887,643,643,"1,220",544,"1,182"
2020년06월_여_80~89세,"8,003",335,141,498,634,509,259,392,526,432,331,657,223,266,419,348,277,287,657,271,541
2020년06월_여_90~99세,"1,154",58,34,71,88,64,45,69,74,62,49,103,25,37,60,57,39,28,95,37,59
2020년06월_여_100세 이상,181,11,7,4,12,9,4,13,9,24,9,11,6,6,9,8,2,2,8,7,20
