,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년05월_여_연령구간인구수,"70,013","3,559","1,443","1,544","1,229","1,687","2,043","1,573","1,718",950,"1,142","1,443",804,644,"1,090",547,"3,394","3,974","2,071","12,521","10,312","5,377","10,948"
2020년05월_여_0~9세,"5,179",184,52,34,28,32,71,44,43,19,36,25,16,12,19,5,112,116,68,"1,063",729,456,"2,015"
2020년05월_여_10~19세,"5,560",211,67,68,49,51,81,61,90,35,46,35,26,22,64,17,206,197,112,"1,466",941,508,"1,207"
2020년05월_여_20~29세,"6,490",250,103,99,73,79,120,123,124,73,60,93,33,25,54,17,258,346,160,"1,610","1,011",597,"1,182"
2020년05월_여_30~39세,"7,333",290,84,90,58,72,100,88,95,38,56,49,29,20,44,17,232,293,128,"1,408","1,048",594,"2,500"
2020년05월_여_40~49세,"9,179",369,114,120,79,95,195,116,144,66,80,77,46,43,73,37,337,397,182,"2,103","1,552",904,"2,050"
2020년05월_여_50~59세,"11,509",692,230,259,222,266,346,299,332,176,201,225,118,97,186,109,564,706,338,"2,094","1,984",939,"1,126"
2020년05월_여_60~69세,"10,847",671,319,310,288,368,430,359,379,201,253,324,160,130,220,128,810,915,449,"1,357","1,538",734,504
2020년05월_여_70~79세,"7,633",461,254,283,226,340,375,272,260,158,186,288,192,154,207,95,552,626,403,814,874,397,216
2020년05월_여_80~89세,"5,353",360,190,222,176,327,266,188,201,156,194,278,162,121,196,106,280,319,206,528,544,207,126
2020년05월_여_90~99세,888,71,30,54,30,56,56,22,47,27,29,49,20,18,25,14,43,54,24,71,89,39,20
2020년05월_여_100세 이상,42,0,0,5,0,1,3,1,3,1,1,0,2,2,2,2,0,5,1,7,2,2,2
