,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년08월_계_100세 이상,106,23,5,0,6,7,3,2,4,5,5,0,8,8,4,0,0,2,2,15,7,0
2020년08월_남_총인구수,"105,651","7,951","1,735",856,"2,115","2,280","1,844","2,336","3,332","7,541","2,408","1,707","12,708","3,938","5,171","6,462","2,368","4,824","8,280","9,126","14,194","4,475"
2020년08월_남_연령구간인구수,"105,651","7,951","1,735",856,"2,115","2,280","1,844","2,336","3,332","7,541","2,408","1,707","12,708","3,938","5,171","6,462","2,368","4,824","8,280","9,126","14,194","4,475"
2020년08월_남_0~9세,"7,068",308,66,24,114,58,63,102,199,734,87,55,957,188,231,312,128,438,759,482,"1,365",398
2020년08월_남_10~19세,"10,139",533,102,19,152,104,100,126,267,780,141,92,"1,592",344,397,657,218,546,800,881,"1,892",396
2020년08월_남_20~29세,"13,719",840,193,55,219,258,164,245,271,909,305,171,"1,905",492,696,892,339,624,"1,402","1,139","1,841",759
2020년08월_남_30~39세,"11,445",634,111,55,164,195,142,216,322,"1,076",255,159,"1,320",420,510,694,293,640,"1,095",911,"1,689",544
2020년08월_남_40~49세,"16,517","1,095",225,78,285,293,189,319,530,"1,266",328,243,"2,126",547,772,970,340,795,"1,380","1,405","2,588",743
2020년08월_남_50~59세,"18,449","1,529",356,180,396,450,409,446,573,"1,193",434,333,"2,236",732,985,"1,209",459,749,"1,199","1,624","2,259",698
2020년08월_남_60~69세,"15,788","1,596",366,241,438,477,431,494,637,908,436,300,"1,442",680,853,"1,048",346,663,"1,011","1,359","1,546",516
2020년08월_남_70~79세,"8,702",967,210,142,236,292,245,258,374,473,290,250,754,379,521,502,160,250,448,921,716,314
2020년08월_남_80~89세,"3,464",397,95,58,95,129,93,121,142,184,110,101,350,143,187,169,76,106,172,368,272,96
2020년08월_남_90~99세,333,48,10,4,14,19,8,8,14,17,21,3,26,11,19,9,9,13,14,32,23,11
2020년08월_남_100세 이상,27,4,1,0,2,5,0,1,3,1,1,0,0,2,0,0,0,0,0,4,3,0
2020년08월_여_총인구수,"107,284","8,247","1,648",740,"2,013","2,048","1,746","2,179","3,319","7,875","2,668","1,646","13,250","3,941","5,321","6,642","2,451","5,118","8,432","9,142","14,554","4,304"
2020년08월_여_연령구간인구수,"107,284","8,247","1,648",740,"2,013","2,048","1,746","2,179","3,319","7,875","2,668","1,646","13,250","3,941","5,321","6,642","2,451","5,118","8,432","9,142","14,554","4,304"
2020년08월_여_0~9세,"6,642",282,57,8,86,48,53,95,200,683,94,43,870,195,215,294,165,469,734,508,"1,187",356
2020년08월_여_10~19세,"9,142",453,89,21,125,93,69,96,235,751,161,74,"1,514",304,368,553,187,496,787,736,"1,659",371
2020년08월_여_20~29세,"11,350",603,114,43,134,148,102,161,231,865,291,129,"1,605",421,617,795,240,517,"1,212",885,"1,592",645
2020년08월_여_30~39세,"10,370",517,80,21,164,106,88,179,276,"1,022",204,121,"1,281",325,414,566,249,662,"1,113",769,"1,707",506
2020년08월_여_40~49세,"15,883",883,159,43,207,145,135,246,449,"1,382",305,170,"2,460",534,676,948,389,863,"1,296","1,228","2,678",687
2020년08월_여_50~59세,"18,333","1,486",335,150,339,353,314,409,597,"1,220",387,281,"2,216",702,"1,026","1,298",484,875,"1,307","1,579","2,317",658
2020년08월_여_60~69세,"17,182","1,802",328,215,430,466,408,466,664,977,562,376,"1,657",748,"1,051","1,205",366,686,"1,048","1,503","1,670",554
2020년08월_여_70~79세,"10,806","1,302",223,138,274,382,320,286,377,591,383,307,"1,012",435,632,588,210,315,553,"1,165","1,011",302
2020년08월_여_80~89세,"6,219",743,217,84,195,256,220,192,252,318,216,122,519,222,270,317,136,190,317,644,615,174
2020년08월_여_90~99세,"1,278",157,42,17,55,49,34,48,37,62,61,23,108,49,48,78,25,43,63,114,114,51
2020년08월_여_100세 이상,79,19,4,0,4,2,3,1,1,4,4,0,8,6,4,0,0,2,2,11,4,0
