카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년01월_계_80~89세,"28,103","7,463",922,801,751,614,484,656,607,685,773,799,371,"11,224","1,070",459,600,663,419,884,582,342,"1,338","1,184",619,539,771,639,"1,115","9,416",994,923,"1,069","1,547",476,901,"1,098",956,"1,452"
2021년01월_계_90~99세,"4,209","1,176",124,131,131,110,77,91,112,102,119,110,69,"1,689",139,82,166,110,45,132,90,43,200,169,89,84,87,92,161,"1,344",127,107,140,201,87,170,158,139,215
2021년01월_계_100세 이상,209,82,0,8,10,7,5,7,11,13,10,4,7,74,12,4,3,7,2,8,3,3,7,6,2,4,2,6,5,53,11,5,1,7,2,6,10,3,8
2021년01월_남_총인구수,"533,222","132,112","17,210","13,799","10,391","11,906","4,283","4,543","10,045","12,503","22,431","18,191","6,810","217,700","19,322","15,248","8,735","20,948","6,915","16,718","10,602","13,445","19,028","15,812","15,874","13,397","11,437","12,199","18,020","183,410","18,343","20,438","18,576","27,452","9,161","24,493","23,499","16,600","24,848"
2021년01월_남_연령구간인구수,"533,222","132,112","17,210","13,799","10,391","11,906","4,283","4,543","10,045","12,503","22,431","18,191","6,810","217,700","19,322","15,248","8,735","20,948","6,915","16,718","10,602","13,445","19,028","15,812","15,874","13,397","11,437","12,199","18,020","183,410","18,343","20,438","18,576","27,452","9,161","24,493","23,499","16,600","24,848"
2021년01월_남_0~9세,"51,142","10,776","1,176","1,022",782,"1,597",167,130,669,776,"2,515","1,586",356,"21,743","1,688","1,769",962,"2,220",519,"1,579",918,"1,570","1,708","1,402","1,708","1,370","1,540","1,034","1,756","18,623","1,428","2,388","1,791","2,544",799,"2,989","2,372","1,738","2,574"
2021년01월_남_10~19세,"62,134","12,859","1,931","1,231",937,938,298,269,985,"1,139","2,266","2,246",619,"26,090","1,851","1,839",643,"1,723",630,"2,249","1,127","1,248","2,488","1,594","2,897","2,435","1,514","1,461","2,391","23,185","1,887","2,963","2,744","3,585",831,"2,778","3,125","2,197","3,075"
2021년01월_남_20~29세,"71,477","18,720","2,673","1,891","1,214","1,026",415,524,"1,323","2,305","3,676","2,633","1,040","29,526","2,563","1,999","1,301","3,252","1,052","2,067","1,342","3,086","2,247","2,106","1,786","1,642","1,103","1,781","2,199","23,231","2,810","2,407","2,104","3,881","1,410","2,800","3,083","1,936","2,800"
2021년01월_남_30~39세,"71,443","18,026","2,147","1,599","1,301","2,093",417,436,"1,376","1,745","3,775","2,320",817,"28,953","3,225","2,308","1,642","3,918","1,030","1,910","1,384","2,285","2,020","1,986","1,508","1,032","1,443","1,357","1,905","24,464","3,311","2,939","1,829","3,276","1,660","3,701","3,182","2,024","2,542"
2021년01월_남_40~49세,"98,747","22,962","3,111","2,412","1,823","2,270",598,616,"1,712","2,030","3,969","3,410","1,011","41,051","3,329","2,957","1,403","3,636","1,234","3,252","1,909","2,296","3,740","2,624","3,746","2,882","2,434","2,134","3,475","34,734","2,952","4,384","3,703","5,205","1,499","4,737","4,438","3,150","4,666"
2021년01월_남_50~59세,"84,294","22,384","3,120","2,538","1,931","1,546",848,876,"1,775","2,111","3,138","3,187","1,314","33,832","3,157","2,446","1,321","3,294","1,230","2,648","1,717","1,558","2,872","2,489","2,444","2,319","1,374","2,202","2,761","28,078","2,749","3,083","2,990","4,333","1,407","3,558","3,570","2,541","3,847"
2021년01월_남_60~69세,"51,124","15,958","1,873","1,876","1,456","1,415",869,989,"1,392","1,469","1,894","1,687","1,038","19,380","1,966","1,225",810,"1,732",628,"1,581","1,251",903,"1,914","1,730",924,927,861,"1,289","1,639","15,786","1,708","1,178","1,595","2,433",850,"2,260","1,905","1,393","2,464"
2021년01월_남_70~79세,"29,986","7,430",832,882,676,765,482,449,577,648,868,798,453,"11,877","1,044",542,370,885,394,"1,013",688,366,"1,389","1,277",588,544,770,684,"1,323","10,679","1,049",682,"1,262","1,472",483,"1,237","1,274","1,138","2,082"
2021년01월_남_80~89세,"11,706","2,720",324,323,249,228,171,231,207,251,299,296,141,"4,752",451,149,223,262,185,374,253,123,606,542,243,223,362,236,520,"4,234",410,378,516,660,195,391,511,440,733
2021년01월_남_90~99세,"1,131",263,23,23,21,27,18,22,28,24,28,28,21,479,45,13,59,25,12,43,13,9,43,60,30,21,34,21,51,389,37,34,42,63,27,42,38,43,63
2021년01월_남_100세 이상,38,14,0,2,1,1,0,1,1,5,3,0,0,17,3,1,1,1,1,2,0,1,1,2,0,2,2,0,0,7,2,2,0,0,0,0,1,0,2
2021년01월_여_총인구수,"541,823","125,661","16,065","12,543","9,922","11,722","3,961","3,862","8,897","12,201","22,316","17,827","6,345","223,240","19,489","15,461","8,898","21,088","6,469","16,988","10,819","12,712","20,306","16,544","17,139","13,872","12,089","12,726","18,640","192,922","18,491","21,262","19,668","29,423","9,375","25,180","25,100","17,508","26,915"
2021년01월_여_연령구간인구수,"541,823","125,661","16,065","12,543","9,922","11,722","3,961","3,862","8,897","12,201","22,316","17,827","6,345","223,240","19,489","15,461","8,898","21,088","6,469","16,988","10,819","12,712","20,306","16,544","17,139","13,872","12,089","12,726","18,640","192,922","18,491","21,262","19,668","29,423","9,375","25,180","25,100","17,508","26,915"
2021년01월_여_0~9세,"48,942","10,304","1,121",927,782,"1,581",165,101,617,769,"2,357","1,556",328,"20,692","1,686","1,719",924,"2,105",435,"1,464",899,"1,592","1,601","1,285","1,745","1,259","1,431",932,"1,615","17,946","1,337","2,320","1,735","2,489",723,"2,762","2,432","1,637","2,511"
2021년01월_여_10~19세,"58,944","11,872","1,732","1,141",857,957,263,212,850,"1,068","2,182","2,094",516,"24,700","1,750","1,700",632,"1,655",639,"2,119","1,043","1,235","2,334","1,509","2,820","2,272","1,450","1,342","2,200","22,372","1,796","2,803","2,588","3,518",788,"2,598","3,039","2,050","3,192"
2021년01월_여_20~29세,"66,507","15,765","2,107","1,493",921,907,325,330,"1,018","2,107","3,487","2,241",829,"27,477","2,572","1,851","1,166","3,428",927,"1,976","1,199","2,112","2,091","1,997","1,774","1,556","1,121","1,664","2,043","23,265","2,626","2,532","2,002","3,975","1,363","2,775","3,236","1,965","2,791"
2021년01월_여_30~39세,"73,307","15,938","1,792","1,450","1,064","2,120",310,286,"1,030","1,416","3,627","2,223",620,"30,208","2,973","2,387","1,589","3,883",847,"1,998","1,381","2,290","2,163","2,075","1,888","1,348","1,694","1,459","2,233","27,161","2,964","3,331","2,218","3,704","1,621","4,223","3,569","2,261","3,270"
2021년01월_여_40~49세,"101,174","20,689","2,859","2,057","1,523","1,892",491,393,"1,414","1,856","3,837","3,398",969,"42,671","3,318","3,023","1,377","3,459","1,153","3,275","1,880","2,177","3,991","2,795","4,137","3,400","2,487","2,316","3,883","37,814","3,129","4,619","4,306","5,652","1,547","4,909","4,903","3,436","5,313"
2021년01월_여_50~59세,"81,412","20,959","2,800","2,152","1,781","1,547",753,707,"1,609","2,104","3,262","2,954","1,290","33,154","3,048","2,400","1,443","3,232","1,036","2,574","1,805","1,638","3,014","2,610","2,230","1,962","1,334","2,236","2,592","27,299","2,689","2,708","2,777","4,425","1,474","3,464","3,481","2,540","3,741"
2021년01월_여_60~69세,"56,020","15,757","1,855","1,754","1,528","1,503",808,839,"1,250","1,536","1,972","1,727",985,"22,105","2,057","1,371",892,"1,840",653,"1,793","1,437",950,"2,413","1,989","1,200","1,038","1,173","1,427","1,872","18,158","1,971","1,276","1,855","2,745",950,"2,429","2,212","1,679","3,041"
2021년01월_여_70~79세,"35,871","8,653","1,100",977,845,740,469,494,615,825,"1,020","1,045",523,"14,494","1,363",628,389,994,511,"1,184",766,463,"1,804","1,529",908,656,937,870,"1,492","12,724","1,296","1,052","1,535","1,883",566,"1,376","1,512","1,325","2,179"
2021년01월_여_80~89세,"16,397","4,743",598,478,502,386,313,425,400,434,474,503,230,"6,472",619,310,377,401,234,510,329,219,732,642,376,316,409,403,595,"5,182",584,545,553,887,281,510,587,516,719
2021년01월_여_90~99세,"3,078",913,101,108,110,83,59,69,84,78,91,82,48,"1,210",94,69,107,85,33,89,77,34,157,109,59,63,53,71,110,955,90,73,98,138,60,128,120,96,152
2021년01월_여_100세 이상,171,68,0,6,9,6,5,6,10,8,7,4,7,57,9,3,2,6,1,6,3,2,6,4,2,2,0,6,5,46,9,3,1,7,2,6,9,3,6
