,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년06월_여_총인구수,"248,911","12,680","8,113","15,738","15,283","8,512","17,912","17,526","8,145","13,566","9,622","11,257","9,244","10,734","11,469","10,545","8,148","8,678","9,423","12,308","16,143","13,865"
2020년06월_여_연령구간인구수,"248,911","12,680","8,113","15,738","15,283","8,512","17,912","17,526","8,145","13,566","9,622","11,257","9,244","10,734","11,469","10,545","8,148","8,678","9,423","12,308","16,143","13,865"
2020년06월_여_0~9세,"11,532",636,671,"1,014",626,370,657,"1,058",201,607,515,350,343,430,402,190,624,362,380,464,930,702
2020년06월_여_10~19세,"14,566",727,571,"1,416",723,471,892,"1,309",350,810,458,435,450,552,553,269,740,413,497,788,"1,229",913
2020년06월_여_20~29세,"56,092","2,450",925,"1,994","4,189","2,863","6,141","2,895","2,628","3,090","2,157","3,198","2,195","2,544","3,035","4,332",832,"2,229","2,516","1,415","2,486","1,978"
2020년06월_여_30~39세,"39,587","1,923","1,316","2,029","2,875","1,570","3,100","2,720","1,386","2,373","1,784","1,973","1,405","1,824","1,742","2,455","1,007","1,465","1,555","1,256","2,132","1,697"
2020년06월_여_40~49세,"32,585","1,704","1,266","2,630","1,772",952,"1,903","2,569",831,"1,858","1,159","1,299","1,099","1,298","1,518","1,046","1,510","1,043","1,162","1,655","2,355","1,956"
2020년06월_여_50~59세,"34,503","1,843","1,193","2,463","1,820",820,"1,913","2,575",943,"1,800","1,401","1,488","1,274","1,458","1,628",781,"1,315","1,126","1,200","2,237","2,650","2,575"
2020년06월_여_60~69세,"31,210","1,758","1,081","2,077","1,699",715,"1,743","2,316",874,"1,594","1,209","1,370","1,236","1,418","1,339",771,"1,117","1,104","1,070","2,197","2,447","2,075"
2020년06월_여_70~79세,"19,927","1,143",694,"1,418","1,124",510,"1,121","1,472",648,"1,031",691,800,845,815,894,495,685,627,712,"1,513","1,330","1,359"
2020년06월_여_80~89세,"7,395",415,330,580,372,201,371,509,247,343,195,296,326,316,296,157,266,254,275,633,504,509
2020년06월_여_90~99세,"1,267",73,46,91,72,32,58,92,29,53,50,40,63,61,52,35,45,46,47,127,65,90
2020년06월_여_100세 이상,247,8,20,26,11,8,13,11,8,7,3,8,8,18,10,14,7,9,9,23,15,11
