카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년01월_남_60~69세,"27,200","2,723",699,692,939,467,413,894,752,764,732,"3,585","3,430",815,"2,476","2,229",530,"2,017","1,298","1,745"
2020년01월_남_70~79세,"10,885","1,161",206,319,460,276,182,439,309,375,307,"1,185","1,210",316,939,769,218,933,536,745
2020년01월_남_80~89세,"3,289",339,72,137,166,79,45,134,79,115,96,380,374,100,249,251,63,302,140,168
2020년01월_남_90~99세,257,28,11,9,11,7,5,17,4,8,7,31,31,3,18,15,6,24,12,10
2020년01월_남_100세 이상,22,1,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년01월_여_총인구수,"268,275","27,137","8,163","3,092","3,619","1,815","1,476","3,089","4,964","4,803","5,006","37,841","40,268","4,554","20,556","17,015","3,934","28,335","18,446","34,162"
2020년01월_여_연령구간인구수,"268,275","27,137","8,163","3,092","3,619","1,815","1,476","3,089","4,964","4,803","5,006","37,841","40,268","4,554","20,556","17,015","3,934","28,335","18,446","34,162"
2020년01월_여_0~9세,"25,467","3,335","1,283",103,110,28,40,106,297,328,300,"2,478","3,803",283,"1,406",864,280,"2,967","1,985","5,471"
2020년01월_여_10~19세,"30,054","2,823",569,166,153,63,85,95,378,291,348,"4,051","5,154",341,"1,929","1,651",420,"3,970","2,559","5,008"
2020년01월_여_20~29세,"31,914","2,554","1,038",265,268,135,135,209,593,537,675,"5,878","5,019",590,"2,916","2,642",489,"3,145","2,065","2,761"
2020년01월_여_30~39세,"35,373","4,499","1,877",253,243,108,100,198,582,631,586,"4,128","5,072",429,"2,199","1,451",407,"3,776","2,535","6,299"
2020년01월_여_40~49세,"50,111","4,889","1,201",350,294,145,145,265,706,613,754,"6,806","8,247",625,"3,466","2,825",667,"6,170","4,105","7,838"
2020년01월_여_50~59세,"45,954","3,961","1,218",661,728,388,323,583,"1,028",926,"1,044","8,140","6,920",957,"4,373","3,825",759,"4,138","2,629","3,353"
2020년01월_여_60~69세,"26,307","2,760",529,581,807,414,349,785,745,759,730,"3,310","3,348",681,"2,364","2,004",522,"2,184","1,415","2,020"
2020년01월_여_70~79세,"14,530","1,392",237,430,559,315,179,497,400,478,378,"1,910","1,719",415,"1,252","1,108",253,"1,293",766,949
2020년01월_여_80~89세,"7,453",788,191,231,401,195,96,295,203,207,162,"1,004",871,206,570,576,121,604,339,393
2020년01월_여_90~99세,"1,055",130,19,50,55,23,22,54,30,30,24,129,109,26,75,66,13,85,48,67
2020년01월_여_100세 이상,57,6,1,2,1,1,2,2,2,3,5,7,6,1,6,3,3,3,0,3
