,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년12월_계_90~99세,"1,508",189,120,58,149,78,130,86,54,44,54,71,81,49,37,39,22,77,78,92
2021년12월_계_100세 이상,55,6,10,5,3,2,5,2,2,5,2,3,3,1,1,0,0,2,1,2
2021년12월_남_총인구수,"267,423","22,662","18,667","5,193","28,224","6,357","21,385","11,393","8,575","12,850","13,185","17,490","12,984","10,384","17,698","18,525","1,183","12,123","16,450","12,095"
2021년12월_남_연령구간인구수,"267,423","22,662","18,667","5,193","28,224","6,357","21,385","11,393","8,575","12,850","13,185","17,490","12,984","10,384","17,698","18,525","1,183","12,123","16,450","12,095"
2021년12월_남_0~9세,"24,171","1,771",788,205,"3,624",310,"2,821",750,663,546,618,"1,121",816,809,"2,879","2,362",22,870,"1,894","1,302"
2021년12월_남_10~19세,"25,747","1,771","1,588",363,"2,974",581,"1,784","1,108",781,572,931,"1,777","1,107","1,300","2,238","1,950",25,"1,408","2,132","1,357"
2021년12월_남_20~29세,"37,460","3,434","3,162",754,"3,369",969,"2,071","1,527","1,052","2,090","2,349","2,980","1,702","1,793","1,667","2,900",103,"1,935","2,016","1,587"
2021년12월_남_30~39세,"41,656","3,600","2,240",569,"4,694",613,"4,005","1,437","1,324","2,710","2,083","2,600","1,822","1,204","3,099","3,871",119,"1,384","2,390","1,892"
2021년12월_남_40~49세,"49,973","3,402","2,561",660,"5,251",977,"4,164","2,076","1,762","2,889","2,838","3,422","2,808","1,745","4,093","3,987",116,"1,976","3,194","2,052"
2021년12월_남_50~59세,"47,257","4,216","4,124","1,140","4,338","1,373","2,920","2,149","1,530","2,387","2,621","3,366","2,687","2,151","2,203","2,224",271,"2,590","2,825","2,142"
2021년12월_남_60~69세,"28,380","3,138","2,962",991,"2,767",961,"2,418","1,510",904,"1,214","1,271","1,568","1,465",949,"1,166",938,351,"1,263","1,385","1,159"
2021년12월_남_70~79세,"9,274",965,938,359,916,405,922,595,403,341,351,430,416,261,274,219,133,472,448,426
2021년12월_남_80~89세,"3,200",330,280,130,266,147,253,226,144,92,115,209,150,159,71,69,37,214,148,160
2021년12월_남_90~99세,296,35,23,20,25,21,27,14,11,8,7,17,10,13,8,5,6,11,18,17
2021년12월_남_100세 이상,9,0,1,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1
2021년12월_여_총인구수,"244,607","22,129","17,459","4,715","28,257","5,739","20,824","10,386","7,902","7,430","9,115","14,605","10,041","10,563","17,889","16,782",735,"11,609","16,134","12,293"
2021년12월_여_연령구간인구수,"244,607","22,129","17,459","4,715","28,257","5,739","20,824","10,386","7,902","7,430","9,115","14,605","10,041","10,563","17,889","16,782",735,"11,609","16,134","12,293"
2021년12월_여_0~9세,"23,406","1,710",729,209,"3,574",325,"2,761",673,671,530,633,"1,103",798,742,"2,877","2,259",23,790,"1,808","1,191"
2021년12월_여_10~19세,"24,469","1,665","1,440",337,"2,845",541,"1,718","1,047",724,530,895,"1,684","1,004","1,252","2,175","2,009",21,"1,310","1,943","1,329"
2021년12월_여_20~29세,"31,504","3,095","2,615",608,"3,214",683,"1,966","1,256",892,"1,069","1,326","2,123","1,269","1,691","1,720","2,491",56,"1,709","2,021","1,700"
2021년12월_여_30~39세,"36,181","3,354","1,766",413,"4,874",504,"3,996","1,087","1,164","1,259","1,226","1,759","1,284","1,177","3,469","3,295",59,"1,252","2,451","1,792"
2021년12월_여_40~49세,"42,538","3,142","2,386",590,"4,877",844,"3,569","1,702","1,436","1,335","1,656","2,685","1,761","1,930","3,740","3,426",48,"2,014","3,215","2,182"
2021년12월_여_50~59세,"42,788","4,373","3,933","1,043","4,429","1,148","2,830","1,933","1,316","1,361","1,721","2,974","2,004","2,216","2,277","2,074",159,"2,376","2,570","2,051"
2021년12월_여_60~69세,"25,092","2,798","2,600",820,"2,719",832,"2,375","1,469",959,815,960,"1,253","1,105",804,"1,102",845,209,"1,125","1,210","1,092"
2021년12월_여_70~79세,"10,880","1,102","1,166",402,997,487,943,731,459,316,424,599,471,434,338,242,99,582,548,540
2021년12월_여_80~89세,"6,491",730,718,252,601,316,558,415,237,175,226,368,272,280,161,107,45,383,307,340
2021년12월_여_90~99세,"1,212",154,97,38,124,57,103,72,43,36,47,54,71,36,29,34,16,66,60,75
2021년12월_여_100세 이상,46,6,9,3,3,2,5,1,1,4,1,3,2,1,1,0,0,2,1,1
