,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년03월_계_80~89세,"11,059",653,"1,254",837,622,464,399,668,671,733,532,645,576,497,537,"1,197",774
2021년03월_계_90~99세,"1,542",103,151,128,91,70,48,98,87,126,83,74,60,75,56,186,106
2021년03월_계_100세 이상,105,11,13,1,3,11,13,5,2,9,3,3,6,6,3,6,10
2021년03월_남_총인구수,"173,624","11,999","17,709","10,298","10,249","6,982","6,046","11,095","11,833","11,469","8,237","9,692","8,832","7,282","8,995","18,168","14,738"
2021년03월_남_연령구간인구수,"173,624","11,999","17,709","10,298","10,249","6,982","6,046","11,095","11,833","11,469","8,237","9,692","8,832","7,282","8,995","18,168","14,738"
2021년03월_남_0~9세,"12,371","1,369","1,178",810,"1,062",352,498,850,946,413,545,514,589,294,446,"1,216","1,289"
2021년03월_남_10~19세,"14,206",820,"1,137",832,"1,009",474,593,"1,013",879,576,449,655,757,423,718,"1,795","2,076"
2021년03월_남_20~29세,"27,772","1,364","2,771","1,435","1,025","1,564",883,"1,740","2,323","2,648","1,484","1,616","1,313","1,503","1,473","2,686","1,944"
2021년03월_남_30~39세,"30,157","2,334","3,136","1,753","1,695","1,201",932,"1,798","1,960","2,500","1,751","1,849","1,373","1,508","1,616","2,993","1,758"
2021년03월_남_40~49세,"29,315","2,167","2,689","1,517","2,092","1,036","1,167","1,802","1,892","1,813","1,263","1,564","1,575","1,154","1,582","3,102","2,900"
2021년03월_남_50~59세,"26,572","1,857","3,091","1,650","1,511","1,073",924,"1,788","1,752","1,482","1,112","1,472","1,388",948,"1,352","2,835","2,337"
2021년03월_남_60~69세,"18,487","1,327","2,168","1,267","1,044",716,563,"1,184","1,196","1,036",893,"1,096",953,776,995,"1,919","1,354"
2021년03월_남_70~79세,"10,024",481,"1,056",698,545,361,301,620,584,651,519,671,629,455,568,"1,137",748
2021년03월_남_80~89세,"4,264",252,437,309,242,185,169,265,275,307,198,231,234,192,227,437,304
2021년03월_남_90~99세,422,26,44,27,24,16,13,33,26,37,22,24,19,26,16,43,26
2021년03월_남_100세 이상,34,2,2,0,0,4,3,2,0,6,1,0,2,3,2,5,2
2021년03월_여_총인구수,"194,894","13,550","19,840","11,145","11,486","7,433","6,489","11,744","13,035","13,565","9,498","10,909","9,962","8,122","10,139","21,810","16,167"
2021년03월_여_연령구간인구수,"194,894","13,550","19,840","11,145","11,486","7,433","6,489","11,744","13,035","13,565","9,498","10,909","9,962","8,122","10,139","21,810","16,167"
2021년03월_여_0~9세,"11,939","1,433","1,061",669,"1,157",313,498,825,865,410,491,509,551,307,480,"1,215","1,155"
2021년03월_여_10~19세,"13,979",867,"1,150",763,"1,044",419,593,876,869,643,482,664,789,371,737,"1,658","2,054"
2021년03월_여_20~29세,"33,792","1,774","3,558","1,529","1,193","1,861",972,"1,678","2,611","3,579","1,912","1,844","1,552","1,751","1,664","3,947","2,367"
2021년03월_여_30~39세,"33,620","2,716","3,373","1,881","1,996","1,199","1,016","1,892","2,187","2,863","1,914","2,020","1,548","1,563","1,713","3,637","2,102"
2021년03월_여_40~49세,"31,031","2,137","2,734","1,626","2,283","1,030","1,117","2,064","2,070","1,875","1,351","1,653","1,646","1,165","1,726","3,389","3,165"
2021년03월_여_50~59세,"27,569","1,996","3,219","1,818","1,482",975,890,"1,777","1,893","1,600","1,230","1,521","1,439","1,052","1,511","2,984","2,182"
2021년03월_여_60~69세,"21,248","1,441","2,325","1,398","1,148",785,639,"1,278","1,291","1,227","1,052","1,325","1,219",939,"1,197","2,350","1,634"
2021년03월_여_70~79세,"13,730",699,"1,485",831,733,511,489,883,790,850,669,906,831,617,760,"1,726",950
2021년03월_여_80~89세,"6,795",401,817,528,380,279,230,403,396,426,334,414,342,305,310,760,470
2021년03월_여_90~99세,"1,120",77,107,101,67,54,35,65,61,89,61,50,41,49,40,143,80
2021년03월_여_100세 이상,71,9,11,1,3,7,10,3,2,3,2,3,4,3,1,1,8
