,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년03월_여_연령구간인구수,"142,908","3,799","9,951",665,"1,243",492,"1,846","1,276",425,"8,666","1,642","1,728","1,420","1,123","4,277","4,885","5,937","7,798","11,112","2,259","5,585","2,220","17,950","25,760","9,756","11,093"
2021년03월_여_0~9세,"10,427",172,"1,041",17,49,7,58,30,6,665,34,37,36,39,425,387,245,646,883,173,209,69,"1,218","2,177",744,"1,060"
2021년03월_여_10~19세,"12,886",221,"1,199",20,75,14,75,62,12,823,75,82,60,55,292,354,421,682,955,167,331,111,"2,129","2,856",764,"1,051"
2021년03월_여_20~29세,"17,382",331,877,50,101,14,103,76,16,"1,062",102,401,177,105,480,578,886,"1,077","1,305",241,"1,080",503,"2,415","3,029","1,160","1,213"
2021년03월_여_30~39세,"16,664",300,"1,270",36,86,25,109,47,12,"1,121",102,179,134,95,679,589,587,"1,061","1,404",219,530,268,"1,783","3,211","1,293","1,524"
2021년03월_여_40~49세,"21,315",407,"1,825",38,108,31,140,110,25,"1,394",146,176,150,117,565,658,738,"1,133","1,608",330,595,212,"3,101","4,514","1,444","1,750"
2021년03월_여_50~59세,"23,254",670,"1,501",104,214,83,314,243,81,"1,386",290,238,227,182,534,842,962,"1,260","1,808",381,796,322,"3,110","4,357","1,694","1,655"
2021년03월_여_60~69세,"20,136",721,"1,247",175,303,125,428,322,114,"1,161",448,278,260,202,571,697,"1,015",936,"1,586",356,891,347,"2,082","2,991","1,462","1,418"
2021년03월_여_70~79세,"11,697",499,547,109,138,101,283,203,96,594,244,184,199,187,433,464,619,560,878,236,666,228,"1,233","1,496",690,810
2021년03월_여_80~89세,"7,667",411,345,103,145,75,273,149,54,382,171,138,143,111,259,266,388,383,587,130,414,135,745,948,405,507
2021년03월_여_90~99세,"1,436",66,96,12,24,16,58,34,9,75,28,14,34,30,37,47,75,56,97,25,73,24,130,178,95,103
2021년03월_여_100세 이상,44,1,3,1,0,1,5,0,0,3,2,1,0,0,2,3,1,4,1,1,0,1,4,3,5,2
