,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년09월_계_80~89세,"11,511",608,507,158,215,134,391,231,94,580,249,207,202,173,380,431,560,538,814,216,649,231,"1,149","1,432",596,766
2020년09월_계_90~99세,"1,909",89,104,13,24,20,87,44,12,95,45,22,43,45,72,71,94,88,126,38,85,34,175,241,114,128
2020년09월_계_100세 이상,113,3,3,1,1,1,8,1,0,4,3,3,2,3,5,11,5,6,1,1,8,2,5,7,9,20
2020년09월_남_총인구수,"139,184","3,870","9,770",812,"1,328",586,"1,989","1,273",529,"8,714","1,869","1,837","1,428","1,103","4,513","4,834","5,907","7,219","10,121","2,310","6,366","2,283","17,504","23,946","8,675","10,398"
2020년09월_남_연령구간인구수,"139,184","3,870","9,770",812,"1,328",586,"1,989","1,273",529,"8,714","1,869","1,837","1,428","1,103","4,513","4,834","5,907","7,219","10,121","2,310","6,366","2,283","17,504","23,946","8,675","10,398"
2020년09월_남_0~9세,"11,198",170,"1,151",12,60,18,57,37,7,794,49,64,46,39,518,406,289,670,897,173,221,82,"1,339","2,328",713,"1,058"
2020년09월_남_10~19세,"14,073",235,"1,286",42,65,18,108,87,10,875,94,106,73,66,371,416,449,776,"1,004",224,367,117,"2,268","3,109",751,"1,156"
2020년09월_남_20~29세,"19,798",451,"1,044",77,158,27,132,112,20,"1,118",135,443,207,153,550,651,988,"1,113","1,346",308,"1,590",500,"2,676","3,299","1,233","1,467"
2020년09월_남_30~39세,"17,463",370,"1,154",56,104,39,134,60,25,"1,266",163,239,158,115,767,657,766,"1,075","1,476",252,779,352,"1,990","2,998","1,194","1,274"
2020년09월_남_40~49세,"21,050",488,"1,773",76,142,57,209,115,37,"1,496",216,217,212,135,622,705,798,"1,038","1,518",367,800,287,"2,860","3,964","1,258","1,660"
2020년09월_남_50~59세,"23,609",774,"1,561",159,298,125,398,237,114,"1,427",392,278,265,205,708,859,"1,038","1,167","1,632",380,"1,032",348,"3,127","4,010","1,426","1,649"
2020년09월_남_60~69세,"18,149",721,"1,158",222,274,151,516,331,177,"1,064",451,235,248,203,526,613,864,769,"1,313",318,822,304,"1,900","2,587","1,216","1,166"
2020년09월_남_70~79세,"9,182",428,451,102,147,88,287,194,94,447,270,176,147,116,284,345,487,402,649,177,492,180,866,"1,081",633,639
2020년09월_남_80~89세,"4,145",208,175,64,75,57,122,91,42,199,85,70,60,61,139,157,207,180,253,97,244,102,439,508,223,287
2020년09월_남_90~99세,471,23,17,2,4,6,22,9,3,27,12,7,11,8,27,21,20,28,32,14,13,10,37,62,27,29
2020년09월_남_100세 이상,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,0,1,13
2020년09월_여_총인구수,"142,828","3,877","9,925",675,"1,245",501,"1,870","1,319",429,"8,727","1,659","1,774","1,498","1,175","4,439","5,103","6,046","7,894","11,183","2,296","5,681","2,253","18,213","25,756","9,003","10,287"
2020년09월_여_연령구간인구수,"142,828","3,877","9,925",675,"1,245",501,"1,870","1,319",429,"8,727","1,659","1,774","1,498","1,175","4,439","5,103","6,046","7,894","11,183","2,296","5,681","2,253","18,213","25,756","9,003","10,287"
2020년09월_여_0~9세,"10,613",180,"1,064",18,48,7,62,35,7,716,33,35,36,45,464,410,267,655,894,171,228,72,"1,320","2,192",649,"1,005"
2020년09월_여_10~19세,"13,000",223,"1,167",23,78,16,75,67,13,840,73,78,72,52,309,350,428,714,"1,018",176,311,116,"2,178","2,906",711,"1,006"
2020년09월_여_20~29세,"17,349",363,873,54,98,11,112,72,15,"1,064",110,413,191,117,494,581,896,"1,060","1,309",245,"1,120",528,"2,453","2,983","1,094","1,093"
2020년09월_여_30~39세,"16,893",313,"1,328",36,90,28,105,55,13,"1,171",110,191,150,96,701,665,623,"1,079","1,431",238,538,268,"1,882","3,335","1,136","1,311"
2020년09월_여_40~49세,"21,437",422,"1,810",43,114,30,147,116,29,"1,405",150,172,162,124,575,679,755,"1,170","1,647",335,634,213,"3,186","4,557","1,309","1,653"
2020년09월_여_50~59세,"23,470",701,"1,528",114,228,86,325,258,81,"1,397",298,251,249,201,570,873,"1,010","1,316","1,828",392,812,337,"3,135","4,333","1,613","1,534"
2020년09월_여_60~69세,"19,343",690,"1,192",165,293,129,416,318,111,"1,100",440,285,270,210,569,726,"1,004",902,"1,525",345,867,335,"1,972","2,834","1,350","1,295"
2020년09월_여_70~79세,"11,852",518,541,116,136,102,290,222,99,582,247,196,193,180,467,488,632,575,876,250,692,230,"1,236","1,506",673,805
2020년09월_여_80~89세,"7,366",400,332,94,140,77,269,140,52,381,164,137,142,112,241,274,353,358,561,119,405,129,710,924,373,479
2020년09월_여_90~99세,"1,438",66,87,11,20,14,65,35,9,68,33,15,32,37,45,50,74,60,94,24,72,24,138,179,87,99
2020년09월_여_100세 이상,67,1,3,1,0,1,4,1,0,3,1,1,1,1,4,7,4,5,0,1,2,1,3,7,8,7
