카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년08월_여_연령구간인구수,"236,215","16,811","19,696","5,231","13,276","8,891","12,236","11,156","17,450","7,828","9,142","13,774","16,912","13,338","10,424","12,100","11,854","23,443",57,"12,596"
2021년08월_여_0~9세,"16,847","1,429","2,444",443,"1,040",546,"1,314","1,238","1,028",656,914,688,791,588,717,502,571,"1,136",1,801
2021년08월_여_10~19세,"18,393","1,766","1,961",630,"1,151","1,104","1,492",937,"1,221",495,922,819,840,600,840,575,721,"1,359",3,957
2021년08월_여_20~29세,"31,246","1,780","1,935",785,"1,533","1,157","1,052","1,112","2,266","1,017",958,"1,889","2,613","2,377","1,400","2,127","1,770","3,763",7,"1,705"
2021년08월_여_30~39세,"36,271","2,481","3,250",727,"1,996",970,"1,676","2,015","2,414","1,432","1,298","1,894","2,959","2,352","1,682","2,028","1,690","3,627",6,"1,774"
2021년08월_여_40~49세,"37,358","2,686","3,602",817,"2,184","1,693","2,685","1,910","2,660","1,166","1,633","1,899","2,334","1,786","1,714","1,586","1,835","3,306",13,"1,849"
2021년08월_여_50~59세,"36,609","2,401","2,819",711,"2,072","1,375","1,658","1,591","2,984","1,161","1,348","2,358","2,689","1,990","1,589","1,879","2,064","3,772",7,"2,141"
2021년08월_여_60~69세,"34,970","2,463","2,497",554,"2,012","1,314","1,424","1,489","2,691","1,080","1,268","2,421","2,602","2,026","1,459","1,946","1,860","3,858",13,"1,993"
2021년08월_여_70~79세,"16,194","1,137",800,339,847,459,553,566,"1,495",574,532,"1,201","1,409","1,072",703,974,911,"1,747",4,871
2021년08월_여_80~89세,"6,763",536,302,181,346,201,270,238,577,209,212,484,572,465,267,415,365,717,0,406
2021년08월_여_90~99세,"1,472",128,84,40,93,69,93,59,107,36,56,117,101,76,52,62,63,148,2,86
2021년08월_여_100세 이상,92,4,2,4,2,3,19,1,7,2,1,4,2,6,1,6,4,10,1,13
