,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년10월_남_30~39세,"140,454","54,599","16,785","37,814","4,848","4,869","25,915","12,063","5,451","2,266","12,517","1,786","2,252","1,803","1,093","5,199","3,199","2,594"
2021년10월_남_40~49세,"173,349","57,844","21,579","36,265","6,815","7,327","31,372","14,870","7,802","3,995","15,137","3,268","3,691","2,957","1,732","7,388","4,956","4,195"
2021년10월_남_50~59세,"180,330","53,257","22,042","31,215","9,216","8,907","26,101","15,413","10,184","3,600","14,974","4,935","5,469","4,526","2,796","8,302","7,021","5,629"
2021년10월_남_60~69세,"149,593","35,042","16,961","18,081","9,731","8,813","17,467","11,852","10,524","2,330","11,601","5,312","6,806","5,176","3,328","7,602","7,810","6,199"
2021년10월_남_70~79세,"78,854","13,957","7,268","6,689","5,258","5,126","8,189","6,637","5,815",979,"6,305","3,148","4,239","3,605","2,081","4,588","4,689","4,238"
2021년10월_남_80~89세,"36,297","5,467","2,959","2,508","2,581","2,311","3,589","2,975","2,792",372,"2,939","1,429","2,322","1,925","1,202","2,272","2,477","1,644"
2021년10월_남_90~99세,"3,558",511,283,228,291,219,305,271,305,39,296,136,252,218,127,228,207,153
2021년10월_남_100세 이상,90,18,11,7,9,7,12,2,9,1,5,2,4,1,3,4,6,7
2021년10월_여_총인구수,"1,035,844","321,781","126,033","195,748","51,708","48,539","155,434","84,528","57,465","21,624","78,029","25,052","32,169","25,748","14,949","49,885","38,303","30,630"
2021년10월_여_연령구간인구수,"1,035,844","321,781","126,033","195,748","51,708","48,539","155,434","84,528","57,465","21,624","78,029","25,052","32,169","25,748","14,949","49,885","38,303","30,630"
2021년10월_여_0~9세,"80,235","28,918","9,220","19,698","2,592","2,801","15,477","7,318","3,362","1,868","7,212","1,159","1,268","1,069",570,"3,566","1,612","1,443"
2021년10월_여_10~19세,"96,594","32,612","12,296","20,316","3,838","3,908","17,189","8,027","4,600","2,968","7,484","1,989","2,088","1,616",940,"4,609","2,643","2,083"
2021년10월_여_20~29세,"106,773","45,237","16,352","28,885","4,964","3,738","16,555","7,657","4,798","2,121","6,549","1,567","2,131","1,535","1,019","4,156","2,790","1,956"
2021년10월_여_30~39세,"120,182","47,920","15,067","32,853","4,171","4,092","22,597","9,630","4,796","2,269","9,308","1,608","1,889","1,433",851,"4,905","2,580","2,133"
2021년10월_여_40~49세,"151,936","53,627","20,259","33,368","6,097","6,053","26,494","12,933","6,934","4,235","11,787","2,690","3,107","2,502","1,225","6,831","4,154","3,267"
2021년10월_여_50~59세,"159,316","50,412","21,250","29,162","8,663","7,722","22,003","13,270","9,080","3,588","11,457","3,971","4,856","3,710","2,269","7,422","5,982","4,911"
2021년10월_여_60~69세,"148,380","34,217","16,741","17,476","9,700","9,061","17,315","11,757","10,342","2,514","10,932","5,043","6,734","5,344","3,150","7,860","7,816","6,595"
2021년10월_여_70~79세,"93,259","16,662","8,471","8,191","6,133","6,207","10,121","7,417","7,079","1,141","7,048","3,682","5,095","4,390","2,390","5,546","5,686","4,662"
2021년10월_여_80~89세,"67,075","10,297","5,373","4,924","4,691","4,182","6,555","5,455","5,515",765,"5,308","2,886","4,186","3,451","2,174","4,257","4,325","3,028"
2021년10월_여_90~99세,"11,672","1,813",968,845,825,742,"1,083","1,025",923,154,908,448,781,676,356,709,689,540
2021년10월_여_100세 이상,422,66,36,30,34,33,45,39,36,1,36,9,34,22,5,24,26,12
