,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년04월_여_연령구간인구수,"542,535","126,252","16,119","12,713","9,909","11,770","3,945","3,942","9,053","12,265","22,288","17,969","6,279","222,824","19,341","15,395","8,850","21,008","6,423","16,961","10,909","12,747","20,258","16,533","17,153","13,886","12,092","12,745","18,523","193,459","18,361","21,080","19,549","29,379","9,299","25,173","25,130","17,363","28,125"
2021년04월_여_0~9세,"48,306","10,218","1,119",917,777,"1,595",170,102,592,761,"2,323","1,543",319,"20,249","1,647","1,676",907,"2,082",421,"1,415",889,"1,559","1,568","1,259","1,710","1,246","1,406",905,"1,559","17,839","1,301","2,265","1,722","2,431",697,"2,715","2,396","1,597","2,715"
2021년04월_여_10~19세,"58,921","12,056","1,726","1,154",851,983,242,291,934,"1,091","2,183","2,096",505,"24,549","1,723","1,708",609,"1,622",632,"2,109","1,051","1,258","2,315","1,470","2,821","2,254","1,447","1,340","2,190","22,316","1,763","2,764","2,562","3,453",761,"2,621","3,038","2,037","3,317"
2021년04월_여_20~29세,"66,558","15,846","2,101","1,516",929,879,319,344,"1,044","2,114","3,511","2,275",814,"27,420","2,544","1,844","1,149","3,398",914,"1,959","1,193","2,160","2,092","1,998","1,785","1,555","1,126","1,671","2,032","23,292","2,623","2,516","1,966","4,009","1,364","2,757","3,260","1,925","2,872"
2021년04월_여_30~39세,"72,686","15,894","1,795","1,476","1,047","2,103",301,293,"1,040","1,430","3,590","2,208",611,"29,792","2,940","2,330","1,581","3,848",839,"1,972","1,386","2,253","2,123","2,073","1,845","1,329","1,669","1,440","2,164","27,000","2,927","3,255","2,176","3,657","1,579","4,175","3,557","2,214","3,460"
2021년04월_여_40~49세,"100,828","20,583","2,848","2,080","1,513","1,931",475,389,"1,409","1,842","3,779","3,377",940,"42,455","3,263","3,021","1,352","3,434","1,144","3,262","1,915","2,177","3,963","2,775","4,126","3,374","2,503","2,275","3,871","37,790","3,073","4,570","4,240","5,601","1,543","4,869","4,873","3,394","5,627"
2021년04월_여_50~59세,"82,134","21,015","2,804","2,177","1,765","1,530",748,689,"1,624","2,096","3,303","3,015","1,264","33,431","3,060","2,413","1,459","3,250","1,039","2,606","1,809","1,647","3,019","2,635","2,265","1,997","1,328","2,283","2,621","27,688","2,695","2,743","2,801","4,483","1,477","3,516","3,510","2,559","3,904"
2021년04월_여_60~69세,"57,110","16,196","1,920","1,815","1,567","1,527",843,854,"1,299","1,582","1,996","1,779","1,014","22,473","2,073","1,399",914,"1,883",670,"1,820","1,461",968,"2,436","2,012","1,245","1,093","1,180","1,456","1,863","18,441","2,004","1,276","1,873","2,803",964,"2,490","2,238","1,687","3,106"
2021년04월_여_70~79세,"35,962","8,660","1,099",963,840,753,467,486,617,814,"1,032","1,063",526,"14,544","1,352",629,391,992,498,"1,194",776,471,"1,810","1,542",904,654,960,879,"1,492","12,758","1,286","1,062","1,542","1,888",560,"1,369","1,522","1,320","2,209"
2021년04월_여_80~89세,"16,762","4,821",599,504,510,389,315,423,400,449,473,525,234,"6,624",639,304,382,403,232,531,348,219,762,652,389,322,417,415,609,"5,317",589,553,563,907,291,531,601,531,751
2021년04월_여_90~99세,"3,142",928,107,109,105,78,63,69,86,82,95,84,50,"1,234",93,68,103,90,34,88,78,34,164,112,60,61,56,76,117,980,93,75,102,139,61,125,129,97,159
2021년04월_여_100세 이상,126,35,1,2,5,2,2,2,8,4,3,4,2,53,7,3,3,6,0,5,3,1,6,5,3,1,0,5,5,38,7,1,2,8,2,5,6,2,5
