,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년11월_남_총인구수,"154,794","11,770","14,169","6,918","12,785","11,769","10,666","13,137","10,312","8,980","8,043","8,830","14,268","9,954","13,193"
2021년11월_남_연령구간인구수,"154,794","11,770","14,169","6,918","12,785","11,769","10,666","13,137","10,312","8,980","8,043","8,830","14,268","9,954","13,193"
2021년11월_남_0~9세,"8,956",741,842,364,870,753,391,788,580,481,387,605,732,434,988
2021년11월_남_10~19세,"12,538","1,039","1,107",540,"1,283",946,603,822,735,700,513,981,"1,086",734,"1,449"
2021년11월_남_20~29세,"21,135","1,584","2,055",907,"1,788","1,739","1,354","1,600","1,380","1,242","1,190","1,210","1,989","1,402","1,695"
2021년11월_남_30~39세,"20,073","1,641","1,983",835,"1,587","1,734","1,235","1,758","1,304","1,295","1,191","1,097","1,679","1,196","1,538"
2021년11월_남_40~49세,"23,023","1,908","2,246","1,078","2,012","1,645","1,560","1,841","1,557","1,346","1,212","1,284","2,047","1,392","1,895"
2021년11월_남_50~59세,"26,802","1,967","2,439","1,264","2,275","1,976","1,840","2,161","1,811","1,456","1,356","1,527","2,667","1,860","2,203"
2021년11월_남_60~69세,"24,297","1,641","1,986","1,074","1,799","1,799","1,938","2,293","1,603","1,438","1,188","1,364","2,330","1,693","2,151"
2021년11월_남_70~79세,"12,611",837,"1,050",607,776,812,"1,264","1,350",934,705,697,536,"1,292",867,884
2021년11월_남_80~89세,"4,868",380,435,236,342,329,441,476,372,281,283,198,406,346,343
2021년11월_남_90~99세,456,29,26,11,47,35,39,44,31,29,23,28,39,30,45
2021년11월_남_100세 이상,35,3,0,2,6,1,1,4,5,7,3,0,1,0,2
2021년11월_여_총인구수,"163,149","13,024","14,929","6,921","13,813","12,861","10,457","13,765","11,068","9,788","8,513","9,854","14,449","9,749","13,958"
2021년11월_여_연령구간인구수,"163,149","13,024","14,929","6,921","13,813","12,861","10,457","13,765","11,068","9,788","8,513","9,854","14,449","9,749","13,958"
2021년11월_여_0~9세,"8,232",702,785,318,770,693,412,737,510,463,376,531,722,400,813
2021년11월_여_10~19세,"11,857","1,025","1,033",487,"1,252",925,525,764,816,619,492,965,"1,051",679,"1,224"
2021년11월_여_20~29세,"20,556","1,655","2,058",838,"1,740","1,814","1,160","1,590","1,510","1,213","1,215","1,217","1,897","1,170","1,479"
2021년11월_여_30~39세,"19,218","1,660","1,953",744,"1,725","1,719","1,033","1,688","1,223","1,192","1,089","1,145","1,592",930,"1,525"
2021년11월_여_40~49세,"23,282","2,004","2,183",998,"2,215","1,781","1,264","1,797","1,498","1,325","1,158","1,545","2,063","1,310","2,141"
2021년11월_여_50~59세,"29,242","2,232","2,681","1,243","2,575","2,331","1,878","2,241","1,926","1,781","1,514","1,837","2,633","1,870","2,500"
2021년11월_여_60~69세,"27,033","1,947","2,279","1,175","1,924","2,037","2,051","2,597","1,838","1,673","1,344","1,524","2,447","1,753","2,444"
2021년11월_여_70~79세,"14,885","1,109","1,284",747,912,955,"1,425","1,470","1,112",927,897,616,"1,359","1,049","1,023"
2021년11월_여_80~89세,"7,538",594,581,331,591,517,630,715,542,499,371,401,572,512,682
2021년11월_여_90~99세,"1,228",95,89,35,105,87,78,145,82,84,53,70,110,72,123
2021년11월_여_100세 이상,78,1,3,5,4,2,1,21,11,12,4,3,3,4,4
