카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년01월_남_총인구수,"174,958","12,088","17,929","10,420","10,295","6,948","5,825","11,246","11,750","11,561","8,474","9,762","8,925","7,374","9,089","18,348","14,924"
2021년01월_남_연령구간인구수,"174,958","12,088","17,929","10,420","10,295","6,948","5,825","11,246","11,750","11,561","8,474","9,762","8,925","7,374","9,089","18,348","14,924"
2021년01월_남_0~9세,"12,559","1,358","1,186",807,"1,079",354,457,865,953,426,587,524,599,304,468,"1,262","1,330"
2021년01월_남_10~19세,"14,305",806,"1,150",850,"1,004",471,575,"1,025",878,583,456,654,765,438,730,"1,823","2,097"
2021년01월_남_20~29세,"27,825","1,386","2,825","1,437","1,030","1,523",869,"1,750","2,211","2,636","1,587","1,612","1,332","1,505","1,462","2,719","1,941"
2021년01월_남_30~39세,"30,461","2,395","3,159","1,754","1,727","1,201",900,"1,821","1,926","2,506","1,786","1,884","1,393","1,509","1,637","3,036","1,827"
2021년01월_남_40~49세,"29,555","2,140","2,740","1,538","2,120","1,046","1,097","1,836","1,923","1,809","1,284","1,570","1,609","1,170","1,596","3,150","2,927"
2021년01월_남_50~59세,"26,651","1,870","3,134","1,680","1,484","1,067",895,"1,789","1,770","1,511","1,124","1,467","1,387",955,"1,364","2,809","2,345"
2021년01월_남_60~69세,"18,469","1,323","2,148","1,287","1,036",705,550,"1,202","1,189","1,034",882,"1,098",954,794,995,"1,917","1,355"
2021년01월_남_70~79세,"10,241",503,"1,082",707,544,375,302,636,593,681,537,691,630,460,584,"1,150",766
2021년01월_남_80~89세,"4,331",261,448,320,243,182,163,279,279,325,203,236,227,199,226,432,308
2021년01월_남_90~99세,477,32,48,34,25,20,15,38,26,40,24,26,23,34,22,44,26
2021년01월_남_100세 이상,84,14,9,6,3,4,2,5,2,10,4,0,6,6,5,6,2
2021년01월_여_총인구수,"196,534","13,733","20,076","11,280","11,561","7,485","6,280","11,875","12,886","13,730","9,733","11,039","10,048","8,205","10,245","22,005","16,353"
2021년01월_여_연령구간인구수,"196,534","13,733","20,076","11,280","11,561","7,485","6,280","11,875","12,886","13,730","9,733","11,039","10,048","8,205","10,245","22,005","16,353"
2021년01월_여_0~9세,"12,135","1,439","1,067",662,"1,177",315,469,823,901,417,527,521,570,313,495,"1,236","1,203"
2021년01월_여_10~19세,"13,977",869,"1,164",765,"1,025",408,573,880,863,627,494,669,803,372,738,"1,664","2,063"
2021년01월_여_20~29세,"33,855","1,797","3,593","1,541","1,203","1,878",943,"1,705","2,391","3,601","2,005","1,872","1,556","1,732","1,662","4,029","2,347"
2021년01월_여_30~39세,"33,922","2,768","3,397","1,876","2,048","1,186",960,"1,925","2,156","2,873","1,941","2,049","1,573","1,584","1,747","3,677","2,162"
2021년01월_여_40~49세,"31,270","2,115","2,773","1,669","2,290","1,043","1,083","2,068","2,087","1,907","1,368","1,676","1,667","1,170","1,718","3,414","3,222"
2021년01월_여_50~59세,"27,638","2,016","3,273","1,819","1,474",967,868,"1,783","1,929","1,594","1,232","1,515","1,429","1,064","1,528","2,974","2,173"
2021년01월_여_60~69세,"21,333","1,460","2,318","1,411","1,145",795,613,"1,283","1,270","1,272","1,064","1,337","1,212",946,"1,206","2,355","1,646"
2021년01월_여_70~79세,"14,072",732,"1,512",860,739,538,497,914,804,890,688,927,842,646,772,"1,744",967
2021년01월_여_80~89세,"6,863",410,830,544,386,274,229,404,398,431,336,412,339,310,330,759,471
2021년01월_여_90~99세,"1,206",88,118,110,66,61,35,76,71,101,61,54,45,54,40,142,84
2021년01월_여_100세 이상,263,39,31,23,8,20,10,14,16,17,17,7,12,14,9,11,15
