,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년08월_남_80~89세,"4,232",165,534,280,312,118,132,169,129,138,196,173,131,122,152,255,162,174,143,134,177,216,184,36
2021년08월_남_90~99세,348,17,38,23,31,9,17,20,10,6,6,21,14,4,15,14,13,7,15,15,12,23,15,3
2021년08월_남_100세 이상,13,1,1,1,2,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0
2021년08월_여_총인구수,"126,040","2,687","12,276","4,587","10,417","2,012","2,910","2,350","1,627","1,584","10,982","3,030","2,699","2,608","3,284","6,894","2,313","7,308","2,938","12,159","14,435","11,140","4,929",871
2021년08월_여_연령구간인구수,"126,040","2,687","12,276","4,587","10,417","2,012","2,910","2,350","1,627","1,584","10,982","3,030","2,699","2,608","3,284","6,894","2,313","7,308","2,938","12,159","14,435","11,140","4,929",871
2021년08월_여_0~9세,"7,652",64,508,150,661,92,131,43,19,34,"1,097",94,134,94,85,180,41,532,178,"1,418","1,190",572,309,26
2021년08월_여_10~19세,"9,738",106,958,215,554,70,149,99,36,39,"1,187",150,151,135,143,372,95,762,154,"1,313","1,673","1,039",293,45
2021년08월_여_20~29세,"11,343",125,959,268,937,151,192,103,50,68,"1,042",199,219,242,268,819,133,824,184,"1,160","1,680","1,268",371,81
2021년08월_여_30~39세,"11,560",135,765,257,"1,099",193,197,94,61,67,"1,461",136,238,200,224,499,104,663,250,"1,722","1,631",994,527,43
2021년08월_여_40~49세,"17,293",219,"1,530",408,"1,245",128,280,172,81,110,"1,927",286,294,282,322,799,214,"1,273",339,"2,214","2,701","1,766",616,87
2021년08월_여_50~59세,"22,423",416,"2,350",761,"2,000",265,545,385,256,220,"1,812",541,451,416,546,"1,156",344,"1,379",473,"2,098","2,763","2,275",821,150
2021년08월_여_60~69세,"21,697",642,"2,287","1,056","1,899",412,685,548,486,392,"1,314",661,542,577,780,"1,527",522,945,595,"1,255","1,597","1,832",944,199
2021년08월_여_70~79세,"13,720",559,"1,620",802,"1,068",338,391,440,342,371,635,500,370,416,572,"1,029",454,552,430,562,693,873,568,135
2021년08월_여_80~89세,"9,100",353,"1,140",587,806,301,273,407,255,245,431,397,268,222,294,437,354,323,285,348,426,453,405,90
2021년08월_여_90~99세,"1,457",64,152,80,143,59,65,58,41,37,75,64,31,24,48,74,46,54,46,65,81,64,72,14
2021년08월_여_100세 이상,57,4,7,3,5,3,2,1,0,1,1,2,1,0,2,2,6,1,4,4,0,4,3,1
