,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년01월_계_80~89세,"8,076",936,946,278,254,251,283,485,0,307,393,94,181,557,110,508,273,238,81,94,108,0,0,78,337,182,584,117,384,17
2021년01월_계_90~99세,"1,167",150,156,40,41,40,40,61,0,38,42,23,19,63,15,72,27,32,10,9,16,0,0,11,58,26,84,28,60,6
2021년01월_계_100세 이상,52,6,7,2,0,1,2,4,0,2,4,3,1,1,1,1,0,3,0,3,0,0,0,0,2,1,2,2,3,1
2021년01월_남_총인구수,"213,567","7,370","18,502","13,889",927,890,"1,150","2,129",0,"1,644","12,061","2,085","1,653","14,686","1,150","20,104","7,245","8,540","1,842","1,779","7,012",0,0,"2,347","16,176","9,894","25,098","8,777","24,156","2,461"
2021년01월_남_연령구간인구수,"213,567","7,370","18,502","13,889",927,890,"1,150","2,129",0,"1,644","12,061","2,085","1,653","14,686","1,150","20,104","7,245","8,540","1,842","1,779","7,012",0,0,"2,347","16,176","9,894","25,098","8,777","24,156","2,461"
2021년01월_남_0~9세,"21,139",452,"1,718","2,862",21,8,22,34,0,49,894,33,45,"1,263",34,"1,965",567,454,75,159,864,0,0,177,"1,408","1,123","2,574",474,"3,530",334
2021년01월_남_10~19세,"23,361",572,"2,080","1,157",30,24,74,75,0,115,"1,264",45,80,"1,724",61,"2,690",874,"1,057",87,123,557,0,0,169,"1,971","1,376","3,132",543,"3,375",106
2021년01월_남_20~29세,"31,358",861,"2,683","1,201",64,72,98,173,0,141,"1,884",257,199,"2,247",138,"2,880","1,121","1,584",361,239,"1,037",0,0,369,"2,692","1,354","3,886","2,144","3,270",403
2021년01월_남_30~39세,"34,873",685,"2,215","4,280",51,54,71,140,0,104,"1,808",296,182,"1,808",97,"2,533",839,873,332,337,"1,609",0,0,428,"2,391","1,549","4,577","2,535","4,439",640
2021년01월_남_40~49세,"36,922","1,003","2,682","2,439",86,96,118,270,0,228,"1,853",405,204,"2,309",154,"3,668","1,092","1,207",272,247,"1,146",0,0,421,"2,963","1,921","4,884","1,534","5,299",421
2021년01월_남_50~59세,"35,619","1,471","3,869","1,126",202,180,239,490,0,347,"2,107",497,331,"2,819",262,"3,596","1,427","1,849",342,341,"1,118",0,0,398,"3,181","1,694","3,587",952,"2,858",336
2021년01월_남_60~69세,"20,481","1,378","2,247",546,254,235,256,489,0,332,"1,572",371,370,"1,803",258,"2,020",920,"1,140",239,222,502,0,0,244,"1,134",657,"1,749",412,951,180
2021년01월_남_70~79세,"7,079",643,695,188,130,136,170,270,0,220,543,146,180,516,110,577,321,299,101,73,147,0,0,109,324,157,536,145,307,36
2021년01월_남_80~89세,"2,514",284,288,78,78,76,90,174,0,101,130,33,57,184,36,166,82,71,32,35,29,0,0,28,99,57,157,31,113,5
2021년01월_남_90~99세,214,20,24,12,11,9,11,13,0,7,5,2,5,13,0,9,2,6,1,3,3,0,0,4,12,6,16,7,13,0
2021년01월_남_100세 이상,7,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021년01월_여_총인구수,"202,382","7,554","18,008","12,741",945,843,"1,083","1,973",0,"1,551","12,382","1,681","1,539","15,209","1,075","19,422","7,393","8,424","1,483","1,490","6,303",0,0,"2,036","14,872","9,064","23,483","7,525","22,298","2,005"
2021년01월_여_연령구간인구수,"202,382","7,554","18,008","12,741",945,843,"1,083","1,973",0,"1,551","12,382","1,681","1,539","15,209","1,075","19,422","7,393","8,424","1,483","1,490","6,303",0,0,"2,036","14,872","9,064","23,483","7,525","22,298","2,005"
2021년01월_여_0~9세,"19,878",436,"1,566","2,768",22,7,24,32,0,24,913,33,37,"1,119",42,"1,887",516,393,74,130,828,0,0,154,"1,425","1,067","2,252",459,"3,382",288
2021년01월_여_10~19세,"21,502",576,"1,791","1,086",33,34,43,74,0,95,"1,223",49,60,"1,763",60,"2,396",757,888,84,101,562,0,0,178,"1,809","1,165","2,862",536,"3,164",113
2021년01월_여_20~29세,"25,150",589,"1,955","1,351",41,31,59,116,0,111,"1,569",223,130,"1,708",84,"2,331",864,"1,168",242,194,839,0,0,270,"2,017","1,050","3,302","2,108","2,517",281
2021년01월_여_30~39세,"30,505",621,"2,139","3,755",37,25,33,73,0,80,"1,587",231,85,"1,735",60,"2,540",838,744,169,210,"1,244",0,0,277,"1,990","1,458","4,080","1,726","4,297",471
2021년01월_여_40~49세,"36,131",947,"3,010","1,923",48,47,74,154,0,163,"2,053",293,146,"2,720",126,"3,821","1,330","1,531",185,197,"1,022",0,0,339,"3,144","1,943","4,619","1,188","4,813",295
2021년01월_여_50~59세,"34,207","1,487","3,869",947,158,155,160,336,0,283,"2,373",348,307,"3,200",230,"3,581","1,586","2,035",290,293,"1,107",0,0,408,"2,783","1,433","3,368",777,"2,384",309
2021년01월_여_60~69세,"19,438","1,313","1,947",467,227,191,253,427,0,305,"1,751",275,384,"1,854",254,"1,782",941,"1,094",237,188,465,0,0,238,993,558,"1,714",448,950,182
2021년01월_여_70~79세,"9,011",798,935,214,173,146,214,399,0,251,610,144,251,686,129,678,345,375,144,109,144,0,0,115,426,244,789,174,471,47
2021년01월_여_80~89세,"5,562",652,658,200,176,175,193,311,0,206,263,61,124,373,74,342,191,167,49,59,79,0,0,50,238,125,427,86,271,12
2021년01월_여_90~99세,953,130,132,28,30,31,29,48,0,31,37,21,14,50,15,63,25,26,9,6,13,0,0,7,46,20,68,21,47,6
2021년01월_여_100세 이상,45,5,6,2,0,1,1,3,0,2,3,3,1,1,1,1,0,3,0,3,0,0,0,0,1,1,2,2,2,1
